,condition,subtlety,pred_startpos,pred_color,prey_startpos,prey_color,preyMimic_startpos,preyMimic_color,sceneKeys,metadata_flname,pred_clipID,prey_clipID,preyMimic_clipID,reps
82,mimic,0,550,grey,628,yellow,250,black,"PredatorPreyMimic_mimic_0_preyPos628, 502_mimicPos250, 300",3a6f58b9-a472-480a-a6fb-8d825894f11a,246b43af-259a-4106-a303-5c07e9c1a153,d96dfd43-441b-40c3-9097-9b106c10d7af,4619ec32-6f30-4c4b-b563-481729d1d6d8,1
83,mimic,0,550,grey,310,yellow,250,black,"PredatorPreyMimic_mimic_0_preyPos310, 414_mimicPos250, 300",b85aade3-1e8e-46a0-b961-0996e87792d3,92502959-71ff-45d4-806c-87f99bd02752,0f018276-49c2-474e-bcda-38daa9ff4f17,59ae1bb7-3f0b-42b0-82e4-5b2931a2d7d2,2
84,mimic,30,250,black,474,yellow,550,grey,"PredatorPreyMimic_mimic_30_preyPos474, 422_mimicPos550, 300",8a3a6cd1-3183-4bfd-8414-818cba62218a,f935e85b-efac-49ff-9f9d-68090f44c1df,c1b64c76-67ca-4822-9c26-685783e12ec7,8ee92954-5958-41ed-abc9-03e0a41f9cfa,0
85,mimic,30,250,black,726,yellow,550,grey,"PredatorPreyMimic_mimic_30_preyPos726, 439_mimicPos550, 300",97de9f66-be0c-4b66-bed1-c5f85d360d26,ba935a52-7b8b-4b7e-a1cf-1af70eb6c4e9,387ee1b9-2bd7-45fd-b521-c417dd64743c,934773ca-9907-405d-99c1-e521a359079f,1
86,mimic,30,250,black,TO BE FILLED,yellow,550,grey,TO BE FILLED,TO BE FILLED,TO BE FILLED,TO BE FILLED,TO BE FILLED,2
87,mimic,30,250,grey,503,yellow,550,black,"PredatorPreyMimic_mimic_30_preyPos503, 102_mimicPos550, 300",5d03f888-af19-414e-95d1-aa95f64cd8b1,4188541f-bf75-49e5-8f7c-2c525fc691c7,4956430c-4f92-4dc0-afe4-e0acce99cc07,66a77f25-00a5-4875-891f-cc635bfdb653,0
88,mimic,30,250,grey,417,yellow,550,black,"PredatorPreyMimic_mimic_30_preyPos417, 525_mimicPos550, 300",806dce3c-11e6-49c6-8451-980c12e415b0,1e6c121e-dc33-4554-92ad-b145f078db8e,30c21534-8bec-4388-ae88-59196b2d5057,fcba7cba-1831-4dca-8c40-b77c4b9260e1,1
89,mimic,30,250,grey,750,yellow,550,black,"PredatorPreyMimic_mimic_30_preyPos750, 217_mimicPos550, 300",ed0ef852-3813-4796-8ef5-3a8bbef06e1b,ea64b183-e2cb-48f1-bfbb-9ac4f806ab24,0828312c-639b-403d-95b7-a553c6bce071,6eca40b1-1768-4c01-bb00-287c1b4428e8,2
90,mimic,30,550,black,374,yellow,250,grey,"PredatorPreyMimic_mimic_30_preyPos374, 95_mimicPos250, 300",01f19557-63b1-449b-9a8f-a53ade764686,23ec7ae6-36ba-4c49-9bfe-e12e08e99e9a,138811c8-825f-4fb9-9e03-f196a0307af6,af01aa9d-45cb-43c0-8bba-e90583b7c332,0
91,mimic,30,550,black,293,yellow,250,grey,"PredatorPreyMimic_mimic_30_preyPos293, 287_mimicPos250, 300",21748d3e-0170-41a6-9116-15a56c49d9be,bcecddfd-930f-4e5f-87c1-2aba443d5439,75206460-f8bc-470c-b75e-1fa7043adc6e,39cb5222-bc8f-4e1f-9166-d4da4db7e12a,1
92,mimic,30,550,black,606,yellow,250,grey,"PredatorPreyMimic_mimic_30_preyPos606, 142_mimicPos250, 300",d23dc934-a2e5-4952-b5f2-7acd20fccd30,06ab3ee6-ae47-4f60-9556-ab23a70cf4a3,0ef65ad6-0e09-47f6-9d61-4d7f53ebe367,3dea8b44-38a3-4af2-b9d1-ed487f3a9fa2,2
