,subID,stimset_rows,subtlety,responses,movie,trial_num
0,15012,21,90,"The black dot approaches the grey dot to the left, then they start to move towards the left wavering",16088d09-c11d-4b03-8c77-f92a33554c1e,0
6,15013,14,90,Both dots seems to be playing together,1841b8a9-ff1d-481d-80de-2134f2461e8b,6
5,15014,16,90,"the dot first moved closer to each other, then one was following the other one while gaining distance on the other one",06f1dd04-cfbc-433c-9833-32cdb01c0683,5
5,15015,23,90,black dot mving up and down and foward gray moving toward right side,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,5
4,15016,25,90,The black dot is trying to get close to the white dot,1d4805c2-68cf-415b-af2f-f7c0564b59aa,4
2,15017,19,90,the dots were moving toward the top left corner of the screen.,1d4805c2-68cf-415b-af2f-f7c0564b59aa,2
5,15018,20,90,BOTH DOTS AT THE CENTER OF THE SCREEN,68c0fec8-cf83-48bf-8079-a5f414fe7504,5
3,15019,26,90,the dots were moving towards each other then away then together again,16088d09-c11d-4b03-8c77-f92a33554c1e,3
5,15020,23,90,"Grey went in an upwards trajectory smoothly, black was snaked across the screen",89ce6bb6-b2cb-44cb-ba57-d78ab0224625,5
2,15021,28,90,grey dot is chasing the black dot,ceedd529-39a5-4c29-8103-d6ac89521de6,2
3,15022,32,90,The dots were moving on the screen not touching each other,22162d51-e2bc-4fd2-af29-7d21f36eca1d,3
0,15023,31,90,The gray dot was moving to the left. The black one moved right then left.,7d6cad69-203a-49a4-9c6e-b0423a669e50,0
0,15024,34,90,It felt like the grey dot was chasing the black dot to the bottom right of the screen,06f1dd04-cfbc-433c-9833-32cdb01c0683,0
3,15025,37,90,the dots approached eachother before the grey dot backed off and the black dot followed,42ffed3d-edac-4ca7-9b33-6f525cb7c364,3
5,15026,27,90,the grey dot moved immediately away from the black dot. the black dot seemed to be moving closer to the grey dot but slowly and not aggressively.,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,5
1,15027,35,90,"The grey dot didn't do much, but the black dot bee-lined for it and meet up with it.",68c0fec8-cf83-48bf-8079-a5f414fe7504,1
6,15028,30,90,"Black dot is backing off. The grey dot is approaching, but slowly. Sort of in a calculating way?",c7f85153-52e8-4379-839f-9596d6a3ee62,6
1,15029,29,90,the grey dot moved up and down to the right in a consistant motion of moving downwards before nearly hitting the black dot. The black dot did a circular motion before beginning to move upward with it's path seeming to be about to cross with the grey dot,1841b8a9-ff1d-481d-80de-2134f2461e8b,1
5,15030,40,90,black was following white,16088d09-c11d-4b03-8c77-f92a33554c1e,5
2,15031,41,90,moving towards the left hand side,7d6cad69-203a-49a4-9c6e-b0423a669e50,2
1,15032,39,90,Both dots moving up and down but darker dot was following the lighter dot,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,1
6,15033,45,90,Again it looked like one was chasing the other but the grey dot seemed to not be able to get to the black dot,1841b8a9-ff1d-481d-80de-2134f2461e8b,6
5,15034,43,90,"both dots moving to the right side of the box, with the grey dot moving towards the black dot",a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,5
0,15035,44,90,They were moving with fluctuations in a generally up-left motion,1d4805c2-68cf-415b-af2f-f7c0564b59aa,0
4,15036,42,90,They came to each other and then the grey one followed the black one,ceedd529-39a5-4c29-8103-d6ac89521de6,4
3,15037,46,90,Black trying to follow light grey,22162d51-e2bc-4fd2-af29-7d21f36eca1d,3
3,15038,48,90,the grey dot is rising with the black dot rising shortly behind,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,3
1,15039,47,90,"The grey dot appeared to be actively moving away from the black dot, at one point it turned and headed toward the black dot but only seemingly as it approached the edge of the screen/border. It then resumed moving away",68c0fec8-cf83-48bf-8079-a5f414fe7504,1
0,15040,51,90,The grey one was following the black one cautiously,c7f85153-52e8-4379-839f-9596d6a3ee62,0
5,15041,52,90,Grey dot was trying to get pas the Black dot.,16088d09-c11d-4b03-8c77-f92a33554c1e,5
6,15042,53,90,slowly drifting right whilst moving up and down.,22162d51-e2bc-4fd2-af29-7d21f36eca1d,6
