stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind
21ca5095-0a92-499b-9d26-d8a5f4a0841a,wander,180,0.0,2.26,0,325,32
977e0607-6332-4db4-ab12-9d17dce4dc85,wander,180,0.0,2.547,1,325,33
f1ea4cb7-98d0-45a4-8269-16f1aebf05e3,chase,30,100.0,2.044,1,325,34
2cf66fb7-ab1d-466b-be40-d9f856dc213f,wander,180,20.0,2.424,1,325,35
68be0cf8-ea92-4566-b84a-cbd60b2e5547,wander,180,63.0,2.289,0,325,36
c40a4196-baf2-4992-afe5-aeca6b69a170,chase,30,100.0,2.1,1,325,37
8af66fd7-6ab4-47a3-a88c-02fd34772ac6,wander,180,0.0,2.555,1,325,38
4fb58057-109b-400f-8b1d-d9afc6926a6c,chase,60,100.0,1.838,1,325,39
c51864d5-4cd9-435e-8d8b-210c8454248a,chase,0,100.0,2.148,1,325,40
184c8795-2f00-4c7d-bc10-bd7de3066a20,chase,60,100.0,2.178,1,325,41
93865245-a3be-41b2-a17e-29b2b6043800,chase,90,74.0,2.801,1,325,42
2437aa32-b54d-48e7-b20d-fafb63156eb0,chase,0,100.0,2.042,1,325,43
ae7d3eb8-dc5d-447b-b5c5-9b30fb3b8314,chase,60,99.0,2.127,1,325,44
86edbcec-0b0a-41d9-9c9e-d5df43732237,chase,30,100.0,2.136,1,325,45
45126725-a7eb-4318-86c4-1af84082e8b8,chase,30,98.0,2.017,1,325,46
c1b6f573-136b-414a-a6ec-8628f66a51e1,chase,150,0.0,2.848,1,325,47
cf6ad30a-98ab-45d8-98d9-92352096afee,chase,30,100.0,1.989,1,325,48
4b3782e4-fafc-4dd1-96aa-9b339f19d004,chase,0,100.0,2.025,1,325,49
a680f7c6-9605-4481-a14d-c24d8d7b99bc,chase,30,100.0,2.92,1,325,50
a763322d-d8ef-4998-b3d2-05767e0273f2,chase,150,0.0,2.523,1,325,51
6d712780-43b4-49f9-9bb8-c6ef920b78bd,chase,0,100.0,2.122,1,325,52
dad72227-6303-403d-8c8f-61b79d192ff4,chase,120,0.0,2.56,1,325,53
0ea38b84-b2dc-4072-b4b8-3dce5f53debc,chase,120,36.0,1.987,1,325,54
64e6dcf6-35e5-46ef-8d1c-80a6786a24f6,chase,90,97.0,1.974,1,325,55
2383c97c-89dc-495f-8ec8-8a517a45ca6c,chase,90,61.0,2.072,1,325,56
e5de8a7b-b080-44aa-9279-c42f7862e210,chase,0,100.0,2.01,1,325,57
c798455f-e351-48ee-b7cd-d27d6bb7ad61,chase,60,100.0,2.213,1,325,58
981221b7-2aa0-476c-b101-390d6cc3dd1a,chase,120,100.0,2.576,1,325,59
1c695094-312c-450a-ac7f-f994dabb958d,wander,180,0.0,2.243,1,325,60
884bc951-67a6-42bd-8ea7-ece0c8745d3f,chase,0,100.0,2.201,1,325,61
7da2bf99-2525-456c-889d-33e4d57cefac,chase,150,0.0,2.637,1,325,62
116d4cf9-2d22-4e06-8fbf-248789f8212c,chase,150,0.0,2.943,1,325,63
2667cf6b-8ba8-4919-a871-ecd9b2852bce,chase,120,5.0,2.948,1,325,64
81f068e9-cbbc-4d88-8e31-206979547986,chase,120,95.0,2.481,1,325,65
5dbc75c6-6973-4ae1-aaf0-d3b84feb4723,wander,180,0.0,2.616,1,325,66
4fb304a5-e4d9-4469-a34d-360a50cb0d09,chase,60,100.0,1.831,1,325,67
398e7f33-6d63-47e3-9a9a-74e474cd8a1d,chase,30,100.0,2.188,1,325,68
c5cf3c4d-84e7-4c90-a33b-9d7db4b01300,chase,0,100.0,1.993,1,325,69
cd9d4d31-b57e-4c3d-86c6-267ce9eec948,chase,60,100.0,1.696,1,325,70
738dba2c-d7cb-488e-b971-0dc50c74bf4b,chase,30,100.0,1.869,1,325,71
068dfd59-6b9c-4eca-b60c-7eb73cc72305,chase,0,100.0,1.87,1,325,72
65c87d60-ca32-4b8c-862c-41cd8e585b4b,chase,0,100.0,2.153,1,325,73
42d1593c-1903-4c06-8304-6d2b29c5be37,chase,30,100.0,1.939,1,325,74
64673dfa-0706-4fb2-a297-b988740292d5,chase,90,100.0,2.231,1,325,75
1a3da098-0a3a-43af-af4a-a9fad5adcce6,chase,90,100.0,2.257,1,325,76
58ff2cb6-e661-4be4-945c-d3f9ab5180c6,chase,150,100.0,2.366,1,325,77
