,stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num,bias,amplitude
59,f1ea4cb7-98d0-45a4-8269-16f1aebf05e3,chase,30,79.0,2.088,1,265,59,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
60,0ea90462-f5e2-47a7-bd4b-2ea1c0bb7293,chase,60,71.0,6.553,0,265,60,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
61,f8c01499-8009-448b-9476-a38a582d3db6,chase,150,38.0,2.877,1,265,61,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
62,bc18f2bb-8e1a-4fcf-bc63-d56da485f828,chase,90,66.0,2.412,1,265,62,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
63,496c052f-24cd-4731-b1a3-dc6a8076719b,chase,120,59.0,1.857,1,265,63,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
64,f4c4b671-d1de-4b8d-adad-ab6e05900d81,chase,90,57.0,1.958,1,265,64,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
65,92158ea9-b156-4e87-a2e3-ff0845033b9c,chase,150,44.0,2.706,1,265,65,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
66,398e7f33-6d63-47e3-9a9a-74e474cd8a1d,chase,30,88.0,1.998,1,265,66,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
67,c798455f-e351-48ee-b7cd-d27d6bb7ad61,chase,60,93.0,2.904,1,265,67,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
68,4f1db8f7-63a7-4e49-b31b-12adcf107bf0,chase,150,31.0,2.166,1,265,68,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
69,bee25e5c-74fd-4f63-b2e7-43b8af6bb08c,chase,90,69.0,2.335,1,265,69,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
70,4e913eda-699f-4aa1-831d-c82fb169914c,chase,60,64.0,2.287,1,265,70,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
71,d145a05f-e3c9-4244-b83b-2792e29b0493,chase,150,52.0,2.572,1,265,71,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
72,64673dfa-0706-4fb2-a297-b988740292d5,chase,90,71.0,5.992,1,265,72,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
73,21ca5095-0a92-499b-9d26-d8a5f4a0841a,wander,180,44.0,3.424,1,265,73,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
74,dad72227-6303-403d-8c8f-61b79d192ff4,chase,120,35.0,3.035,1,265,74,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
75,ebb2b54b-03ef-482e-98e6-c30b11e93f54,chase,90,73.0,2.345,1,265,75,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
76,c40a4196-baf2-4992-afe5-aeca6b69a170,chase,30,85.0,2.177,1,265,76,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
77,84e883bc-3ec7-4bef-bdb3-2016001d7f47,chase,120,42.0,2.777,1,265,77,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
78,2b3090fe-a6e0-4e32-8e43-767b0d526444,chase,60,94.0,2.444,1,265,78,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
79,4fb304a5-e4d9-4469-a34d-360a50cb0d09,chase,60,74.0,1.994,1,265,79,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
80,2437aa32-b54d-48e7-b20d-fafb63156eb0,chase,0,73.0,1.965,1,265,80,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
81,65c87d60-ca32-4b8c-862c-41cd8e585b4b,chase,0,70.0,2.305,1,265,81,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
82,116d4cf9-2d22-4e06-8fbf-248789f8212c,chase,150,36.0,2.447,0,265,82,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
83,4b3782e4-fafc-4dd1-96aa-9b339f19d004,chase,0,78.0,1.574,1,265,83,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
