stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind
249089b6-ef6d-4ddb-973d-6d7b9d53baf8,chase,60,black,100.0,black,2.856,1,2,25
06f1dd04-cfbc-433c-9833-32cdb01c0683,chase,90,grey,88.0,grey,2.786,1,2,26
275adee0-f228-423e-816a-e5e70b874bf3,chase,150,grey,9.0,grey,3.185,1,2,27
18487641-212a-4e1e-8730-31709d721382,chase,150,grey,39.0,black,2.389,0,2,28
ceedd529-39a5-4c29-8103-d6ac89521de6,chase,90,grey,49.0,grey,2.085,1,2,29
0a730462-ba50-4dbe-97c6-911f61a40346,chase,30,grey,100.0,grey,3.067,1,2,30
c188e383-94d7-475e-9da5-6d1f0a1184bb,chase,0,black,100.0,black,2.253,1,2,31
a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,chase,90,grey,81.0,grey,2.201,1,2,32
89ce6bb6-b2cb-44cb-ba57-d78ab0224625,chase,90,black,66.0,black,2.548,1,2,33
1bc0b0c8-e058-4a68-bdab-65b544a8848d,chase,120,grey,41.0,grey,4.132,1,2,34
0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,chase,30,grey,100.0,grey,2.892,1,2,35
22162d51-e2bc-4fd2-af29-7d21f36eca1d,chase,90,black,58.0,black,2.07,1,2,36
a7fd07d1-e946-43a4-882d-0b3b7882ed21,chase,60,grey,100.0,grey,2.799,1,2,37
804f9681-f112-463c-a764-a40a823d6845,chase,60,black,100.0,black,3.798,1,2,38
27771508-6d61-4618-83ca-4bc020efddfe,wander,180,grey,0.0,grey,2.39,1,2,39
2176e0c4-bf6c-4f4a-a64b-23825205a150,wander,180,grey,42.0,black,2.952,0,2,40
17e4063d-b2f1-4406-8a8f-be7151fd23c1,chase,30,black,100.0,black,4.401,1,2,41
00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,wander,180,grey,0.0,grey,3.543,1,2,42
c6499c88-e947-4ab5-8cde-3013da4d084f,chase,30,grey,100.0,grey,3.427,1,2,43
68c0fec8-cf83-48bf-8079-a5f414fe7504,chase,90,black,63.0,black,2.29,1,2,44
42ffed3d-edac-4ca7-9b33-6f525cb7c364,chase,90,black,68.0,black,2.629,1,2,45
4bc5af99-ede5-49ec-a929-d4fc6fae9b43,wander,180,black,0.0,grey,2.9,0,2,46
3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,chase,120,black,52.0,black,2.79,1,2,47
10a07293-2c74-4b8a-bbef-b0f436cde5fb,chase,150,grey,0.0,grey,2.412,1,2,48
5744f837-93bf-4eba-bddf-e630dedf974e,chase,150,black,34.0,grey,2.656,0,2,49
1247c2a3-9c1a-478d-ad2b-6640715d76a4,chase,150,black,0.0,grey,3.381,0,2,50
bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,chase,0,black,100.0,black,3.288,1,2,51
4cd79935-2124-4c73-9bff-ce0554f08119,chase,150,black,0.0,grey,3.277,0,2,52
4a6f7598-dc16-47d6-987e-a48c1f938428,wander,180,grey,0.0,grey,2.652,1,2,53
987cd79f-7d6a-426b-8983-8bee8675f0ba,chase,120,black,54.0,black,2.88,1,2,54
12a3cd27-040f-4199-9edb-5cd4bb71b3d0,wander,180,black,0.0,grey,2.521,0,2,55
69cbd581-b3e6-4aa9-8cc0-319380d1e9ce,chase,30,black,100.0,black,2.855,1,2,56
7b3797d6-d4cc-4819-b3ad-adfd144217e2,chase,60,grey,100.0,grey,2.572,1,2,57
70f615a0-31d5-42b9-a44b-f5746c0b41a8,wander,180,black,0.0,grey,6.384,0,2,58
b7261f19-79df-4505-b935-0cb890ebda9c,chase,120,grey,44.0,grey,3.46,1,2,59
c7f85153-52e8-4379-839f-9596d6a3ee62,chase,90,grey,75.0,grey,3.513,1,2,60
91659665-5079-44c4-96c1-49da784170fa,chase,60,grey,83.0,grey,3.559,1,2,61
7d6cad69-203a-49a4-9c6e-b0423a669e50,chase,90,grey,69.0,grey,2.607,1,2,62
31932267-3908-4599-ba56-ba5043757838,chase,30,grey,100.0,grey,2.844,1,2,63
