,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num,bias,amplitude
76,15,180,67.41666666666667,5.668916666666667,0.5833333333333334,48.833333333333336,67.41666666666667,0.0,14.0,16.0,12.0,23.0,15.0,19.0,16.0,41.0,35.0,37.0,36.0,45.0,64.0,2.0,0.3821750355146179,0.2163048851419969
77,16,0,88.0,6.831833333333333,0.8333333333333334,57.0,27.666666666666668,60.33333333333333,16.666666666666668,17.0,9.0,14.0,10.0,31.0,0.0,39.0,40.0,33.0,40.36363636363637,51.0,36.0,8.0,0.1503108993603547,0.6055382578022017
78,16,30,83.91666666666667,5.9383333333333335,1.0,39.5,27.666666666666668,56.25,16.666666666666668,17.0,9.0,14.0,10.0,31.0,0.0,39.0,40.0,33.0,40.36363636363637,51.0,36.0,8.0,0.1503108993603547,0.6055382578022017
79,16,60,79.1,6.91275,0.75,25.666666666666668,27.666666666666668,51.43333333333332,16.666666666666668,17.0,9.0,14.0,10.0,31.0,0.0,39.0,40.0,33.0,40.36363636363637,51.0,36.0,8.0,0.1503108993603547,0.6055382578022017
80,16,90,71.45454545454545,6.391583333333333,0.8333333333333334,29.916666666666668,27.666666666666668,43.78787878787878,16.666666666666668,17.0,9.0,14.0,10.0,31.0,0.0,39.0,40.0,33.0,40.36363636363637,51.0,36.0,8.0,0.1503108993603547,0.6055382578022017
81,16,120,49.0,5.792583333333333,0.75,46.5,27.666666666666668,21.333333333333332,16.666666666666668,17.0,9.0,14.0,10.0,31.0,0.0,39.0,40.0,33.0,40.36363636363637,51.0,36.0,8.0,0.1503108993603547,0.6055382578022017
82,16,150,26.0,6.2115,0.6666666666666666,38.833333333333336,27.666666666666668,-1.6666666666666679,16.666666666666668,17.0,9.0,14.0,10.0,31.0,0.0,39.0,40.0,33.0,40.36363636363637,51.0,36.0,8.0,0.1503108993603547,0.6055382578022017
83,16,180,27.666666666666668,6.410583333333332,0.25,53.083333333333336,27.666666666666668,0.0,16.666666666666668,17.0,9.0,14.0,10.0,31.0,0.0,39.0,40.0,33.0,40.36363636363637,51.0,36.0,8.0,0.1503108993603547,0.6055382578022017
84,18,0,81.75,3.1910833333333333,1.0,52.75,22.833333333333332,58.91666666666667,10.0,14.0,7.0,7.0,6.0,16.0,2.0,22.0,39.0,33.0,43.0,45.0,25.0,3.0,0.0538138871042215,0.5743966267639284
85,18,30,73.5,3.376583333333333,0.9166666666666666,42.416666666666664,22.833333333333332,50.66666666666667,10.0,14.0,7.0,7.0,6.0,16.0,2.0,22.0,39.0,33.0,43.0,45.0,25.0,3.0,0.0538138871042215,0.5743966267639284
86,18,60,74.36363636363636,3.4292499999999997,0.9166666666666666,41.0,22.833333333333332,51.53030303030303,10.0,14.0,7.0,7.0,6.0,16.0,2.0,22.0,39.0,33.0,43.0,45.0,25.0,3.0,0.0538138871042215,0.5743966267639284
87,18,90,63.166666666666664,2.8690833333333337,1.0,32.083333333333336,22.833333333333332,40.33333333333333,10.0,14.0,7.0,7.0,6.0,16.0,2.0,22.0,39.0,33.0,43.0,45.0,25.0,3.0,0.0538138871042215,0.5743966267639284
88,18,120,39.75,3.1504999999999996,0.6666666666666666,51.666666666666664,22.833333333333332,16.916666666666668,10.0,14.0,7.0,7.0,6.0,16.0,2.0,22.0,39.0,33.0,43.0,45.0,25.0,3.0,0.0538138871042215,0.5743966267639284
89,18,150,25.333333333333332,2.953583333333333,0.75,35.916666666666664,22.833333333333332,2.5,10.0,14.0,7.0,7.0,6.0,16.0,2.0,22.0,39.0,33.0,43.0,45.0,25.0,3.0,0.0538138871042215,0.5743966267639284
90,18,180,22.833333333333332,3.4595000000000002,0.5,34.666666666666664,22.833333333333332,0.0,10.0,14.0,7.0,7.0,6.0,16.0,2.0,22.0,39.0,33.0,43.0,45.0,25.0,3.0,0.0538138871042215,0.5743966267639284
91,19,0,95.66666666666667,2.935416666666667,1.0,32.833333333333336,17.333333333333332,78.33333333333334,8.0,15.0,6.0,21.0,6.0,27.0,3.0,22.0,35.0,49.0,47.0,43.0,30.0,4.0,0.0912065223454574,0.8050075702442315
92,19,30,92.58333333333333,2.94375,1.0,40.166666666666664,17.333333333333332,75.25,8.0,15.0,6.0,21.0,6.0,27.0,3.0,22.0,35.0,49.0,47.0,43.0,30.0,4.0,0.0912065223454574,0.8050075702442315
93,19,60,82.58333333333333,2.89625,1.0,42.5,17.333333333333332,65.25,8.0,15.0,6.0,21.0,6.0,27.0,3.0,22.0,35.0,49.0,47.0,43.0,30.0,4.0,0.0912065223454574,0.8050075702442315
94,19,90,65.0,3.0305,1.0,49.75,17.333333333333332,47.66666666666667,8.0,15.0,6.0,21.0,6.0,27.0,3.0,22.0,35.0,49.0,47.0,43.0,30.0,4.0,0.0912065223454574,0.8050075702442315
95,19,120,46.75,3.4491666666666667,1.0,44.916666666666664,17.333333333333332,29.416666666666668,8.0,15.0,6.0,21.0,6.0,27.0,3.0,22.0,35.0,49.0,47.0,43.0,30.0,4.0,0.0912065223454574,0.8050075702442315
96,19,150,11.333333333333334,4.028333333333333,0.75,34.166666666666664,17.333333333333332,-5.999999999999998,8.0,15.0,6.0,21.0,6.0,27.0,3.0,22.0,35.0,49.0,47.0,43.0,30.0,4.0,0.0912065223454574,0.8050075702442315
