,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
53,8,120,61.083333333333336,2.311916666666667,0.75,35.583333333333336,17.083333333333332,44.0,14.0,22.0,8.0,26.0,11.0,16.0,13.0,48.0,27.0,48.0,48.0,38.0,52.0,6.0
54,8,150,38.833333333333336,2.4106666666666667,0.25,41.25,17.083333333333332,21.750000000000004,14.0,22.0,8.0,26.0,11.0,16.0,13.0,48.0,27.0,48.0,48.0,38.0,52.0,6.0
55,8,180,17.083333333333332,2.6206666666666667,0.75,45.333333333333336,17.083333333333332,0.0,14.0,22.0,8.0,26.0,11.0,16.0,13.0,48.0,27.0,48.0,48.0,38.0,52.0,6.0
56,9,0,85.91666666666667,1.9039166666666667,1.0,44.833333333333336,16.166666666666668,69.75,26.0,16.0,10.0,16.0,16.0,19.0,4.0,30.0,29.0,44.0,40.0,47.0,57.0,2.0
57,9,30,84.33333333333333,1.7998333333333332,1.0,52.333333333333336,16.166666666666668,68.16666666666666,26.0,16.0,10.0,16.0,16.0,19.0,4.0,30.0,29.0,44.0,40.0,47.0,57.0,2.0
58,9,60,73.41666666666667,1.9781666666666666,1.0,35.833333333333336,16.166666666666668,57.25,26.0,16.0,10.0,16.0,16.0,19.0,4.0,30.0,29.0,44.0,40.0,47.0,57.0,2.0
59,9,90,59.5,1.9119166666666665,1.0,46.583333333333336,16.166666666666668,43.33333333333333,26.0,16.0,10.0,16.0,16.0,19.0,4.0,30.0,29.0,44.0,40.0,47.0,57.0,2.0
60,9,120,33.583333333333336,2.03375,0.8333333333333334,45.166666666666664,16.166666666666668,17.416666666666668,26.0,16.0,10.0,16.0,16.0,19.0,4.0,30.0,29.0,44.0,40.0,47.0,57.0,2.0
61,9,150,17.25,2.1060833333333333,0.6666666666666666,37.583333333333336,16.166666666666668,1.0833333333333321,26.0,16.0,10.0,16.0,16.0,19.0,4.0,30.0,29.0,44.0,40.0,47.0,57.0,2.0
62,9,180,16.166666666666668,2.3465000000000003,0.5833333333333334,28.166666666666668,16.166666666666668,0.0,26.0,16.0,10.0,16.0,16.0,19.0,4.0,30.0,29.0,44.0,40.0,47.0,57.0,2.0
