,subID,subtlety,block_type,responses_subt_1,responses_pf,RT,accuracy,rating180,diff_from_180
1406,30255,180.0,1.0,49.333333333333336,,4851.833333333333,1.0,49.333333333333336,0.0
1407,30256,0.0,1.0,99.33333333333333,,3257.5,1.0,23.333333333333332,76.0
1408,30256,30.0,1.0,97.83333333333333,,2500.3333333333335,1.0,23.333333333333332,74.5
1409,30256,60.0,1.0,98.33333333333333,,3293.0,1.0,23.333333333333332,75.0
1410,30256,90.0,1.0,87.83333333333333,,2557.5,1.0,23.333333333333332,64.5
1411,30256,120.0,1.0,55.666666666666664,,2634.3333333333335,1.0,23.333333333333332,32.33333333333333
1412,30256,150.0,1.0,42.666666666666664,,2439.5,0.8333333333333334,23.333333333333332,19.333333333333332
1413,30256,180.0,1.0,23.333333333333332,,3064.1666666666665,0.8333333333333334,23.333333333333332,0.0
1414,30257,0.0,1.0,93.66666666666667,,3416.1666666666665,1.0,15.333333333333334,78.33333333333334
1415,30257,30.0,1.0,95.0,,3793.6666666666665,0.8333333333333334,15.333333333333334,79.66666666666667
1416,30257,60.0,1.0,85.83333333333333,,3154.1666666666665,1.0,15.333333333333334,70.5
1417,30257,90.0,1.0,65.33333333333333,,4479.666666666667,1.0,15.333333333333334,49.99999999999999
1418,30257,120.0,1.0,28.333333333333332,,3118.8333333333335,1.0,15.333333333333334,12.999999999999998
1419,30257,150.0,1.0,24.0,,3987.8333333333335,0.8333333333333334,15.333333333333334,8.666666666666666
1420,30257,180.0,1.0,15.333333333333334,,3624.3333333333335,0.3333333333333333,15.333333333333334,0.0
1421,30259,0.0,1.0,99.83333333333333,,2483.5,1.0,5.333333333333333,94.5
1422,30259,30.0,1.0,99.83333333333333,,2687.5,1.0,5.333333333333333,94.5
1423,30259,60.0,1.0,90.16666666666667,,2656.8333333333335,1.0,5.333333333333333,84.83333333333334
1424,30259,90.0,1.0,89.16666666666667,,2940.6666666666665,1.0,5.333333333333333,83.83333333333334
1425,30259,120.0,1.0,31.4,,4438.666666666667,1.0,5.333333333333333,26.066666666666666
1426,30259,150.0,1.0,14.5,,3472.1666666666665,0.6666666666666666,5.333333333333333,9.166666666666668
1427,30259,180.0,1.0,5.333333333333333,,3496.0,0.8333333333333334,5.333333333333333,0.0
1428,30260,0.0,1.0,98.16666666666667,,2773.3333333333335,1.0,4.666666666666667,93.5
1429,30260,30.0,1.0,91.83333333333333,,3484.8333333333335,1.0,4.666666666666667,87.16666666666666
1430,30260,60.0,1.0,86.66666666666667,,2438.5,1.0,4.666666666666667,82.0
1431,30260,90.0,1.0,62.0,,2880.3333333333335,1.0,4.666666666666667,57.333333333333336
1432,30260,120.0,1.0,18.0,,3195.5,1.0,4.666666666666667,13.333333333333332
1433,30260,150.0,1.0,2.8333333333333335,,2517.0,0.3333333333333333,4.666666666666667,-1.8333333333333335
1434,30260,180.0,1.0,4.666666666666667,,2844.3333333333335,0.5,4.666666666666667,0.0
1435,30262,0.0,1.0,85.33333333333333,,3676.5,1.0,34.666666666666664,50.666666666666664
