,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180
198,43,60,75.5,3.265,1.0,21.5,40.0,35.5
199,43,90,75.0,3.6885,1.0,49.0,40.0,35.0
200,43,120,69.5,2.7329999999999997,1.0,50.0,40.0,29.5
201,43,150,42.5,2.5875000000000004,1.0,47.0,40.0,2.5
202,43,180,40.0,3.2145,1.0,53.5,40.0,0.0
203,44,0,88.0,1.7040000000000002,1.0,55.0,20.5,67.5
204,44,30,88.5,1.646,1.0,57.0,20.5,68.0
205,44,60,87.5,1.7389999999999999,1.0,42.0,20.5,67.0
206,44,90,74.0,1.754,1.0,42.5,20.5,53.5
207,44,120,30.5,1.756,1.0,23.0,20.5,10.0
208,44,150,15.0,1.88,1.0,29.5,20.5,-5.5
209,44,180,20.5,1.844,1.0,49.0,20.5,0.0
210,45,0,98.0,3.71,1.0,41.5,7.0,91.0
211,45,30,100.0,3.5435,1.0,37.0,7.0,93.0
212,45,60,96.0,3.9495,1.0,38.0,7.0,89.0
213,45,90,96.0,3.5789999999999997,1.0,53.5,7.0,89.0
214,45,120,36.5,3.5244999999999997,1.0,48.0,7.0,29.5
215,45,150,4.0,3.667,0.5,47.0,7.0,-3.0
216,45,180,7.0,3.4805,0.0,32.5,7.0,0.0
217,46,0,92.5,4.3835,1.0,51.0,21.0,71.5
218,46,30,91.0,4.0905000000000005,1.0,34.5,21.0,70.0
219,46,60,80.5,3.5300000000000002,1.0,62.5,21.0,59.5
220,46,90,64.0,3.9145000000000003,1.0,30.5,21.0,43.0
221,46,120,50.0,3.8255,1.0,39.0,21.0,29.0
222,46,150,37.0,4.2780000000000005,1.0,33.5,21.0,16.0
223,46,180,21.0,4.0435,1.0,47.5,21.0,0.0
224,47,0,100.0,3.101,1.0,59.0,2.0,98.0
225,47,30,100.0,2.3825000000000003,1.0,34.5,2.0,98.0
226,47,60,98.0,2.847,1.0,33.5,2.0,96.0
227,47,90,99.5,2.8289999999999997,1.0,46.0,2.0,97.5
228,47,120,7.5,2.745,1.0,38.5,2.0,5.5
229,47,150,12.0,3.3695,0.5,46.0,2.0,10.0
230,47,180,2.0,2.857,0.5,46.5,2.0,0.0
231,48,0,99.5,2.357,1.0,39.0,33.5,66.0
232,48,30,97.5,2.5060000000000002,1.0,44.0,33.5,64.0
233,48,60,89.0,2.726,1.0,45.5,33.5,55.5
234,48,90,84.5,2.303,1.0,27.0,33.5,51.0
235,48,120,48.0,2.3575,1.0,46.0,33.5,14.5
236,48,150,37.0,2.6275000000000004,1.0,28.0,33.5,3.5
237,48,180,33.5,2.371,0.5,53.5,33.5,0.0
238,50,0,90.0,2.827,1.0,40.5,0.0,90.0
239,50,30,88.5,2.9935,1.0,37.5,0.0,88.5
240,50,60,81.0,3.0505,1.0,31.0,0.0,81.0
241,50,90,64.0,3.202,1.0,18.0,0.0,64.0
242,50,120,3.0,3.229,1.0,45.0,0.0,3.0
243,50,150,0.0,3.0895,1.0,54.5,0.0,0.0
244,50,180,0.0,3.3865,1.0,54.5,0.0,0.0
245,55,0,100.0,2.479,1.0,58.0,16.5,83.5
246,55,30,100.0,2.505,1.0,51.0,16.5,83.5
247,55,60,100.0,2.4924999999999997,1.0,36.5,16.5,83.5
248,55,90,75.0,2.6630000000000003,1.0,45.5,16.5,58.5
249,55,120,62.0,2.4215,1.0,40.5,16.5,45.5
250,55,150,9.5,2.4025,1.0,40.5,16.5,-7.0
251,55,180,16.5,2.5425,0.0,27.0,16.5,0.0
252,60,0,100.0,3.5065,1.0,41.5,22.0,78.0
253,60,30,100.0,3.4995000000000003,1.0,34.0,22.0,78.0
254,60,60,98.0,4.051,1.0,36.0,22.0,76.0
255,60,90,76.5,3.915,1.0,51.5,22.0,54.5
256,60,120,63.5,4.096,1.0,38.5,22.0,41.5
257,60,150,6.5,4.011,1.0,35.5,22.0,-15.5
258,60,180,22.0,3.692,1.0,46.5,22.0,0.0
259,63,0,100.0,3.379,1.0,44.5,3.5,96.5
260,63,30,100.0,3.8325,1.0,27.5,3.5,96.5
261,63,60,94.5,3.9435000000000002,1.0,40.0,3.5,91.0
262,63,90,80.0,3.843,1.0,30.5,3.5,76.5
263,63,120,11.0,3.9459999999999997,1.0,52.5,3.5,7.5
264,63,150,0.0,4.0715,1.0,43.0,3.5,-3.5
265,63,180,3.5,3.849,0.5,46.5,3.5,0.0
266,65,0,88.5,2.7735000000000003,1.0,47.5,29.5,59.0
267,65,30,89.5,3.17,1.0,38.5,29.5,60.0
268,65,60,83.0,3.4725,1.0,50.0,29.5,53.5
269,65,90,80.0,3.0300000000000002,1.0,52.5,29.5,50.5
270,65,120,48.5,3.785,1.0,31.5,29.5,19.0
271,65,150,35.0,3.2845,1.0,29.5,29.5,5.5
272,65,180,29.5,3.0815,1.0,43.5,29.5,0.0
273,66,0,91.0,3.1325000000000003,1.0,20.5,19.0,72.0
274,66,30,87.5,3.011,1.0,50.5,19.0,68.5
275,66,60,80.0,3.1790000000000003,1.0,59.0,19.0,61.0
276,66,90,52.0,2.6224999999999996,1.0,47.0,19.0,33.0
277,66,120,32.0,2.9124999999999996,1.0,32.5,19.0,13.0
278,66,150,22.0,2.924,0.0,28.5,19.0,3.0
279,66,180,19.0,2.598,1.0,46.5,19.0,0.0
280,69,0,99.0,2.2315,1.0,36.5,33.5,65.5
281,69,30,95.5,2.4705,1.0,51.5,33.5,62.0
282,69,60,94.0,2.2359999999999998,1.0,58.5,33.5,60.5
283,69,90,82.0,2.5735,1.0,32.0,33.5,48.5
284,69,120,55.0,3.002,1.0,34.0,33.5,21.5
285,69,150,16.0,3.036,0.5,47.0,33.5,-17.5
286,69,180,33.5,2.956,1.0,18.5,33.5,0.0
287,70,0,97.0,2.8735,1.0,45.5,3.0,94.0
288,70,30,93.0,2.9595,1.0,46.0,3.0,90.0
289,70,60,91.0,3.099,1.0,51.5,3.0,88.0
290,70,90,77.5,3.9125,1.0,31.5,3.0,74.5
291,70,120,3.0,3.8049999999999997,1.0,22.5,3.0,0.0
292,70,150,2.5,3.3815,0.0,33.0,3.0,-0.5
293,70,180,3.0,4.085,0.5,54.0,3.0,0.0
294,71,0,93.0,2.1734999999999998,1.0,41.0,51.0,42.0
295,71,30,88.0,2.3495,1.0,47.0,51.0,37.0
296,71,60,81.5,2.324,1.0,39.0,51.0,30.5
297,71,90,62.0,2.7835,1.0,27.5,51.0,11.0
298,71,120,62.5,2.5225,1.0,58.0,51.0,11.5
299,71,150,32.5,4.2675,1.0,32.5,51.0,-18.5
300,71,180,51.0,3.4234999999999998,1.0,42.5,51.0,0.0
301,73,0,100.0,3.4745,1.0,22.0,0.0,100.0
302,73,30,100.0,3.9305,1.0,41.0,0.0,100.0
303,73,60,100.0,3.5495,1.0,33.5,0.0,100.0
304,73,90,91.0,3.6745,1.0,47.5,0.0,91.0
305,73,120,30.0,3.3644999999999996,1.0,45.0,0.0,30.0
306,73,150,2.5,3.7175000000000002,1.0,43.5,0.0,2.5
307,73,180,0.0,3.516,0.0,54.0,0.0,0.0
308,74,0,94.0,3.3495,1.0,32.5,7.0,87.0
309,74,30,93.0,3.1915,1.0,37.0,7.0,86.0
310,74,60,71.5,3.2395,1.0,31.0,7.0,64.5
311,74,90,61.0,3.046,1.0,47.5,7.0,54.0
312,74,120,44.5,3.372,1.0,39.0,7.0,37.5
313,74,150,10.0,3.435,1.0,64.5,7.0,3.0
314,74,180,7.0,3.4859999999999998,0.0,28.0,7.0,0.0
315,75,0,100.0,3.2535,1.0,51.0,15.5,84.5
316,75,30,98.0,2.8805,1.0,34.5,15.5,82.5
317,75,60,96.0,3.0165,1.0,34.5,15.5,80.5
318,75,90,85.0,3.0435,1.0,47.5,15.5,69.5
319,75,120,30.0,3.193,1.0,24.5,15.5,14.5
320,75,150,6.5,3.2,1.0,28.5,15.5,-9.0
321,75,180,15.5,3.3945,1.0,60.5,15.5,0.0
322,78,0,94.5,3.241,1.0,31.5,37.0,57.5
323,78,30,92.5,3.159,1.0,55.5,37.0,55.5
324,78,60,82.5,3.084,1.0,34.0,37.0,45.5
325,78,90,75.5,3.2344999999999997,1.0,38.5,37.0,38.5
326,78,120,42.5,3.6165000000000003,1.0,52.5,37.0,5.5
327,78,150,31.5,3.459,0.0,40.0,37.0,-5.5
328,78,180,37.0,3.303,0.0,45.5,37.0,0.0
329,81,0,100.0,3.4245,1.0,27.0,14.0,86.0
330,81,30,100.0,3.1094999999999997,1.0,48.0,14.0,86.0
331,81,60,92.0,3.1445,1.0,29.5,14.0,78.0
332,81,90,83.0,3.0525,1.0,48.0,14.0,69.0
333,81,120,57.0,3.5774999999999997,1.0,42.0,14.0,43.0
334,81,150,24.5,3.7495000000000003,1.0,49.0,14.0,10.5
335,81,180,14.0,4.73,1.0,41.0,14.0,0.0
336,82,0,79.5,2.104,1.0,66.5,33.5,46.0
337,82,30,88.5,2.226,1.0,47.0,33.5,55.0
338,82,60,75.0,2.4154999999999998,1.0,29.0,33.5,41.5
339,82,90,70.0,2.266,1.0,36.5,33.5,36.5
340,82,120,63.0,2.3845,1.0,38.5,33.5,29.5
341,82,150,43.0,2.2329999999999997,1.0,35.5,33.5,9.5
342,82,180,33.5,2.0875000000000004,1.0,46.5,33.5,0.0
343,83,0,97.5,3.7255000000000003,1.0,42.5,4.5,93.0
344,83,30,97.0,3.7504999999999997,1.0,35.0,4.5,92.5
345,83,60,85.0,4.0905000000000005,1.0,36.5,4.5,80.5
346,83,90,65.5,4.042999999999999,1.0,42.5,4.5,61.0
347,83,120,16.5,4.0175,1.0,47.0,4.5,12.0
348,83,150,3.0,4.175,1.0,46.0,4.5,-1.5
349,83,180,4.5,4.1259999999999994,1.0,57.5,4.5,0.0
350,84,0,100.0,3.496,1.0,38.0,0.0,100.0
