,subID_linear,r_squared_linear,nrmse_linear,aic_linear,PSE_linear,slope_linear,intercept_linear,bias_xmin_linear,bias_xmax_linear,flipped_linear,range_linear,bias_linear,subID_sigmoid,r_squared_sigmoid,nrmse_sigmoid,aic_sigmoid,center_sigmoid,PSE_sigmoid,sigma_sigmoid,bias_xmin_sigmoid,bias_xmax_sigmoid,flipped_sigmoid,range_sigmoid,bias_sigmoid
20,28.0,0.885466376254047,0.1369063068315498,-29.27986919945464,0.3278677110807022,0.7742207771003116,0.2461580059409983,0.2461580059409983,0.0,False,0.7538419940590018,1.0,28.0,0.9888687579537174,0.0427190323058825,-40.143550312436616,0.3948705190802646,0.3609585010107582,0.0769341848149857,0.2385228239854407,0.0877600579291191,False,0.6737171180854402,0.7310307625880911
21,29.0,0.8850652246502342,0.1372548082201383,-25.008264119663096,0.4153463188968633,1.0,0.0846536811031367,0.0846536811031367,0.0,False,0.9153463188968634,1.0,29.0,0.9756398390232732,0.0652198506647534,-34.21987957674756,0.4136879169171528,0.4129363806898825,0.0827435697908294,0.04947623094444,0.0399338136125949,False,0.9105899554429652,0.553363228813503
22,31.0,0.8278249596487316,0.1401311721369206,-29.32968513220149,0.308433623985383,0.6083928579324431,0.3123511860210722,0.3123511860210722,0.0792559560464846,False,0.6083928579324432,0.7976136093227533,31.0,0.8720681360371723,0.1214283691534663,-25.51803042089243,0.3764484789250065,0.3340345848612262,0.1637512450464934,0.2727010605235076,0.1418301966593307,False,0.5854687428171617,0.6578540358495251
23,33.0,0.8649252674797241,0.1634400647415187,-24.584792102674957,0.3986347696656711,0.9853571465413408,0.1072023808500696,0.1072023808500696,0.0,False,0.8927976191499304,1.0,33.0,0.9944595950685116,0.0360219487857303,-42.53077572945249,0.458442528859198,0.4391746348473099,0.0464182367204392,0.1842074654419615,0.0216734748703484,False,0.79411905968769,0.8947281140377981
24,34.0,0.6601327218887798,0.1960204176411572,-26.56090368412673,0.1857395542136375,0.471250003965575,0.4124702343402591,0.4124702343402591,0.1162797616941657,False,0.4712500039655752,0.7800855554302544,34.0,0.7019980878137226,0.1861160472643721,-19.5393884571492,0.3341643611301681,0.2658576589991054,0.1763293136157942,0.3426308442232755,0.1703793457101798,False,0.48698981006654474,0.6678831160599745
25,35.0,0.8043886403032485,0.1836362022191688,-22.50549410759611,0.3313190395777297,0.9160714338252524,0.1964880923604235,0.1964880923604235,0.0,False,0.8035119076395765,1.0,35.0,0.9859414793744364,0.049242930651076,-38.15385246445207,0.3790340061679563,0.3595834493607546,0.0570975426382521,0.1602387852451295,0.0208488437443279,False,0.8189123710105426,0.8848687574039544
26,37.0,0.8237439783337157,0.1911519073815166,-20.1440215505928,0.4052380971883546,1.0,0.0947619028116453,0.0947619028116453,0.0,False,0.9052380971883547,1.0,37.0,0.9998902554619612,0.0054616247999156,-68.94012531528864,0.4276368327589133,0.4207612984083005,0.0474090518768626,0.067612770179759,5.326806713834564e-06,False,0.9323819030135272,0.9999212221734827
27,39.0,0.9556135081756264,0.0816501269853213,-34.97802106102762,0.3617109662915498,0.8600000001264192,0.1889285689435399,0.1889285689435399,0.0,False,0.8110714310564601,1.0,39.0,0.9949860494779708,0.0300422780933977,-45.07209467480238,0.4728631216860657,0.4002728274047471,0.1202654986846488,0.2470512641059506,0.0201649094377958,False,0.7327838264562536,0.9245370923085442
28,40.0,0.9843500544036444,0.0454845058632681,-46.87144953116931,0.5352272763459902,0.628571436308814,0.1635714221555464,0.1635714221555464,0.2078571415356396,False,0.628571436308814,0.4403846072849242,40.0,0.9902753913458968,0.0358845581890458,-42.584274940447145,0.4809380778765811,0.5151179005705174,0.1540656011809531,0.2020246458590386,0.2609940998228877,False,0.5369812543180738,0.43632066248527385
29,41.0,0.8984782638963819,0.1185663563751473,-45.68650504055546,0.0,0.2566071477872365,0.6416964257358991,0.6416964257358991,0.1016964264768642,False,0.2566071477872367,0.8631996175721124,41.0,0.9363951535341446,0.0942873986735188,-29.05970819840377,0.4300710672258204,0.0,0.1439447038426076,0.6441357022183009,0.1295391775488072,False,0.22632512023289195,0.832566390693981
