,stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
50,00139b14-fa60-4af8-9eba-0b4965060c34,wander,180,black,0.0,black,2.697,1,1,50,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
51,47505654-05f0-4b92-a9a3-978c80bda46b,chase,0,black,75.0,black,3.019,1,1,51,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
52,94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,chase,120,black,37.0,black,5.428,1,1,52,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
53,5744f837-93bf-4eba-bddf-e630dedf974e,chase,150,black,15.0,grey,3.894,0,1,53,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
54,2176e0c4-bf6c-4f4a-a64b-23825205a150,wander,180,grey,31.0,black,3.687,0,1,54,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
55,91659665-5079-44c4-96c1-49da784170fa,chase,60,grey,76.0,grey,3.353,1,1,55,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
56,b7261f19-79df-4505-b935-0cb890ebda9c,chase,120,grey,37.0,grey,4.417,1,1,56,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
57,85aa46c9-fe72-469c-a4cd-96f72ab4ccba,chase,60,black,90.0,black,2.535,1,1,57,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
58,275adee0-f228-423e-816a-e5e70b874bf3,chase,150,grey,6.0,grey,3.373,1,1,58,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
59,18487641-212a-4e1e-8730-31709d721382,chase,150,grey,19.0,grey,3.324,1,1,59,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
