subID,r_squared,nrmse,center,sigma,bias_lower,bias_upper,center_y,obj_center,bias_xmin,bias_xmax,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num,bias,amplitude
266.0,0.9971957255219518,0.0219617528073434,0.3588016395385371,0.0693198124551295,0.465,0.1041666666666667,0.6804166666666667,0.1906563701795708,0.4674206928605001,0.1042080767065523,14.0,18.0,17.0,17.0,13.0,21.0,0.0,39.0,32.0,38.0,38.0,46.0,51.0,3.0,0.3632126161539478,0.42837123043294767
269.0,0.9935414553775908,0.0310223033414678,0.343638539859971,0.1005841307862693,0.2916666666666667,0.0108333333333332,0.6404166666666666,0.2577835567101995,0.3138373632606067,0.0118540865809242,9.0,9.0,7.0,7.0,6.0,28.0,1.0,15.0,40.0,46.0,51.0,59.0,26.0,5.0,0.3019832766796825,0.6743085501584691
271.0,0.9868484307242484,0.0451695449895329,0.460844665160147,0.1261137619618606,0.1133333333333333,0.0899999999999999,0.5116666666666667,0.4534551346755437,0.1334326399992828,0.1009295658674913,8.0,16.0,10.0,8.0,6.0,25.0,3.0,31.0,37.0,42.0,44.0,53.0,42.0,2.0,0.03250307413179149,0.765637794133226
272.0,0.9979643501077154,0.0184390899935004,0.4255453398532052,0.1043138372455852,0.06,0.005,0.5275,0.4132589394414543,0.0755537222807436,0.0087791992594992,19.0,22.0,16.0,10.0,10.0,10.0,13.0,44.0,29.0,33.0,39.0,47.0,53.0,25.0,0.0667745230212444,0.9156670784597571
274.0,0.9427048304572015,0.0902496390629343,0.3516475680770182,0.0733145729517488,0.1808333333333333,0.0116666666666667,0.5845833333333333,0.3204679945530889,0.1874480474313,0.0117831935651945,11.0,14.0,13.0,15.0,8.0,14.0,0.0,40.0,33.0,35.0,46.0,40.0,51.0,5.0,0.1756648538661055,0.8007687590035054
275.0,0.9872887612640115,0.0456856049202929,0.3294264266744666,0.0515125580730385,0.2283333333333333,0.01,0.6091666666666666,0.299042796875296,0.2296030203254803,0.0100016914570157,1.0,15.0,4.0,16.0,1.0,37.0,1.0,28.0,56.0,46.0,48.0,57.0,28.0,4.0,0.2196013288684646,0.760395288217504
276.0,0.9816021117002556,0.0550237808090512,0.3985077204572718,0.098273104972861,0.5345454545454545,0.0091666666666667,0.762689393939394,0.0,0.5423198380777574,0.0101669764850127,12.0,18.0,14.0,11.0,13.0,20.0,7.0,31.0,35.0,37.0,40.0,39.0,49.0,3.0,0.5321528615927447,0.4475131854372299
277.0,0.988019750097732,0.0469143833801741,0.481507205518985,0.0739841347364878,0.1533333333333333,0.1033333333333332,0.525,0.4715391311333004,0.1544400582528469,0.1040050481638227,20.0,18.0,12.0,15.0,23.0,9.0,0.0,33.0,24.0,40.0,36.0,47.0,49.0,2.0,0.05043501008902421,0.7415548935833304
278.0,0.9720018217306172,0.0652963410773465,0.3687996088221861,0.1026866330595776,0.2575,0.1191666666666667,0.5691666666666666,0.3224509574197465,0.2742164280266878,0.1204978698566128,15.0,16.0,8.0,22.0,8.0,29.0,2.0,30.0,34.0,39.0,48.0,58.0,29.0,2.0,0.15371855817007496,0.6052857021166994
282.0,0.99491505198072,0.0303450668286524,0.3062008984856554,0.1043166450065496,0.3216666666666666,0.1041666666666667,0.6087499999999999,0.223025191082256,0.3506252081325876,0.1049080275259418,20.0,21.0,18.0,11.0,18.0,11.0,25.0,46.0,30.0,41.0,38.0,36.0,60.0,1.0,0.24571718060664577,0.5444667643414707
285.0,0.980187321138446,0.0563235973202951,0.4020123740913428,0.1029659182927673,0.2975,0.0799999999999999,0.60875,0.3268972102547467,0.3097983464762723,0.0818647309637091,4.0,14.0,4.0,10.0,2.0,26.0,0.0,13.0,43.0,45.0,50.0,55.0,25.0,6.0,0.2279336155125632,0.6083369225600186
287.0,0.9949318159018612,0.0319256523633769,0.3911462510797326,0.0935710824513098,0.1716666666666667,0.0583333333333332,0.5566666666666668,0.363399983185153,0.1832666832040622,0.0594813553062827,16.0,16.0,17.0,16.0,15.0,19.0,9.0,24.0,39.0,37.0,43.0,40.0,51.0,8.0,0.12378532789777949,0.7572519614896551
288.0,0.999963836364078,0.0030383201481618,0.3865770536978081,0.0567622617362372,0.055,0.0016666666666667,0.5266666666666666,0.3801518543059098,0.0560385849564552,0.0016857778715521,21.0,22.0,9.0,12.0,13.0,14.0,4.0,34.0,24.0,41.0,41.0,35.0,29.0,2.0,0.0543528070849031,0.9422756371719927
290.0,0.9471992703568144,0.0839206406771407,0.3857140340186883,0.1125132879911822,0.35,0.0925,0.6287499999999999,0.2732676195846009,0.3675204199013452,0.0948620780596842,19.0,15.0,7.0,17.0,9.0,31.0,8.0,24.0,38.0,45.0,42.0,52.0,51.0,1.0,0.272658341841661,0.5376175020389706
292.0,0.9946017609239124,0.0285787097139956,0.4534652266763771,0.1138411899192468,0.0525,0.0091666666666667,0.5216666666666666,0.4429431030264074,0.0696558384845949,0.0168194049920847,20.0,17.0,12.0,26.0,15.0,17.0,30.0,55.0,20.0,50.0,39.0,39.0,64.0,2.0,0.0528364334925102,0.9135247565233204
293.0,0.9910241155910464,0.0367755314090982,0.4598032384373827,0.1364589059471078,0.2325,0.1866666666666667,0.5229166666666666,0.4382225326150186,0.2518192226787984,0.1975461438775426,18.0,24.0,10.0,24.0,21.0,20.0,25.0,43.0,29.0,48.0,38.0,52.0,66.0,2.0,0.054273078801255814,0.5506346334436589
294.0,0.9966831522149002,0.0270650725745568,0.3555489954057971,0.0538193004304941,0.2858333333333333,0.1458333333333332,0.5700000000000001,0.3284771831159604,0.286600546843732,0.1458369160078536,5.0,12.0,8.0,6.0,2.0,30.0,1.0,18.0,44.0,33.0,46.0,46.0,22.0,10.0,0.1407636308358784,0.5675625371484143
299.0,0.9980547258607314,0.0178880220590147,0.4536672231337101,0.1126204095909678,0.1075,0.0716666666666667,0.5179166666666666,0.4438281217422933,0.1218591285887603,0.0780355970495428,25.0,22.0,11.0,18.0,10.0,12.0,17.0,55.0,23.0,36.0,35.0,40.0,64.0,2.0,0.0438235315392175,0.800105274361697
