stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind
00139b14-fa60-4af8-9eba-0b4965060c34,wander,180,black,0.0,grey,2.518,0,273,61
e3a5008f-dda4-4675-824a-6b278e6ce08f,mimic,150,black,0.0,grey,1.915,0,273,62
00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,wander,180,grey,0.0,grey,1.867,1,273,63
9093ecfa-6a76-4110-b88c-dd9330281781,chase,30,grey,100.0,grey,2.558,1,273,64
286e3344-db14-477e-ad2f-4aaa462d29bf,mimic,60,grey,0.0,grey,3.801,1,273,65
2d4bdbd9-d1de-4787-8cc8-a317b9d4c68d,wander,180,black,0.0,grey,7.109,0,273,66
3929e9d5-259e-48e5-8556-ce09d3298e6b,mimic,90,black,56.0,black,3.945,1,273,67
ceedd529-39a5-4c29-8103-d6ac89521de6,chase,90,grey,75.0,black,7.604,0,273,68
89ce6bb6-b2cb-44cb-ba57-d78ab0224625,chase,90,black,90.0,black,2.561,1,273,69
e9db5801-6830-4609-97a0-46296598a5b7,mimic,150,grey,66.0,black,1.875,0,273,70
a95096ac-e30b-4f2f-a457-133bcf21a9ec,mimic,0,black,0.0,grey,2.308,0,273,71
4e280da8-2f53-4fdf-81ca-f8372b757f6e,mimic,90,black,10.0,black,2.043,1,273,72
7e4763cb-3bf2-48e1-a717-5314c5f41fa6,mimic,90,grey,7.0,black,2.755,0,273,73
0a730462-ba50-4dbe-97c6-911f61a40346,chase,30,grey,100.0,grey,9.084,1,273,74
aafa2477-e6f8-4a3c-83f4-90e901459a0a,mimic,30,grey,0.0,grey,3.525,1,273,75
bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,chase,0,black,100.0,black,1.554,1,273,76
a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,chase,90,grey,100.0,grey,7.826,1,273,77
68c0fec8-cf83-48bf-8079-a5f414fe7504,chase,90,black,100.0,black,7.952,1,273,78
3a9ac477-b8f9-4d19-bc88-0a1c0b7de6a8,mimic,60,grey,100.0,grey,4.488,1,273,79
c03f6639-c5f0-4ded-bb0a-19a112cefe1c,mimic,60,grey,0.0,grey,1.672,1,273,80
1bc0b0c8-e058-4a68-bdab-65b544a8848d,chase,120,grey,24.0,grey,3.013,1,273,81
4bc5af99-ede5-49ec-a929-d4fc6fae9b43,wander,180,black,11.0,black,2.458,1,273,82
a68cb7dc-2812-45a9-b8f6-862ff43630fb,chase,120,grey,4.0,grey,2.243,1,273,83
3273fde2-4b65-4cc7-b9b3-ef2604e8a514,chase,60,grey,74.0,grey,3.651,1,230,0
7ed77af1-6d60-43c4-9657-fde7e23cdef5,mimic,120,grey,0.0,black,4.847,0,230,1
9996b324-9da6-4bd7-a5d5-305513d257ce,chase,120,grey,0.0,grey,3.28,1,230,2
70f615a0-31d5-42b9-a44b-f5746c0b41a8,wander,180,black,0.0,grey,3.144,0,230,3
bf1806ce-f5bf-4267-9b59-9311a18bb8e8,mimic,120,black,0.0,grey,3.824,0,230,4
