Participant,gender,hispanic,race,age,location
85,Male,No,White,45.0,
71,Male,No,White,68.0,
251,Male,No,White,28.0,UK
154,Female,No,White,41.0,United Kingdom
90,Female,No,White,39.0,UK
61,Male,No,White,38.0,UK
181,Female,No,White,28.0,
346,Female,No,Unknown/Prefer not to say,39.0,London
257,Female,No,White,59.0,uk
342,Female,No,White,41.0,
28,Female,No,White,55.0,Birmingham United Kingdom
127,Male,No,White,31.0,
180,Male,No,White,40.0,
185,Female,No,White,23.0,United Kingdom
217,Male,No,White,40.0,
215,Female,No,White,47.0,"United Kingdon, Wales"
5,Male,No,Asian,50.0,United Kingdom
277,Female,No,Asian,26.0,
49,Female,No,White,62.0,United Kingdom
175,Female,No,White,59.0,UK
285,Male,No,Asian,28.0,
94,Female,No,White,44.0,UK
136,Male,No,White,32.0,
75,Female,No,White,45.0,UK
100,Female,No,White,44.0,UK
222,Female,No,White,30.0,United Kingdom
178,Male,No,White,40.0,"Liverpool, United Kingdom"
138,Female,No,Black or African American,33.0,
208,Female,No,White,41.0,UK
323,Female,No,White,54.0,UK
137,Female,No,White,34.0,Gateshead
206,Female,No,White,37.0,
43,Female,No,White,49.0,South Carolina
129,Female,No,Black or African American,38.0,
266,Female,No,White,50.0,
267,Male,No,White,29.0,
263,Male,No,White,23.0,
123,Male,No,White,45.0,Alabama
255,Male,No,White,25.0,uk
315,Male,No,White,36.0,"Nottingham, UK"
117,Male,No,White,70.0,Buckinghamshire
31,Female,No,White,21.0,
287,Female,No,White,52.0,UK
258,Female,No,White,32.0,
44,Female,No,White,31.0,
322,Female,No,White,32.0,uk
282,Male,No,White,36.0,
2,Male,No,White,27.0,UK - Wales
295,Male,No,White,42.0,Texas
183,Female,No,White,33.0,Florida
24,Female,No,White,36.0,
252,Female,No,White,46.0,
198,Male,No,White,33.0,
335,Male,No,White,23.0,U.K.
326,Male,No,White,55.0,
328,Female,No,White,40.0,UK
219,Female,No,Black or African American,30.0,UK
78,Female,No,White,41.0,UK
301,Male,No,Asian,22.0,
275,Male,No,Unknown/Prefer not to say,29.0,
52,Non-binary/Other,No,White,22.0,
33,Male,No,White,43.0,
321,Female,No,White,52.0,UK
140,Female,No,More than one race,42.0,UK
115,Female,Yes,White,53.0,
226,Female,No,Asian,34.0,UK
89,Female,No,White,35.0,UK
302,Female,No,White,33.0,UK
347,Female,Unknown/Prefer not to say,White,36.0,united kingdom
177,Male,No,White,24.0,
300,Male,No,White,39.0,Nevada
169,Female,No,White,42.0,
325,Female,No,White,58.0,united kingdom
23,Female,No,White,49.0,NC
40,Female,No,White,36.0,
18,Male,No,White,28.0,
338,Male,No,White,63.0,UK
128,Female,No,Asian,52.0,United Kingdom
13,Female,No,White,20.0,
69,Female,No,More than one race,23.0,New Jersey
171,Male,No,,35.0,
238,Male,No,White,30.0,UK
143,Female,No,White,60.0,UK
309,Female,No,White,47.0,UK
