,subID,stimset_rows,chargeSpeeds,responses,movie,trial_num
4,24059,7,4.0,The grey dot appear to be running or approaching the other dot with speed. The black dot didn't move as much,0890b767-b394-4f89-aea1-c60cab7014af,4
1,24061,89,4.0,Circling,70326c05-1133-4c5d-8a4c-3e71e0da8479,1
3,24064,16,4.0,Whoever touches each other first ,48fe3ca9-b1df-491d-bef9-6d9c5edee227,3
4,24062,63,4.0,running away and towards each other,1d41f125-7386-42b4-8250-f6c540c627a8,4
3,24063,0,4.0,Aloof and then confronting each other,fb491605-8f46-43ab-ba62-bfd86d95e4d6,3
0,24066,59,4.0,bumping together ,1d41f125-7386-42b4-8250-f6c540c627a8,0
1,24055,66,4.0,Running around then high fiving each other,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,1
2,24074,76,4.0,playing a game,7413c064-c0e5-4104-89aa-79d64ef9d6d9,2
5,24065,10,4.0,fighting,83dec58f-0765-4ddc-b785-670d8025c467,5
0,24072,11,4.0,fighting,1a1c3419-9320-46a3-8b48-10e9514c3e7d,0
1,24053,77,4.0,Fighting,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,1
6,24068,57,4.0,They are playing a game.,114b2369-dce5-4979-8319-c64c85175e6a,6
0,24060,19,4.0,butting heads,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,0
6,24069,42,4.0,playing with pets,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,6
4,24073,35,4.0,playing tag,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,4
3,24067,90,4.0,Bumping into each other,0890b767-b394-4f89-aea1-c60cab7014af,3
5,24084,47,4.0,hide and seek,7c45bceb-e7dc-4a58-a9f2-02aa015541c6,5
5,24091,25,4.0,playing catch,70326c05-1133-4c5d-8a4c-3e71e0da8479,5
6,24086,69,4.0,Games,114b2369-dce5-4979-8319-c64c85175e6a,6
1,24035,19,4.0,moving apart from each other then came back together twice,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,1
2,24018,8,4.0,pushing each other for fun,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,2
3,24038,20,4.0,running around ,fb491605-8f46-43ab-ba62-bfd86d95e4d6,3
5,24039,16,4.0,running in circles then bumping in to each other ,48fe3ca9-b1df-491d-bef9-6d9c5edee227,5
3,24016,13,4.0,catching up,7413c064-c0e5-4104-89aa-79d64ef9d6d9,3
2,24042,12,4.0,They are running,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,2
1,24046,15,4.0,Walking around,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,1
4,24047,9,4.0,Fighting,1d41f125-7386-42b4-8250-f6c540c627a8,4
6,24051,23,4.0,The dots were moving to and fro.,9f53cd68-f278-45d6-806a-74eeef55bbcc,6
2,24070,24,4.0,run and touch game,1a1c3419-9320-46a3-8b48-10e9514c3e7d,2
1,24015,9,4.0,they seemed attracted to one another,1d41f125-7386-42b4-8250-f6c540c627a8,1
3,24071,22,4.0,Shared in some moments,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,3
4,24002,20,4.0,They are cautiously moving then meeting each other in the middle.,fb491605-8f46-43ab-ba62-bfd86d95e4d6,4
1,24083,7,4.0,Walking or jogging around before rushing to a centre point.,0890b767-b394-4f89-aea1-c60cab7014af,1
6,24088,21,4.0,Does it represent bullying maybe? dark dot wont leave grey dot alone,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,6
5,24090,17,4.0,They attracted each other to slowly collide,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,5
4,24092,18,4.0,Running,68382d9c-6cc5-4669-84bf-c8058e3c1472,4
0,24093,10,4.0,playing,83dec58f-0765-4ddc-b785-670d8025c467,0
1,24000,22,4.0,collision (fighting),86e26a06-c6f9-47dc-bc1f-1c78f1f93251,1
5,24030,25,4.0,the dots are dancing,70326c05-1133-4c5d-8a4c-3e71e0da8479,5
3,24027,6,4.0,playing a game,1f7aa6f4-6516-4b90-8eeb-142b1437644b,3
1,24024,17,4.0,notiing each other and playing,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,1
3,24019,14,4.0,"Slow and lethargic, but still headbutting in a seeking manner.",7c45bceb-e7dc-4a58-a9f2-02aa015541c6,3
4,24087,39,4.0,running towards each other,68382d9c-6cc5-4669-84bf-c8058e3c1472,4
1,24050,14,4.0,"playing, running into each other",7c45bceb-e7dc-4a58-a9f2-02aa015541c6,1
5,24089,34,4.0,playing soccer,83dec58f-0765-4ddc-b785-670d8025c467,5
6,24043,95,4.0,tag,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,6
6,24094,98,4.0,running into each other,50781782-fbf2-4226-a593-5173be906638,6
1,24041,5,4.0,running around,50781782-fbf2-4226-a593-5173be906638,1
5,24095,64,4.0,they were chasing each other,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,5
1,24096,33,4.0,Purposely running into each other ,7c45bceb-e7dc-4a58-a9f2-02aa015541c6,1
5,24040,23,4.0,Grey was more aggresive and catching up to the black dot and bouncing off them,9f53cd68-f278-45d6-806a-74eeef55bbcc,5
2,24085,32,4.0,hide and seek,1f7aa6f4-6516-4b90-8eeb-142b1437644b,2
6,24097,84,4.0,chasing the other,1f7aa6f4-6516-4b90-8eeb-142b1437644b,6
6,24028,6,4.0,The kids crossed path while roaming around,1f7aa6f4-6516-4b90-8eeb-142b1437644b,6
4,24099,86,4.0,Seems that they are attracted to each other?,83dec58f-0765-4ddc-b785-670d8025c467,4
0,24100,71,4.0,connecting each other.,83dec58f-0765-4ddc-b785-670d8025c467,0
2,24101,82,4.0,Playing,fb491605-8f46-43ab-ba62-bfd86d95e4d6,2
6,24025,3,4.0,Grey dot was hassling the black dot,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,6
5,24001,5,4.0,dancing,50781782-fbf2-4226-a593-5173be906638,5
6,24007,13,4.0,swimming,7413c064-c0e5-4104-89aa-79d64ef9d6d9,6
5,24009,8,4.0,dont know,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,5
2,24010,11,4.0,the dots moves around and later then they came together,1a1c3419-9320-46a3-8b48-10e9514c3e7d,2
5,24098,41,4.0,Playing apart and then joining eachother again,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,5
6,24003,85,4.0,playing frog leap,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,6
4,24079,38,4.0,Playing ,114b2369-dce5-4979-8319-c64c85175e6a,4
1,24029,4,4.0,moving up and down and hitting each other,9f53cd68-f278-45d6-806a-74eeef55bbcc,1
4,24020,2,4.0,playing a sword game,70326c05-1133-4c5d-8a4c-3e71e0da8479,4
3,24014,75,4.0,"Before slowly touching each other, move counterclockwise ",fb491605-8f46-43ab-ba62-bfd86d95e4d6,3
6,24004,88,4.0,flowing,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,6
1,24021,50,4.0,playing tag together,68382d9c-6cc5-4669-84bf-c8058e3c1472,1
0,24034,94,4.0,They were playing with each other,7413c064-c0e5-4104-89aa-79d64ef9d6d9,0
1,24008,54,4.0,Running back and forth into each other ,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,1
5,24033,56,4.0,The grey dot has the higher power but the black dot kept doing after the grey dot.,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,5
3,24036,54,4.0,Swings,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,3
