,subID,stimset_rows,subtlety,directness,responses,movie,trial_num,similarity_chasing,similarity_moveInd,similarity_chase_moveInd
2,15053,67,180,0.0,This time the dots moved around but they were further apart from each other and they did not touch each other.,27771508-6d61-4618-83ca-4bc020efddfe,2,0.13045716285705566,0.1438635289669037,-0.013406366109848022
3,15054,70,180,0.0,The dots movements were similar but seemingly unrelated,124f53c2-90c6-4716-8221-e86088f8d257,3,0.20267614722251892,0.22532421350479126,-0.02264806628227234
2,15055,71,180,0.0,going around in a circle- opposing ends one top and towards bottom of screen,12a3cd27-040f-4199-9edb-5cd4bb71b3d0,2,0.11938207596540451,0.15322734415531158,-0.033845268189907074
0,15056,65,180,0.0,They were moving randomly,802575f0-631d-4eeb-9e49-3b401b11b953,0,0.3153105676174164,0.41629382967948914,-0.10098326206207275
6,15057,68,180,0.0,The dots touched then went away from each other,2176e0c4-bf6c-4f4a-a64b-23825205a150,6,0.1489160656929016,0.0835363045334816,0.06537976115942001
0,15058,73,180,0.0,They were mirroring each other and moving at the same time,00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,0,0.2145363688468933,0.3857780694961548,-0.17124170064926147
2,15059,74,180,0.0,they were making circles,4bc5af99-ede5-49ec-a929-d4fc6fae9b43,2,0.199428528547287,0.022545184940099716,0.17688334360718727
2,15000,0,150,0.17,moving upwards random shapes,5744f837-93bf-4eba-bddf-e630dedf974e,2,0.17636370658874512,0.3900482952594757,-0.2136845886707306
4,15001,1,150,0.17,"A grey dot moved erratically from right to left, a black dot moved erratically from left to right.",10a07293-2c74-4b8a-bbef-b0f436cde5fb,4,0.17501457035541534,0.30031850934028625,-0.1253039389848709
6,15002,2,150,0.17,the gray dot was going in a circle while the black dot was going up and down until they started going toward each other,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,6,0.1962689608335495,0.17281188070774078,0.023457080125808716
0,15003,3,150,0.17,Grey dot was moving similarly to a snake. Black dot was the same but at a slower pace,18487641-212a-4e1e-8730-31709d721382,0,0.23164643347263336,0.20567619800567627,0.025970235466957092
1,15004,6,150,0.17,Black was zigzagging. grey was moving in circles,7e113c5d-92b4-4c01-9588-dae0fb76eb5f,1,0.19335192441940308,0.17729885876178741,0.01605306565761566
2,15005,11,150,0.17,"Each dot has its own agenda, they are not aware of each other",4270e833-4dad-483f-85cb-3dee1fccc571,2,0.17294573783874512,0.1296483278274536,0.043297410011291504
6,15006,12,150,0.17,One stayed in the middle while the other decided to go towards the bottom of the box,7e113c5d-92b4-4c01-9588-dae0fb76eb5f,6,0.10087180882692337,0.22583632171154022,-0.12496451288461685
4,15007,13,150,0.17,both individually lost,1247c2a3-9c1a-478d-ad2b-6640715d76a4,4,0.21698279678821564,0.21510745584964752,0.0018753409385681152
2,15008,21,150,0.17,rolling around,14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,2,0.4063291847705841,0.3006662428379059,0.10566294193267822
0,15009,10,150,0.17,They were moving in circles far away from each other.,1247c2a3-9c1a-478d-ad2b-6640715d76a4,0,0.21868237853050232,0.28949546813964844,-0.07081308960914612
1,15010,17,150,0.17,One bouced off the wall,275adee0-f228-423e-816a-e5e70b874bf3,1,0.17304518818855286,0.08579013496637344,0.08725505322217941
0,15011,15,150,0.17,"To begin with moving to the bottom left then going in different directions, seemed to be repelled from each other a little at the end",18487641-212a-4e1e-8730-31709d721382,0,0.17000587284564972,0.30425435304641724,-0.13424848020076752
5,15012,21,150,0.17,Both dots stayed cenrally however the black dot slowly approached the grey dot,14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,5,0.12762145698070526,0.15252840518951416,-0.0249069482088089
2,15013,14,150,0.17,they were playful,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,2,0.28042370080947876,0.11405625939369202,0.16636744141578674
2,15014,16,150,0.17,"they looked like they were drawn closer to each other , the grey one pulling closer to the black one but it looked as if a force was bouncing the grey one off the black dot ",5744f837-93bf-4eba-bddf-e630dedf974e,2,0.135648712515831,0.12076438218355179,0.014884330332279205
1,15015,23,150,0.17,gray following black black moving away from gray,4270e833-4dad-483f-85cb-3dee1fccc571,1,0.17517982423305511,0.1968265175819397,-0.021646693348884583
2,15016,25,150,0.17,The dots are moving away from each other,10a07293-2c74-4b8a-bbef-b0f436cde5fb,2,0.17401759326457977,0.20365498960018158,-0.029637396335601807
5,15017,19,150,0.17,the two dots seem to each be taking a side of the same picture to draw.,10a07293-2c74-4b8a-bbef-b0f436cde5fb,5,0.045060958713293076,0.041649919003248215,0.003411039710044861
0,15018,20,150,0.17,THE TWO DOT WHERE MOVING CLOSE TO EACH OTHER  BUT AVIODING COLLISION,9c46112a-3307-42b7-8386-bdf38ba679af,0,0.21184222400188446,0.2320520579814911,-0.02020983397960663
2,15019,26,150,0.17,"the black dot bounced off the side, the grey dot was going around in a small square in the middle",275adee0-f228-423e-816a-e5e70b874bf3,2,0.18966415524482727,0.03441323712468147,0.1552509181201458
0,15020,23,150,0.17,Black was doing longer movement whilst grey was snake like and quite jittery,4270e833-4dad-483f-85cb-3dee1fccc571,0,0.2135944962501526,0.22941195964813232,-0.015817463397979736
4,15021,28,150,0.17,big gap between moving dots,4270e833-4dad-483f-85cb-3dee1fccc571,4,0.15781602263450623,0.20784913003444672,-0.05003310739994049
5,15022,32,150,0.17,The dots were moving on the screen independently from each other,5744f837-93bf-4eba-bddf-e630dedf974e,5,0.10504080355167389,0.22237783670425415,-0.11733703315258026
4,15023,31,150,0.17,"The gray dot went in clockwise circles. The black dot went up and down repeatedly, but generally was moving up.",1247c2a3-9c1a-478d-ad2b-6640715d76a4,4,0.09640844166278839,0.138567253947258,-0.042158812284469604
3,15024,34,150,0.17,The dots moved along the screen pretty much independent of one another,18487641-212a-4e1e-8730-31709d721382,3,0.08156074583530426,0.25053632259368896,-0.1689755767583847
6,15025,37,150,0.17,the dots slightly circled the centre,10a07293-2c74-4b8a-bbef-b0f436cde5fb,6,0.1099352240562439,0.010849224403500557,0.09908599965274334
