ParticipantID,1_UCLA_qn0,1_UCLA_qn1,1_UCLA_qn2,1_UCLA_qn3,1_UCLA_qn4,1_UCLA_qn5,1_UCLA_qn6,1_UCLA_qn7,1_UCLA_qn8,1_UCLA_qn9,2_UCLA_qn10,2_UCLA_qn11,2_UCLA_qn12,2_UCLA_qn13,2_UCLA_qn14,2_UCLA_qn15,2_UCLA_qn16,2_UCLA_qn17,2_UCLA_qn18,2_UCLA_qn19,2_UCLA_qn20,total,total_nanMean,total_numMissResp,total_reweigh
30102,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,36.0,1.8421052631578947,0,36.0
30103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,21.0,1.0526315789473684,0,21.0
30104,2.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,44.0,2.263157894736842,0,44.0
30105,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,48.0,2.4210526315789473,0,48.0
30106,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,45.0,2.263157894736842,0,45.0
30109,2.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,48.0,2.473684210526316,0,48.0
30110,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,38.0,1.9473684210526316,0,38.0
30111,1.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,47.0,2.3157894736842106,0,47.0
30112,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,51.0,2.526315789473684,0,51.0
30113,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,33.0,1.6842105263157894,0,33.0
30114,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,31.0,1.5789473684210527,0,31.0
30116,2.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,35.0,1.7894736842105263,0,35.0
