,index,sub_ind,PID,month,date,stimset_rows,total_trials,nplanned_trialIDs,npresented_trialIDs,planned_trialIDs_all,presented_trialIDs_all,chargeSpeed,stim_dur,chargeSpeed_sorted,agent1_color,responses,agents_type,strategy,feedback
32,32,28032,665e65e919f6e1f21ea08fbd,8,8,73,48,7,7,"['95aaf072-b6be-4da4-9857-deaf20ab49f2', '215ead11-5650-429d-b541-0b107fbb996a', '609aaddc-b0c4-4442-b4ef-ba29fa1dbe22', '8b72023d-88b1-4615-b871-cac794edf1d9', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', '8b590505-e40d-4ff8-802d-5430cc2802b6', '7d40f846-95bc-4c08-b7a1-b4a410852b77']","['7d40f846-95bc-4c08-b7a1-b4a410852b77', '609aaddc-b0c4-4442-b4ef-ba29fa1dbe22', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', '95aaf072-b6be-4da4-9857-deaf20ab49f2', '8b590505-e40d-4ff8-802d-5430cc2802b6', '215ead11-5650-429d-b541-0b107fbb996a', '8b72023d-88b1-4615-b871-cac794edf1d9']","[9.0, 4.0, 6.5, 1.5, 7.75, 2.75, 5.25]","[7989, 8043, 8058, 8022, 8037, 8066, 8025]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'black', 'grey', 'grey', 'grey', 'black']","['the had a gravitational pull if close enough', 'same thing, except they both moved  in circles', 'they attacked each other more quickly', 'they moved slower to each other', 'moved quickly to each other than slowly moved apart', 'gray one slowly moved away in between collisions', 'the balls switched sides']",magnets,none,i was definitley confused on the point but it seemed straight forward
33,33,28033,668fa82eb6aad7177cb29ba0,8,8,83,48,7,7,"['0e704828-9ccd-480e-8056-3a2a8158df0f', '3fd185a3-34a1-4f1a-9d01-aee3deee3988', '48fe3ca9-b1df-491d-bef9-6d9c5edee227', '5f5a825b-b433-4986-b5d6-5239eb407d32', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', '905c9d73-dba9-472d-a6e4-ea3dcd3b3530', '9301277e-6b35-4aa7-bd52-4f56ae0f029b']","['0e704828-9ccd-480e-8056-3a2a8158df0f', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', '48fe3ca9-b1df-491d-bef9-6d9c5edee227', '905c9d73-dba9-472d-a6e4-ea3dcd3b3530', '9301277e-6b35-4aa7-bd52-4f56ae0f029b', '5f5a825b-b433-4986-b5d6-5239eb407d32', '3fd185a3-34a1-4f1a-9d01-aee3deee3988']","[1.5, 6.5, 4.0, 7.75, 9.0, 5.25, 2.75]","[8049, 8159, 8072, 8014, 8120, 8084, 8096]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'grey', 'black', 'grey', 'black']","['circular and magnetic', 'short circular and then attraction', 'drift and then attraction bounce', 'circle and then attraction ', 'total collision ', 'opposites attract. like a magnet', 'circular and then attraction collision']",magnets,no,no
34,34,28034,5debd384b48fa72bff8b0efc,8,8,81,48,7,7,"['29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836', '59df47e5-696a-407f-aa33-94dab9b3e492', '1d41f125-7386-42b4-8250-f6c540c627a8', '124d9b3a-acac-4627-93e0-f05b493598f3', '13e24563-ab7e-41df-adf6-e8e88b4d9e08', '8845e64c-078b-4a3a-a732-1efe937de14a', '3322caf5-0aeb-4230-89db-c56b23e94819']","['59df47e5-696a-407f-aa33-94dab9b3e492', '1d41f125-7386-42b4-8250-f6c540c627a8', '124d9b3a-acac-4627-93e0-f05b493598f3', '13e24563-ab7e-41df-adf6-e8e88b4d9e08', '3322caf5-0aeb-4230-89db-c56b23e94819', '8845e64c-078b-4a3a-a732-1efe937de14a', '29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836']","[2.75, 4.0, 5.25, 6.5, 9.0, 7.75, 1.5]","[8148, 8223, 8288, 8269, 8213, 8153, 8319]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'grey', 'grey', 'grey', 'black']","['The black dot seemed to be drawn to the grey dot and bounced off it', 'Periodically they would bounce off each other very quickly', 'They would attack each other quite quickly, the black dot moved first', 'The grey dot attacked the black dot first, moved very suddenly', 'Black dot fought the grey dot, attacked a few times', 'They took turns attacking each other, they moved quite far apart', 'Gently bounced off each other']",magnets,"No, just watching and analysing the dots",N/A
35,35,28035,5f2abd2599c656372b009d63,8,8,84,48,7,7,"['b3a507ff-2289-4ad3-8922-1a3d0532e154', '204d8c5c-c9ac-4aef-956d-74de8c6eedc4', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '35ae5b09-f580-4922-91bd-f22c23175a47', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '981d9d90-47c5-4443-a939-26060914c7e4', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56']","['35ae5b09-f580-4922-91bd-f22c23175a47', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '981d9d90-47c5-4443-a939-26060914c7e4', 'b3a507ff-2289-4ad3-8922-1a3d0532e154', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56', '204d8c5c-c9ac-4aef-956d-74de8c6eedc4', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79']","[5.25, 4.0, 7.75, 1.5, 9.0, 2.75, 6.5]","[8106, 8167, 7388, 8031, 8108, 8093, 8031]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'black', 'grey', 'black', 'grey', 'grey']","['floating bounce', 'circle bash', 'bash', 'gentle collide ', 'gliding smash', 'lazy hit', 'fast hitting black dot']",something else (describe on the next page),no I just watched their movements ,no
36,36,28036,669568cd1a4b4330eef514f9,8,8,76,48,7,7,"['50919f52-6a9c-4824-b24f-2f1aebd58e1b', '94eac034-9d70-40c0-89d4-d9a030a03d26', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '5f5a825b-b433-4986-b5d6-5239eb407d32', 'ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8', 'a57832a0-0b6a-4bdf-a636-adf042cd3fcc', '059f8cfb-52c8-47fd-8d26-b0fec58eafae']","['94eac034-9d70-40c0-89d4-d9a030a03d26', 'ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8', '5f5a825b-b433-4986-b5d6-5239eb407d32', '50919f52-6a9c-4824-b24f-2f1aebd58e1b', '059f8cfb-52c8-47fd-8d26-b0fec58eafae', 'a57832a0-0b6a-4bdf-a636-adf042cd3fcc', '7413c064-c0e5-4104-89aa-79d64ef9d6d9']","[2.75, 6.5, 5.25, 1.5, 9.0, 7.75, 4.0]","[7954, 8068, 8034, 8039, 7985, 7925, 8019]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'grey', 'grey', 'black']","['bumped', 'fought', 'collided', 'touched', 'attacked', 'collided', 'bumped']",children,"No, I just watched to see how hard the balls touched each other","No, but it was fun. Thanks"
37,37,28037,65cb7e57f253306997b3f5b1,8,8,77,48,7,7,"['e838dadb-c02f-4273-ae93-210720dcd06c', '8dc79a0d-b826-4ac2-8483-04346b06960d', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '124d9b3a-acac-4627-93e0-f05b493598f3', 'd80f638e-7e4b-4e80-bc19-a4b764fd7614', '015f75aa-de90-4fdc-8657-d630f1963869', '2abe0875-f8ff-4373-aad8-bca142211a09']","['d80f638e-7e4b-4e80-bc19-a4b764fd7614', 'e838dadb-c02f-4273-ae93-210720dcd06c', '015f75aa-de90-4fdc-8657-d630f1963869', '124d9b3a-acac-4627-93e0-f05b493598f3', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '8dc79a0d-b826-4ac2-8483-04346b06960d', '2abe0875-f8ff-4373-aad8-bca142211a09']","[6.5, 1.5, 7.75, 5.25, 4.0, 2.75, 9.0]","[8287, 8208, 8156, 8242, 8129, 8183, 8185]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'grey', 'black', 'black']","['The dots moved slowly apart then together quickly', 'The dots moved slowly apart then together at the same speed', 'The dots moved slowly then quickly together', 'The dots moved at the same speed apart then together', 'The dots moved slowly apart and a bit faster together', 'The dots moved slowly apart then together', 'The dots moved slowly apart then quickly together']",children,none,Thank You this was fun!
38,38,28038,66435e2e5c5b5aceb2195908,8,8,86,48,7,7,"['1f6c6525-a740-48c2-8dfc-9c4fb520c630', 'bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a', '83dec58f-0765-4ddc-b785-670d8025c467', '0a4312a1-7156-4c68-9698-0f1495558bee', '1827c058-6388-491a-b84c-d4d6c512039e', '8b590505-e40d-4ff8-802d-5430cc2802b6', '6e2932f2-a9d1-4f2a-9599-a872b605c1eb']","['1827c058-6388-491a-b84c-d4d6c512039e', '0a4312a1-7156-4c68-9698-0f1495558bee', '83dec58f-0765-4ddc-b785-670d8025c467', '6e2932f2-a9d1-4f2a-9599-a872b605c1eb', 'bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a', '1f6c6525-a740-48c2-8dfc-9c4fb520c630', '8b590505-e40d-4ff8-802d-5430cc2802b6']","[6.5, 5.25, 4.0, 9.0, 2.75, 1.5, 7.75]","[7965, 8145, 8136, 8145, 8135, 8108, 8133]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'grey', 'black', 'black', 'grey']","['They were colliding with each other.', 'They were hitting each other then moving away and doing it again.', 'They once again were hitting each other but making small circles before doing it.', ""They were copying each other's movements and then touching one another."", 'They were hitting each other but slower this time.', 'They were moving really slowly this time but still touching each other.', 'They moved far apart from each other then quickly touched each other.']",animals,"No, I did not.",None.
39,39,28039,593406f24e31b50001ce1721,8,8,90,48,7,7,"['e838dadb-c02f-4273-ae93-210720dcd06c', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4', '0890b767-b394-4f89-aea1-c60cab7014af', '46786fd0-ca59-4ffa-a772-fe489fdbd94c', '8bee64f6-a3cb-48f4-be48-142b9065f5d7', '3dbdd697-e200-4003-92f8-47202577ad0a', '6a57f963-5846-4eaa-a5d2-0e658499a4a9']","['46786fd0-ca59-4ffa-a772-fe489fdbd94c', '0890b767-b394-4f89-aea1-c60cab7014af', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4', '3dbdd697-e200-4003-92f8-47202577ad0a', '6a57f963-5846-4eaa-a5d2-0e658499a4a9', 'e838dadb-c02f-4273-ae93-210720dcd06c', '8bee64f6-a3cb-48f4-be48-142b9065f5d7']","[5.25, 4.0, 2.75, 7.75, 9.0, 1.5, 6.5]","[7830, 8076, 8011, 8034, 8010, 8029, 7979]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'grey', 'grey', 'black']","['The two dots clashed twice', 'The two dots clashed twice', 'The two dots clashed twice', 'The two dots clashed twice', 'The two dots clashed twice', 'The two dots gently clashed', 'The two dots clashed at medium speed']",animals,"No, I just closely watched to check what the balls did.",None
40,40,28040,66ae7fa3ccc23b75f1f7ceef,8,8,92,48,7,7,"['e4bc0778-6eb7-4065-bf77-a9b6e293735f', '32110051-52cf-4952-a6e5-4c5fe75760b7', '68382d9c-6cc5-4669-84bf-c8058e3c1472', '39d4c0f1-9195-4761-98c6-457bad8a2291', '3c21b0c7-30d1-41a7-99ae-02e24be36ad3', 'a57832a0-0b6a-4bdf-a636-adf042cd3fcc', '1be4605b-9f78-45d4-8eb0-87bdc69537e2']","['3c21b0c7-30d1-41a7-99ae-02e24be36ad3', '39d4c0f1-9195-4761-98c6-457bad8a2291', 'a57832a0-0b6a-4bdf-a636-adf042cd3fcc', '32110051-52cf-4952-a6e5-4c5fe75760b7', '68382d9c-6cc5-4669-84bf-c8058e3c1472', 'e4bc0778-6eb7-4065-bf77-a9b6e293735f', '1be4605b-9f78-45d4-8eb0-87bdc69537e2']","[6.5, 5.25, 7.75, 2.75, 4.0, 1.5, 9.0]","[8018, 8058, 7981, 8037, 8100, 8093, 8043]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'grey', 'black', 'black', 'grey']","['bumped into each other', 'bumped into each other', 'bumped into each other', 'bumped into each other', 'bumped into each other', 'bumped into each other slowly', 'bumped into each other quickly']",animals,No,No
41,41,28041,66acec4eb445355d1b98fbe7,8,8,85,48,7,7,"['1b1159fc-de2b-4ae5-a736-d98d8524a366', '112b96b3-6518-4053-ad9f-ff77320acc23', '96c2a684-adc3-4f98-8b2a-c19c48e7f5a9', '86e934a2-75ef-4084-a167-ce0ca737532d', '7c59d616-cf70-400a-8ebd-9b3cdfb854ec', '085d7298-e568-4752-a909-8eecf82e3ebc', '132133b4-5554-4500-9494-87f534100012']","['132133b4-5554-4500-9494-87f534100012', '86e934a2-75ef-4084-a167-ce0ca737532d', '112b96b3-6518-4053-ad9f-ff77320acc23', '96c2a684-adc3-4f98-8b2a-c19c48e7f5a9', '1b1159fc-de2b-4ae5-a736-d98d8524a366', '7c59d616-cf70-400a-8ebd-9b3cdfb854ec', '085d7298-e568-4752-a909-8eecf82e3ebc']","[9.0, 5.25, 2.75, 4.0, 1.5, 6.5, 7.75]","[8607, 9363, 9457, 9311, 9300, 9291, 8662]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'grey', 'black', 'black', 'grey']","['conflict', 'defensive', 'reaching', 'fighting', 'meeting', 'collision', 'consecutive collision']",something else (describe on the next page),I thought of parallels within aspects of life,None
42,42,28042,6655ecd3b5369fadf9c88349,8,8,91,48,7,7,"['81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b', '88ff8e25-5b4f-453c-add2-298ef66c683c', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '4cf04acf-6776-453a-a811-1c5e51c2ece4', '5456278f-d454-4194-af69-2784112cffb9', '8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9', '7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a']","['4cf04acf-6776-453a-a811-1c5e51c2ece4', '81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9', '88ff8e25-5b4f-453c-add2-298ef66c683c', '7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a', '5456278f-d454-4194-af69-2784112cffb9']","[5.25, 1.5, 4.0, 7.75, 2.75, 9.0, 6.5]","[7963, 8059, 8053, 8016, 8057, 7885, 8008]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'black', 'grey', 'grey', 'black', 'grey']","['collided twice', 'bounced off each other', 'drawn to centre and collided', 'moved quickly to bash each other', 'gently bumped ', 'sudden movement together', 'gentle nudging ']",magnets,i tried not to repeat myself and considered the force with which the dots were drawn to each other,None
43,43,28043,5b967b7400e06e0001bfbc20,8,8,99,48,7,7,"['15dfbaca-4429-4c18-90f4-8d4804129e6f', '42a6675b-868f-488d-a671-17a04c97ab01', '7c45bceb-e7dc-4a58-a9f2-02aa015541c6', '9ed3a785-369e-4eb1-b5ca-50d2602a44d4', 'ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', '059f8cfb-52c8-47fd-8d26-b0fec58eafae']","['9ed3a785-369e-4eb1-b5ca-50d2602a44d4', '059f8cfb-52c8-47fd-8d26-b0fec58eafae', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', '15dfbaca-4429-4c18-90f4-8d4804129e6f', '7c45bceb-e7dc-4a58-a9f2-02aa015541c6', '42a6675b-868f-488d-a671-17a04c97ab01', 'ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8']","[5.25, 9.0, 7.75, 1.5, 4.0, 2.75, 6.5]","[8012, 8042, 8036, 7981, 7985, 8051, 8015]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'grey', 'black', 'grey', 'black', 'black']","['Bumped together', 'Bumping fast', 'Still bumping', 'slow', 'attraction', 'magnetic', 'faster']",magnets,No,No
44,44,28044,6638e801816da06f1cecaa3a,8,8,96,48,7,7,"['e5e05e73-9cd0-4990-8da2-4962e0a03e5d', '8dc79a0d-b826-4ac2-8483-04346b06960d', '1a1c3419-9320-46a3-8b48-10e9514c3e7d', '1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed', 'e3160d16-fe5e-4987-918b-0921ab937804', '015f75aa-de90-4fdc-8657-d630f1963869', 'f45daf2e-6d4e-4a6f-ab5b-1829d67d93fe']","['e5e05e73-9cd0-4990-8da2-4962e0a03e5d', 'f45daf2e-6d4e-4a6f-ab5b-1829d67d93fe', '1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed', '1a1c3419-9320-46a3-8b48-10e9514c3e7d', '8dc79a0d-b826-4ac2-8483-04346b06960d', 'e3160d16-fe5e-4987-918b-0921ab937804', '015f75aa-de90-4fdc-8657-d630f1963869']","[1.5, 9.0, 5.25, 4.0, 2.75, 6.5, 7.75]","[8036, 8317, 8104, 8095, 8062, 8136, 8169]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'grey', 'grey', 'black', 'black', 'black']","['head on collision', 'collision ', 'slow headon collision', 'slower headon collidion', 'dots collide more frequently', 'sticky attraction leading to collision', 'collision ']",magnets,no,no
45,45,28045,66acde2a8b2e7c19d2c16e4c,8,8,97,48,7,7,"['fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', '46c1720a-0af5-44e9-b008-09b89ef78bd9', '609aaddc-b0c4-4442-b4ef-ba29fa1dbe22', '04b8ff17-66ff-4d6b-a0aa-a91efebb4368', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '5a652d01-49a0-4b52-a54c-51c21b53e0fe', '5b2465b2-47b6-4cc7-b06f-c362ff7454f8']","['609aaddc-b0c4-4442-b4ef-ba29fa1dbe22', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '5b2465b2-47b6-4cc7-b06f-c362ff7454f8', '5a652d01-49a0-4b52-a54c-51c21b53e0fe', '46c1720a-0af5-44e9-b008-09b89ef78bd9', 'fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', '04b8ff17-66ff-4d6b-a0aa-a91efebb4368']","[4.0, 6.5, 9.0, 7.75, 2.75, 1.5, 5.25]","[8128, 8293, 8378, 8167, 8179, 8173, 8305]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'black', 'grey', 'grey', 'black', 'black']","['battle between the two dots', 'drama ', 'single match fight', 'attraction ', 'they keep following each other', 'group work', 'rivals']",animals,nope,n/a
46,46,28046,665ddf309813ddc0869e8780,8,8,94,48,7,7,"['7e595f18-f375-4ca5-b922-61b8d693804d', '94eac034-9d70-40c0-89d4-d9a030a03d26', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '384dc3de-9717-4531-83a1-683588fe1381', '2c174300-1111-477c-b605-e34e6031cd26', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', '2abe0875-f8ff-4373-aad8-bca142211a09']","['2c174300-1111-477c-b605-e34e6031cd26', '384dc3de-9717-4531-83a1-683588fe1381', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '7e595f18-f375-4ca5-b922-61b8d693804d', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', '94eac034-9d70-40c0-89d4-d9a030a03d26', '2abe0875-f8ff-4373-aad8-bca142211a09']","[6.5, 5.25, 4.0, 1.5, 7.75, 2.75, 9.0]","[7958, 8055, 8013, 8002, 7963, 8022, 8044]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'black', 'grey', 'grey', 'black']","['dots moved randomly then twice bumped against each other', 'Both dots moving then the grey one moved sharply and bumped against the black one twice', 'Blacked moved first to bump into the grey dot twice', 'Gentle collisions between the two dots at the top of the screen, twice', 'Both dots performing circles until the grey dot moved sharply to collide with the black dot twice', 'Two gentle collisions between the dots', 'Black dot moved sharply to collide with the grey dot twice']",balls,Did watch to see which dot moved first towards the other. Also noted whether movement was gentle or sharp and aggressive,Interesting and quite enjoyable task
47,47,28047,65c656902030452cad69ec42,8,8,95,48,7,7,"['95aaf072-b6be-4da4-9857-deaf20ab49f2', 'cc654364-6ba7-42d1-b98c-c44f96b2e4e4', 'a0007ede-8266-4a38-bf86-2a3e66d5d5d4', '82cc23d1-ba4b-48c5-995a-a30d865ea249', '755a600e-d336-4f66-8771-52eed84faf02', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', '87da47db-3d5c-48b2-b3f2-123123d766f0']","['95aaf072-b6be-4da4-9857-deaf20ab49f2', '755a600e-d336-4f66-8771-52eed84faf02', 'a0007ede-8266-4a38-bf86-2a3e66d5d5d4', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', 'cc654364-6ba7-42d1-b98c-c44f96b2e4e4', '87da47db-3d5c-48b2-b3f2-123123d766f0', '82cc23d1-ba4b-48c5-995a-a30d865ea249']","[1.5, 6.5, 4.0, 7.75, 2.75, 9.0, 5.25]","[8060, 8302, 8192, 8092, 8163, 8117, 8206]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'black', 'grey', 'grey']","['both dots moved simultaneously and then hit each other twice.', 'Both dots moved simultaneously and then all of the sudden move towards each other and punched each other, then moved then dashed to each other again and punched.', 'Both dots move around and then slowly moved closer to each other and when got too close they hit each other, this happened twice.', 'Dots moved freely and at some periods of time they quickly dashed to each other and hit each other, then moved away, moved around and then again dashed to each other and hit each other.', 'Dots moved around then black one started moving towards grey closer and then they hit each other, then grey one started moving towards black one and they hit each other.', 'Dots moved around and all of the sudden they dashed to each other and hit each other, then moved away, moved around and then dashed towards each other again and hit each other.', 'Dots moved around and grey started to move faster towards black dot and then they black one reacted and also move faster towards grey dot and then they hit each other then they moved apart, this happened twice.']",animals,"No, just watched how dots moved around, however it reminds me a behaviour of  a sheep","No, all worked well. Not sure how much detail you were expected to received about dots movement. "
48,48,28048,668b937f858a8ddb00fabd75,8,8,89,48,7,7,"['50919f52-6a9c-4824-b24f-2f1aebd58e1b', 'c3cfe5d9-0b66-460b-a3db-a76a0df825ae', '70326c05-1133-4c5d-8a4c-3e71e0da8479', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '93e661c0-3f68-4205-9141-04164911b7e4', '453a1fa5-895a-4a5e-a4cf-25c0a35d74d2', '8e6be05b-c10c-43db-b062-a559f5033312']","['50919f52-6a9c-4824-b24f-2f1aebd58e1b', '93e661c0-3f68-4205-9141-04164911b7e4', '8e6be05b-c10c-43db-b062-a559f5033312', 'c3cfe5d9-0b66-460b-a3db-a76a0df825ae', '70326c05-1133-4c5d-8a4c-3e71e0da8479', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '453a1fa5-895a-4a5e-a4cf-25c0a35d74d2']","[1.5, 6.5, 9.0, 2.75, 4.0, 5.25, 7.75]","[8137, 8363, 7806, 8263, 8252, 8282, 8183]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'grey', 'black', 'grey', 'black']","['The 2 dots connect to each other twice', 'The dots hit each other twice', 'The gray and black dot hit each other twice', 'The dots slowly hit each other twice', 'The two dot meet each other', 'The two dot meet each other twice', 'The two dot meet each other twice']",balls,No,No
49,49,28049,666d648f96dab5b9abc8f50f,8,8,88,48,7,7,"['38ad4b16-44e2-4e52-8d02-b23eca73a48d', '4a2adf87-0f15-4bc0-9837-899addfb179c', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '8b72023d-88b1-4615-b871-cac794edf1d9', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68', '50f23891-0e3f-40d3-8bcb-a5bcfcec1987', '91327185-f59e-4ae7-a000-fd66526bab82']","['8b72023d-88b1-4615-b871-cac794edf1d9', '4a2adf87-0f15-4bc0-9837-899addfb179c', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '91327185-f59e-4ae7-a000-fd66526bab82', '50f23891-0e3f-40d3-8bcb-a5bcfcec1987', '38ad4b16-44e2-4e52-8d02-b23eca73a48d']","[5.25, 2.75, 6.5, 4.0, 9.0, 7.75, 1.5]","[8069, 8366, 8286, 8164, 8304, 8386, 8230]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'black', 'grey', 'black', 'grey', 'grey']","['The black dot was moving towards the gray dot and it hit the grey dot twice', 'The grey dot and black dot opposite each other hit themselves twice ', 'The dots floated around each other before hitting each other twice ', 'The black dot and the grey dot switched position and hit each other twice ', 'The black dot in a swapped position floated to the top of the box and hit each other twice with the black dot on top and bouncing on the grey dot twice  ', 'The black dot is now on the right and the grey dot on the left and they just bounced on each other twice rom the middle of the box ', 'The black dot still on the right but on top and the grey dot on the left beneath and they just bounced on each other twice  ']",magnets,"The strategy was that when ever each dot were opposite the other, they float towards themselves aggressively",None
50,50,28050,668aa4256573d6c6fa159aed,8,8,98,48,7,7,"['8ed7c0fc-1490-4e35-a000-7f7357a0772a', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93', '50781782-fbf2-4226-a593-5173be906638', '2d3d47a2-03c8-4642-84ec-a8f67c64868c', 'd80f638e-7e4b-4e80-bc19-a4b764fd7614', '7f445daf-d952-4bf3-b733-def683994895', 'abb20336-74c4-448b-a5f7-252c765a55f4']","['50781782-fbf2-4226-a593-5173be906638', '8ed7c0fc-1490-4e35-a000-7f7357a0772a', 'd80f638e-7e4b-4e80-bc19-a4b764fd7614', '2d3d47a2-03c8-4642-84ec-a8f67c64868c', '7f445daf-d952-4bf3-b733-def683994895', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93', 'abb20336-74c4-448b-a5f7-252c765a55f4']","[4.0, 1.5, 6.5, 5.25, 7.75, 2.75, 9.0]","[8151, 8648, 8369, 8365, 8268, 8437, 8372]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'black', 'black', 'grey', 'black']","['they hit each other', 'slowly came together ', 'the ball fast  hit each other ', 'the ball came together ', 'they touched each other ', 'they touch each other ', 'fast hitting each other ']",magnets,none,none
51,51,28051,6638f4ddbb20d81b9e600ef1,8,8,4,48,7,7,"['fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', '42a6675b-868f-488d-a671-17a04c97ab01', '9f53cd68-f278-45d6-806a-74eeef55bbcc', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b', '5456278f-d454-4194-af69-2784112cffb9', '50f23891-0e3f-40d3-8bcb-a5bcfcec1987', 'abb20336-74c4-448b-a5f7-252c765a55f4']","['42a6675b-868f-488d-a671-17a04c97ab01', '9f53cd68-f278-45d6-806a-74eeef55bbcc', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b', '5456278f-d454-4194-af69-2784112cffb9', 'fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', '50f23891-0e3f-40d3-8bcb-a5bcfcec1987', 'abb20336-74c4-448b-a5f7-252c765a55f4']","[2.75, 4.0, 5.25, 6.5, 1.5, 7.75, 9.0]","[8286, 8704, 8539, 8470, 8441, 8361, 8466]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'grey', 'black', 'grey', 'black']","['collision between dots', 'collision', '2 dots collide', 'two dots meet at a point', 'floating dots collide', '2 dots hit each other', 'collision between 2 dots']",magnets,no,interesting
