,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num
4,28047,95,2.75,8163,"Dots moved around then black one started moving towards grey closer and then they hit each other, then grey one started moving towards black one and they hit each other.",cc654364-6ba7-42d1-b98c-c44f96b2e4e4,4
3,28048,89,2.75,8263,The dots slowly hit each other twice,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,3
1,28049,88,2.75,8366,The grey dot and black dot opposite each other hit themselves twice ,4a2adf87-0f15-4bc0-9837-899addfb179c,1
5,28050,98,2.75,8437,they touch each other ,c49bbdbd-6e52-4da5-887c-72db9cec7d93,5
0,28051,4,2.75,8286,collision between dots,42a6675b-868f-488d-a671-17a04c97ab01,0
2,28052,6,2.75,8230,the dots moves and come back to meet ,4a2adf87-0f15-4bc0-9837-899addfb179c,2
3,28053,3,2.75,8035,Slow collisions,8dc79a0d-b826-4ac2-8483-04346b06960d,3
2,28054,8,2.75,8029,short,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,2
0,28055,2,2.75,8226,collided together twice,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,0
3,28056,4,2.75,8187,Dancing around,42a6675b-868f-488d-a671-17a04c97ab01,3
5,28057,14,2.75,8023,collided,c496efe1-6c3e-480d-856f-af132dbe7048,5
4,28058,13,2.75,9982,the two dots are having a friendly conversation,0bad25fa-4a38-4561-9d35-56f1108797cd,4
3,28059,80,2.75,8081,Thes dots moved slowly towards the bottom of the square and then moved toward each other and hit each other making contact twice traveling at a slow speed each time.,c496efe1-6c3e-480d-856f-af132dbe7048,3
2,28060,19,2.75,8182,bounced off each other twice,c49bbdbd-6e52-4da5-887c-72db9cec7d93,2
4,28061,19,2.75,8055,Slowly hit each other,c49bbdbd-6e52-4da5-887c-72db9cec7d93,4
4,28062,27,2.75,8045,bumps,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,4
2,28063,16,2.75,9503,Attract and then part,46c1720a-0af5-44e9-b008-09b89ef78bd9,2
5,28064,17,2.75,8191,They clashed twice,112b96b3-6518-4053-ad9f-ff77320acc23,5
2,28065,29,2.75,8057,seemed to be kind of mirroring one another and bumping into each other,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,2
4,28066,25,2.75,8094,"The dots moved slowly away from each other, came back and slowly hit each other",42a6675b-868f-488d-a671-17a04c97ab01,4
1,28067,32,2.75,8132,The dots move similarly but unpredictably and then touched,46c1720a-0af5-44e9-b008-09b89ef78bd9,1
0,28068,27,2.75,8007,Circled round each other and bumping into each other 2 times,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,0
1,28069,35,2.75,8147,crashed together,8dc79a0d-b826-4ac2-8483-04346b06960d,1
3,28070,26,2.75,8242,The dots moved to the right and then collided gently twice.,88ff8e25-5b4f-453c-add2-298ef66c683c,3
5,28071,33,2.75,8084,soft bounce,c496efe1-6c3e-480d-856f-af132dbe7048,5
3,28072,21,2.75,7997,linked,0bad25fa-4a38-4561-9d35-56f1108797cd,3
0,28073,35,2.75,8022,"the two dotsmoved similar to each other, and clashed with each other",8dc79a0d-b826-4ac2-8483-04346b06960d,0
0,28074,38,2.75,8106,kiss and makeup,112b96b3-6518-4053-ad9f-ff77320acc23,0
1,28075,30,2.75,8213,they came together and separated,215ead11-5650-429d-b541-0b107fbb996a,1
3,28076,31,2.75,8264,slow paced but coming together fast,3fd185a3-34a1-4f1a-9d01-aee3deee3988,3
2,28077,39,2.75,8542,circling before the first slow hit then the grey ball chased the black one before they hit again.,32110051-52cf-4952-a6e5-4c5fe75760b7,2
0,28078,40,2.75,8358,left dot pulled to the right after circling,42a6675b-868f-488d-a671-17a04c97ab01,0
4,28079,23,2.75,8051,pattern,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,4
5,28080,42,2.75,8107,They collided gently,215ead11-5650-429d-b541-0b107fbb996a,5
2,28081,43,2.75,8117,they are meeting each other nicely ,112b96b3-6518-4053-ad9f-ff77320acc23,2
