Participant,strategy,feedback_task,feedback_exp
40,Not particularly.  i just watched the movements of the dots to see which looked more like a chase.,No.,No
43,No,No,No
44,I tried to imagine the circles were children,,no
45,no,no,no
46,I just paid attention to the dots and tried to imagine how those movements would look like if it was children to judge the more difficult ones where it wasn't super clear whether someone was chasing or not,"In the first two rounds, the question of which dots chased who didn't show the colour of the dot next to the option, so I clicked these based on the location of the dot on the screen (left v. right) as I didn't know that it would be showing the colour as it did later.",No
47,no,no,no
48,Tracked the directional movement of the dot and paid attention to whether the gap was shortening between the two dots.,It all went smoothly. ,I liked the quick-fire nature of the study. It ran without a hitch.
49,"I spoke my observations out loud so I could easily recall them, to answer the questions.",No.,No.
50,no,no,no
51,None ,Interesting survey thanks,Interesting survey
52,paid attention,,No
53,"No, just tried to imagine as children playing in the park",Enjoyable,Enjoyable
54,Watching if one ball got closer to the other.,Sorry - accidentally missed one close to the end.,
57,No. Just my intuition,,No
58,"yees, I watched the dots",no,no
60,no,good study,No thanks
61,Looking at direction of a circle and see if a change of its direction would trigger a follow or change from the other circle's direction,No,No
62,just to see if one dot was constantly following the other,no,
63,"Established if it was chasing or independent play, then who the main chaser was",No thank you,No thank you
64,"No, just paid attention to what the dots were doing",No,no
65,No,,No
66,I looked at whether they seemed to be replicating each others action to determine if there was any interaction between them ,,
67,Looking for one of the dots taking evading action while the other always attempts to close in,,No
68,sometimes the dots were persuading the other to move into a corner,I think black was chasing grey more than vice versa,Quite long but gave it full attention and did my best
69,"No, just paid attention.",It is a nice easy task.,It wasn't bad at all.
70,"I just looked at the overall movement. If one circle was moving close and the other was moving away in the same direction, I classed it as a chase",No,
71,no,"different but interesting, thank you",no
73,no just tried to focus ,no.,no
74,no except observing closely ,no,no
75,If one was chasing the other then say the colour in my head to remember for the next screen as well as focusing on if they were chasing/independent,,No
76,NO,,NO
77,No,No,no
78,No,,"I enjoyed taking part. Some of the questions I feel would be answered with ""it depends"", but I tried to answer them best I could"
79,no,no,no
80,Looked at both dots to see which was retreating and which was chasing.,"No idea what the task is for, but I enjoyed it... Interesting!","Enjoyed it, thank you."
81,Depended on whether one dot created a change in direction to the other dot. ,,
82,no strategies really,none,nope- all good
83,no,no,no
84,I imagined actual children as the balls and pictured them on a playground. The circles made more sense to me this way.,No,No
85,No just watched the videos and imagined a park with two kids running around,No,no
86,I tried to imagine what the kids were doing.,"If I chose the color first, it wouldn't allow me to move the slider so my responses were always at midpoint if that makes sense",no
87,"no,just follow the balls",was interesting,was really interesting study
88,"seeing if one dot was backed into a corner, if both dots moved away at the same time",no,no
89,Not really? ,,No
90,Concentrating,none,it was very interesting to complete
91,I just looked to see if each dot looked like it was chasing the other as the task specified!,No feedback,Thank you for allowing me to partake in the survey. I hope you found the information you were looking for.
92,Not really i just watched to see if one of the dots consistently moved away from the other,,Nothing
93,No just watched their movement,No thank you,No thanks
94,No,No,Clearly looking for autism
95,I just followed the circles,no,no
96,none,none,none
100,no,no,no
101,"Not really, just tried to see if they made movements in similar directions ",Everything worked well,No!
102,no,no,no
103,Just tried to imagine if the pattern represented a child following another,No,No
104,j,no,no
105,My strategy was to watch the circles and see if they followed each other for longer than a few seconds.,I do not have any additional feedback on the task.,There is nothing else I'd like to add.
106,just tried to concentrate on initial movement,no,no
107,No,It was a really interesting task to do.,"My apologies if I missed a few answers at the start of the balls section, my laptop crashed, when I restarted the survey was still on screen so I continued on. Hopefully you can still use it. Good luck with it."
108,"I think I just looked for patterns in movement. When one of the dots made a smooth continuous movement without much deviation, it was clear that they were following a certain path and that tended to be a chasing scenario. Erratic movements backwards and forwards without much of a pattern tended to be independent movements. ",No,no
110,Not really- relied on my intuition and ability to read situations,it was actually really enjoyable!,No - was an enjoyable one!
111,I used the middle dot to determine if it was chasing or not,none,none
112,I would notice if the children were running towards each other like tag,Very interesting and good luck with your research.,"I love that you can click on the text and it highlights the bubble, not enough studies do this. I wish you the best in your research and thank you for using Prolific!"
113,no,no,no
114,no,no,no
115,just watched the dots,no,no thank you
116,Just looked for consistent movements in both,No,No
117,was one shadowing the other in which case they were chasing,no,Very interesting
118,looked for which dot was traveling towards the outside of the screen and looked if the other was following.,nope,enjoy life
119,"Not really, just focused on the two dots and answered according to the instructions",All Good. Thanks,It was an interesting one. Thanks
120,Not really. Just watched them,Nope,Nope
121,"direction of travel of dark circle first, speed of circles",none,no
123,I just follow the instruction.,I really enjoyed the task.,I really enjoyed the survey.
125,No,No,No
126,If there was no significant sign of a chase I would determine which one is chasing if the dot crosses the half way line.,Great Survey,Great Survey!
127,I said out loud the colour that was being chased so I remembered.,no,No
128,which dot was ahead of the other and which was moving the most,nice task,"Throughly enjoyed the tasks, thank you"
129,i looked at how the dots were moving whether it was a smooth movement ,no,no
130,no,no,no
131,"To remember which colour appeared to do the chasing. Other than that, I imagined the dots were actual children.",Seems a bizarre task but I'm sure it makes sense somewhere.,I can't think of anything
132,only trying to see if they were always going in the same direction,no,nothing in particular
134,just monitoring whether they chased changes in direction vs happening to follow a similar route,no,no
135,none,no,no
136,Just to observe the patterns in which they were moving,Very interesting task,nothing to add
137,Watching for patterns - found black chasing more than grey,none,no
138,Promixmity to determine a connection,,No
139,Kept an eye on the general trajectories of the dots and whether the seemed to follow the same pattern when it wasn't super obvious if they were chasing each other.,"Possibly have a slightly darker background, as focussing on a bright one for extended periods caused a bit of eye strain.",Everything loaded up correctly and provided instructions were clear.
140,No,,No
141,"I tried to interpret the movements to decide if the circles were ""chasing"" or not. It was very obvious in some examples but not so much in others, as children's play can be quite random. ","It was surprisingly easy to complete these tests, with little fatigue.","I often see the question ""I find it hard to make new friends"" on these sorts of studies. As someone who finds it very easy to make friends but less easy to maintain friendships, I feel the question doesn't always offer a full picture of an individual. It was just a thought I had went completing the questions. The survey as a whole was quite engaging and easy to complete."
142,"I took note of which dot appeared to be moving more spontaneously, as I feel children tend to move more spontaneously when giving chase. ",This was a fun task.,Nothing to add. 
143,I watched for one dot following the other or evasive action by one dot,I sometimes had to click 2 or 3 times before it registered,no
144,I just watched very carefully and concentrated.,I actually felt a little creeped out by the little balls creeping up on each other.,Interesting and thought provoking.
146,"I tried to keep an open view of both dots, or concentrate on the middle of the area to see how the dots interacted.",No,No - It was clear and went well
147,no,no ,no 
149,no,really fun,no
150,Just made a best jusgement on each one,Nothing to add,Nothing further to add
152,No - just looked hard,,No thank you
153,"When asked to click who was the chaser, depending on which side of the slide I was on I clicked the closest ball.",I have an inkling there is more to this. Perhaps a study on biases and behaviors of what is perceived as hostilities depending on the behavior exhibited by an aggressor who is a POC or White person. Thank you for letting me participate.,Thank you for the opportunity.
154,watch the screen carefully,it made me actually imagine the scene,no
155,No,,
156,Not really - I just tried to keep an eye on which dot was consistently moving towards the other,,
157,Focusing on both dots at the same time with both eyes,Maybe buttons on keyboard to press instead of clicking with mouse as this would be faster,
158,make sure to see what circle followed who,none,All good
159,Tried to put the dots as children and work out their intentions if any,Interestiing,It was unusual. I liked it.
160,paying close attention to the patterns,was fun,"very interesting, thank you"
161,No,No,No
162,No,No,no thank you
163,I watched which one was following the other and felt to see which one was more 'dominant' than the other,"No, only that you cannot use memory-based attention checks to screen out users . Your attention check on what the balls represent (children) isn't legitimate according to Prolific's rules as it relies upon a memory based check which you did not put adequate reminders of.",I think that the questionnaire was an autism test and that the study was based upon whether or not people who place stronger on the spectrum have a harder time recognising patterns in the original children chasing task
164,no,none,NO
165,"I imagined kids careering around and loked for an ""interest"" or intent to chase","all good, thanks","all good, thanks"
168,no,"was surprised that the page moved on so quickly once you clicked on black/grey - and that you didn't have to hit the middle of the circle to choose, the word was enough",no
169,no,no,no
170,Monitored the path of the balls in relation to each other,,
171,No,No,No
172,watching to see if one moved towards the other,none,no
173,no,no,-
174,No i just looked at the dots ,If you pick the colour first it skips to the next animation,I had fun 
175,Tried to decide how much one was following the other intentionally,No,No
176,Nothing specific,none,none
177,"Seeing if either dot moved directly towards the other one, and telling myself which dot moved with more intention. ",no,
178,Watching to see if there were any signs that one dot tried to head off the other or trail after them.,"Interesting task, one I assume can only be done by a human?","Interesting study, thanks for letting me take part!"
179,No,There were some examples of both chasing then moving away which made it difficult to judge,No
180,no,no,No
181,not really - just staying alert,interesting/something different!,I recognised the questionnaire - I am already diagnosed autistic.
182,looking at the  movements of the dots and checking to see if one is moving closer to the other ,na,na
183,"I watched the two circles and saw which one appeared, if any, to be chasing the other. For the tasks where I didn't notice chasing but still had to guess which may have been the 'chaser' I watched and saw what color dot seemed to be running towards the other with purpose, even if only for a second.",Nothing else I can think to add,Nothing else I can think to add
184,keep an eye on both as much as possible ,it was easier to follow the black dot,none
185,"I just focussed on the two dots and how far apart they were from each other. The closer they were, the more likely I was to put 'chasing'",,Really enjoyed it.
186,watched their movement,no,No
188,No,No,No
189,No,No,no
190,I tried to focus on remembering which circle was chasing first then rate the chasing. I also realised that when they moved in similar motions they might be chasing each other so it was slightly harder to rate who chases who,The breaks were nice but not so many were needed I think,"No, all went well"
191,I looked to see if they were chasing or moving on their own.,"It was fun, thank you.",I enjoyed it!
193,"If one dot was following the other dot for the whole duration, I moved the slider to the far left. If the one dot followed the other dot some only a small time, I would move the slider to the centre or slightly right. If it didn't look like one circle was following the other, I would move the slider to the far right.",Larger box needed for the typing.,No
194,Just watched if they came close to each other and then if one chased the other.,Nothing,Nothing
195,tried to imagine myself as a chaser looking from above,very interesting,after the first section watching the dots there wasnt an opertunity to enter prolific ID when prompted
196,no,i counted chasing as when one dot made a straight line for the other and then followed it around,I found it very interesting! The questions at the end seemed to be picking out autistic traits.
197,Don't think so,No,no
198,No,No,No
199,"Not particularly, just watched the circles. But sometimes one circle looked like it was searching while the other looked like it was running away, so I took that into consideration","Only that there was no button for if we think they are acting independently. You still ask to choose who is chasing who, but if they're acting independently, then that is irrelevant ",It was interesting
200,"No, I just watched really carefully and said in my head who was chasing who so I would remember.",no,"I found the time constraint hard in the first half because I have dyspraxia, so it takes me longer to do things."
201,no,thank you,no thank you
203,"if one ball was chasing the other for more than 3 seconds, i said it was a chase.",nothing,was it an autism test?
204,I noticed if one circle was clearly following the other for a prolonged period of time to decide whether it was chasing or not,,
205,no,no,no
206,"I watched till the end as sometimes it was not clear, or you thought they were chasing and then they would part.","Long task, can be weary on the eyes",A very interactive survey but long
207,no,no,no
208,no,no,no
209,looking to see if they were generally moving in the same direction at the same time,-,-
213,focused on what they're doing,no,no
214,No,,Nothing.
215,"while watching I was saying the colour I thought was the chaser, so that I would not forget. Also, I would use the sides closer to the the middle when the situation was not obvious but ends for the very obvious ones.","it was very good that this task was split into so many breaks, otherwise I would probably lose my concentration at some point. Very helpful.","I am not a native speaker, and so - although fluent - sometimes I find it difficult to follow a fast-paced conversation, especially if spoken in strong accents. I am an introvert and love reading. Good in social situations but only with certain people."
216,no,no,no
217,looked which dot followed the other more to determine who was chasing,,Perhaps have an option to change contrast. Very bright white background hut eyes
218,Nothing beyond looking,No,No
219,tried to remember to the best of my ability,no,no
220,no,no,no
221,tried to gauge any pattern to movements,none,nothing
222,"I watched the circles, assessed if one seemed to be 'running away' from another, and then if the other followed",Interesting,Interesting experiment
223,The way in which one ball followed the other and the direction,no,no thank you
225,no,,no
226,"Not really, I focused on the movements of the dots ",All Good,"No, Thank You"
227,I checked the direction of dots (children) toward each other,everything was clear,Everything was clear
228,I just watched which spot moved towards the other one first,No,No
229,no,,Na
230,watch the dots to see if one was chasing the other,,
231,no,no,no
232,I just watched to see which one was chasing which.,"No, I enjoyed it. Easy to follow study.",No
233,looking if one followed or tried or cut off the other,it was fun,"No it's okay, I enjoyed the first part though."
234,concentrate and watch their directions,good task,no
235,just watching,,
236,Nothing specific,An interesting task,Choosing a coloured dot to say which was chasing when I've made the decision there was no chase seems a bit odd
237,to try and see if the two circles were moving along similar tracks,It was difficult as it was a short time frame for each screen,Nothing comes to mind
238,no,no,no
239,Just watching the dots to see if they move towards each other and continue following,No,
240,just watched what way the balls would go,no,i enjoyed the survey
241,No.,No.,No.
242,Watching one circle to see where it went,I enjoyed the task ,I enjoyed this survey
243,No,,Nothing to add
244,"No strategies, just imagination for each example separately",No additional feedback,No
245,No,No,No
246,Justr watched how they interacted,No,no
247,No,No,No
248,Just keeping an eye on both circles,no,no
249,no i just looked at the patterns and paths the dots followed,very interesting as i could almost see the children playing ,I thought it was very interesting and it made me think about how I feel about interacting with others.
250,"tried but not really, just watched for who was chasing",no,no
251,I followed the direction of the circles,Nothing,There were no issues
252,I just watched the dots to see if they seemed to be chasing each other or not.,I found the breaks increasingly useful towards the end.,No
253,I tried to map the paths the 2 circles would be leaving to see their directions, , 
254,followed the dots with my eyes to see if a pattern emerged.,By the end my eyes were beginning to tire.,no
255,not particularly ,fun study,good study
256,I had no specific strategy,There were no errors,There were no issues
257,no,Nothing,no
258,I just tried to watch both circles to see what was happening,I enjoyed it,"I enjoyed it, there were no issues"
259,I carefully considered the pattern of the dots to establish any correlation between the movement of the two,"None, thank you","None, thank you"
260,No,It was a fun task,No
261,No,No,No
263,No,N/a,N/a
264,nothing particular apart from seeing if the dots were chasing of is one dot was trying to get the other to chase them ,,
265,I just focused on both balls and watched to see if one began following another.,No other feedback.,
266,If the dots moved more than 3 seconds in opposite directions then it was not chasing,No,No
267,"Looked for reactions of the other circle in relation to movement of the other. When another was being chased, the other circle would always ""run away"". Whereas when they were moving independently it was much more difficult to see this relation. ",N/a,N/a
268,if the circles were following the other circles direction for longer than a second or so they were chasing,,
269,just followed both dots to see if either were moving towards each other,no,no thanks
270,I tried to imagine the circles as heads,Everything was smooth,Very smooth survey
271,I tried to imagine what they were doing,It was a bit monotonous,no
272,no,no,no
273,no,no, no
275,Follow the one which moved towards the other. See if they moved in the same direction.,,No
277,Just to follow the dots carefully ,No,no
278,"If dots crossed paths and continued at trajectory, this means there was no chasing. This was my only rule, the rest was just intuition",good fun! thank you :),
279,"just relaxed, calmly watched the animation, and tried to determine if one of the dots seemed to follow the other.",no,no
282,"Smaller, smooth adjustments in a ball's trajectory made me think it was most likely following.",,
283,"Mainly just tracking how one ball reacted to the other, if their movements had an impact to see if it was a chase","None, fun task","No, but good fun"
285,I tried observing which dot was reacting to the movement of the other,All went well,Good luck with your research!
286,The ball that follows the others movements and mimics there path were generally following. ,No,No
287,no,no,It was very interesting and thought provoking
288,I tried to see how close they was following.,Thank you.,This has been a very well written study. Easy to read and understand. Thank you. Graham
289,Noticing if the dots were following each other or not,no,no
290,No,No,No
291,"No, I just observed whether one dot looked to be following the other.",Nothing comes to mind.,Nothing comes to mind
292,"Yes, who chases whom first is the chaser, ","it is very interesting challenge to figure the chaser, I can imagine this real children chasing each other",Thank You
293,I said to myself in my head 'grey moving toward black' or vice versa,,
294,I just watched and pictured children running,none,it was interesting
295,I looked to see how long a ball would stay in the same direction as the other ball.,No technical issues. Thanks,It was interesting
296,None. I just paid attention to the circles.,N/a,
297,no,no,No
298,No,No,No
299,Just seen if it looked like one was copying the others movements. ,no,no
300,"Not really, but tried to count in seconds how long one color looked like it was chasing the other color, if at all.",I found it fun. Thank you.,Thank you
301,no,no,
302,I tried to trace how fast each were going and their pathways ie movements. I thought maybe sometimes one of the children/dots were shifting from side to side to not let the other past which I classed as the chaser.,"I really enjoyed this task, these are my favourite kind of tasks.",I am wondering if this is a study about autism/ neurodivergence. I really enjoyed this task and hope you get something from it. Good luck with your studies.  
303,no,,
304,Watch for definite movement toward one circle,No,"No, the survey went well"
305,watching the 2 circles to follow their patterns,none,no
306,no,no,no
307,no just followed the patterns of the dots,interesting ,interesting survey
308,no,no,no
309,no,enjoyable task,no
310,Follow the black dot to see what it was doing,none,
311,i did what was asked,very good,very good i enjoyed it
312,"Not really, just focusing on the dots and trying to ascertain if there was any chase movement",nice straightforward task,An interesting survey that I enjoyed
314,watch both individually and their trajection,no,I enjoyed the second part more
315,"No, just tried to stay focussed",Was harder than expected to concentrate as all started merging into one after a while,No
316,no,the dots when got to edge made me feel like the dot was cornered as in being bullied,i enjoyed it and found out how my moods are at present 
318,I simply watched the dots ,Nothing to add,This was an interesting study and I am curious to find out what the researchers are trying to find.
319,"Watching where the two dots moved, trying to visualise",nothing else ,nothing
320,Watching the direction and speed,No,no
321,Not really just zoned in on what was moving more and could then see if it was a chasing dot or not,No thank you,No
322,watch the dots closely,no,no
323,see which one is moving toward the other,it's interesting,"Interesting, I am Autistic"
325,"yes as the animation appeared I would say in my head "" black is chasing grey"" or ""grey is chasing black"" and if there was no chase I would just random guess the colour as suggested",The task was simple and easy to understand. ,no
326,NO,No,
327,No,No,No
328,Just tracking with eyes ,No,I think it was trying to see if the person had autistic traits. 
329,"I considered whether they moved/change direction at the same time, whether they advanced/retreated on the other, any darting to and fro/feints, whether one was nearer/driven to the edge of the square",none,
330,I watched to see if either dot was heading towards the other or away from to determine whether they were chasing the other.,No,"Easy to complete, no problems."
333,tried to imagine children playing in a park,no,no
335,"Seeing if one was following another for a period of time, typically assumed that was chasing",No,
336,"nol. just looking if the dots at some point chase each other they ""avoid"" each other",no,no
337,nope,,
338,how close they were,no,no
340,Watched carefully!,no,no
341,no,no thanks,thanks 
342,I was focusing on the black dot most of the time,,
343,imaging playground chasing and games when young,none thank you,interesting
344,Yes when balls where chasing each other they were moving in  same line,"None, it was a fun task","None, it was good to understand myself better with the MCQ"
345,imagine the children in the playground and decide if they're trying to corner the other one or stop them from moving across the square,No,Very interesting survey. If I had to guess the purpose it would be how people with Autistic traits perceive actions
346,no,none,no
347,i just concentrated as much as possible ,no but it was enjoyable,i enjoyed that 
348,no,no,
