stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind
701355d0-4ab7-43fb-a2dd-0392c7a45de7,mimic,120,0.0,2.943,0,2,57
47505654-05f0-4b92-a9a3-978c80bda46b,chase,0,100.0,2.756,1,2,58
1bc0b0c8-e058-4a68-bdab-65b544a8848d,chase,120,48.0,2.578,1,2,59
70f615a0-31d5-42b9-a44b-f5746c0b41a8,wander,180,33.0,2.162,1,2,60
12a3cd27-040f-4199-9edb-5cd4bb71b3d0,wander,180,41.0,2.84,0,2,61
7e113c5d-92b4-4c01-9588-dae0fb76eb5f,chase,150,52.0,2.883,1,2,62
5744f837-93bf-4eba-bddf-e630dedf974e,chase,150,66.0,2.744,0,2,63
1d35e834-4947-46b2-9cbd-816ea4587c6f,wander,180,0.0,2.458,0,2,64
16088d09-c11d-4b03-8c77-f92a33554c1e,chase,90,85.0,2.439,1,2,65
9c46112a-3307-42b7-8386-bdf38ba679af,chase,150,95.0,3.785,1,2,66
df2b4818-3777-48b6-924c-bcd056405d46,mimic,150,22.0,2.989,0,2,67
ab00d160-e81d-4e88-8498-f20c2da7c451,mimic,60,0.0,2.198,0,2,68
1b31e266-55d6-4286-af68-8a316608fe1f,mimic,150,16.0,2.573,0,2,69
c6499c88-e947-4ab5-8cde-3013da4d084f,chase,30,100.0,2.461,1,2,70
866a8867-d05f-4a43-a450-97e5fd6015f8,mimic,90,21.0,2.806,0,2,71
7fa729b4-a76f-4d75-a22b-3ecddb220ae0,mimic,90,36.0,2.039,0,2,72
55f379fa-f719-4bdf-85a4-a15f0d03283d,mimic,150,20.0,3.589,0,2,73
a7fd07d1-e946-43a4-882d-0b3b7882ed21,chase,60,100.0,4.533,1,2,74
816e0a69-dfb6-4a6f-8ffe-97d092e27835,chase,0,100.0,2.82,1,2,75
4e1f0fd0-6be1-4dea-9769-9d52ec74cd81,mimic,150,18.0,2.739,0,2,76
7e4763cb-3bf2-48e1-a717-5314c5f41fa6,mimic,90,27.0,2.375,1,2,77
24c2e50f-6cd9-4181-bf15-db2e7239f3c3,mimic,150,34.0,2.748,1,2,78
99fed5db-be9d-4d5f-8fef-1baaad5f1b70,chase,150,26.0,2.409,1,2,79
5de53504-97fe-436b-ba5c-5bfff70f79fe,mimic,0,0.0,2.659,0,2,80
7ed77af1-6d60-43c4-9657-fde7e23cdef5,mimic,120,37.0,2.422,1,2,81
37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,chase,0,100.0,2.712,1,2,82
c03f6639-c5f0-4ded-bb0a-19a112cefe1c,mimic,60,0.0,2.491,1,2,83
a0f0c207-c5ff-40e5-a612-66cc47e3aca2,mimic,0,10.0,3.204,0,3,0
d23dc934-a2e5-4952-b5f2-7acd20fccd30,mimic,30,0.0,2.413,0,3,1
4f077c82-959e-43e6-9381-8f6126e6ff29,mimic,60,7.0,2.044,1,3,2
