,subID,stimset_rows,chargeSpeeds,stim_dur,responses,RT,movie,trial_num
50,26001,360,1.5,8208,24.0,8.3,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,50
56,26001,360,1.5,8194,13.0,3.87,50919f52-6a9c-4824-b24f-2f1aebd58e1b,56
66,26001,360,1.5,8089,68.0,2.99,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,66
0,26001,360,2.75,8350,78.0,4.97,c496efe1-6c3e-480d-856f-af132dbe7048,0
2,26001,360,2.75,8130,27.0,2.42,215ead11-5650-429d-b541-0b107fbb996a,2
8,26001,360,2.75,8095,13.0,2.47,8dc79a0d-b826-4ac2-8483-04346b06960d,8
15,26001,360,2.75,8210,10.0,1.93,4a2adf87-0f15-4bc0-9837-899addfb179c,15
16,26001,360,2.75,8117,33.0,3.59,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,16
28,26001,360,2.75,8211,22.0,3.79,112b96b3-6518-4053-ad9f-ff77320acc23,28
54,26001,360,2.75,8195,18.0,2.89,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,54
55,26001,360,2.75,8144,29.0,3.3,59df47e5-696a-407f-aa33-94dab9b3e492,55
57,26001,360,2.75,8211,26.0,5.03,c49bbdbd-6e52-4da5-887c-72db9cec7d93,57
69,26001,360,2.75,8095,21.0,2.0,46c1720a-0af5-44e9-b008-09b89ef78bd9,69
1,26001,360,4.0,8181,65.0,2.1,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,1
3,26001,360,4.0,8186,30.0,2.51,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,3
4,26001,360,4.0,8068,74.0,3.36,1d41f125-7386-42b4-8250-f6c540c627a8,4
9,26001,360,4.0,8066,67.0,2.16,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,9
19,26001,360,4.0,8094,39.0,2.57,68382d9c-6cc5-4669-84bf-c8058e3c1472,19
21,26001,360,4.0,8093,59.0,2.39,7c45bceb-e7dc-4a58-a9f2-02aa015541c6,21
23,26001,360,4.0,8211,37.0,2.6,114b2369-dce5-4979-8319-c64c85175e6a,23
24,26001,360,4.0,8073,30.0,4.59,7413c064-c0e5-4104-89aa-79d64ef9d6d9,24
64,26001,360,4.0,8080,28.0,2.14,1a1c3419-9320-46a3-8b48-10e9514c3e7d,64
65,26001,360,4.0,8096,67.0,2.24,70326c05-1133-4c5d-8a4c-3e71e0da8479,65
5,26001,360,5.25,8203,73.0,3.15,1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed,5
27,26001,360,5.25,8156,64.0,9.9,04b8ff17-66ff-4d6b-a0aa-a91efebb4368,27
29,26001,360,5.25,8207,38.0,1.93,4cf04acf-6776-453a-a811-1c5e51c2ece4,29
31,26001,360,5.25,7972,65.0,3.85,0a4312a1-7156-4c68-9698-0f1495558bee,31
39,26001,360,5.25,8167,41.0,3.69,86e934a2-75ef-4084-a167-ce0ca737532d,39
40,26001,360,5.25,7907,66.0,6.31,46786fd0-ca59-4ffa-a772-fe489fdbd94c,40
48,26001,360,5.25,8136,64.0,8.75,124d9b3a-acac-4627-93e0-f05b493598f3,48
61,26001,360,5.25,8178,38.0,5.59,5f5a825b-b433-4986-b5d6-5239eb407d32,61
63,26001,360,5.25,8187,34.0,2.6,2d3d47a2-03c8-4642-84ec-a8f67c64868c,63
67,26001,360,5.25,8051,67.0,3.23,8a889364-bfa4-42f7-8d4c-ee7478ea863c,67
6,26001,360,6.5,8147,72.0,1.74,7c59d616-cf70-400a-8ebd-9b3cdfb854ec,6
10,26001,360,6.5,8046,65.0,2.81,d80f638e-7e4b-4e80-bc19-a4b764fd7614,10
12,26001,360,6.5,8083,68.0,2.62,187f8493-9a30-43cc-a2bd-5d96f6d2263d,12
33,26001,360,6.5,8076,31.0,3.3,ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8,33
37,26001,360,6.5,8186,41.0,5.35,2c174300-1111-477c-b605-e34e6031cd26,37
38,26001,360,6.5,8098,66.0,8.18,e2c787c5-5358-4a21-bb35-c422b37ef982,38
43,26001,360,6.5,8129,75.0,2.14,14c0e4c6-94d9-41ec-b44a-5f6c8678230e,43
51,26001,360,6.5,7993,43.0,4.32,1827c058-6388-491a-b84c-d4d6c512039e,51
58,26001,360,6.5,8168,23.0,6.62,e3160d16-fe5e-4987-918b-0921ab937804,58
68,26001,360,6.5,8202,35.0,2.16,93e661c0-3f68-4205-9141-04164911b7e4,68
7,26001,360,7.75,8040,76.0,1.9,905c9d73-dba9-472d-a6e4-ea3dcd3b3530,7
11,26001,360,7.75,8070,40.0,2.42,09060d5d-c3e1-451b-a3b5-4b2b567660ff,11
13,26001,360,7.75,7992,59.0,3.48,65eed33d-db39-4b87-b8a4-de20693d3821,13
18,26001,360,7.75,7998,82.0,2.98,8845e64c-078b-4a3a-a732-1efe937de14a,18
25,26001,360,7.75,7470,,,981d9d90-47c5-4443-a939-26060914c7e4,25
26,26001,360,7.75,8076,40.0,2.34,534a6ddb-dbec-42ac-b559-3f4cbdd66423,26
35,26001,360,7.75,8068,57.0,7.85,7b0c39f7-8bb3-4c19-94da-30117a8ec17d,35
36,26001,360,7.75,8086,39.0,5.68,a57832a0-0b6a-4bdf-a636-adf042cd3fcc,36
52,26001,360,7.75,8097,84.0,4.36,50f23891-0e3f-40d3-8bcb-a5bcfcec1987,52
59,26001,360,7.75,8138,27.0,3.78,453a1fa5-895a-4a5e-a4cf-25c0a35d74d2,59
22,26001,360,9.0,8220,91.0,3.47,f45daf2e-6d4e-4a6f-ab5b-1829d67d93fe,22
30,26001,360,9.0,7695,84.0,2.95,8e6be05b-c10c-43db-b062-a559f5033312,30
34,26001,360,9.0,8116,61.0,5.14,132133b4-5554-4500-9494-87f534100012,34
41,26001,360,9.0,8131,72.0,6.39,16718611-6bca-4e79-8071-94d68c181ba1,41
42,26001,360,9.0,8190,61.0,5.52,5b2465b2-47b6-4cc7-b06f-c362ff7454f8,42
46,26001,360,9.0,8210,26.0,2.39,2abe0875-f8ff-4373-aad8-bca142211a09,46
47,26001,360,9.0,8090,36.0,3.24,059f8cfb-52c8-47fd-8d26-b0fec58eafae,47
53,26001,360,9.0,8070,72.0,4.05,7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a,53
60,26001,360,9.0,8141,59.0,2.76,91327185-f59e-4ae7-a000-fd66526bab82,60
62,26001,360,9.0,8099,,,87da47db-3d5c-48b2-b3f2-123123d766f0,62
2,26002,256,1.5,8481,23,2.44,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,2
17,26002,256,1.5,8770,4,4.38,8ed7c0fc-1490-4e35-a000-7f7357a0772a,17
22,26002,256,1.5,8588,0,3.48,b3a507ff-2289-4ad3-8922-1a3d0532e154,22
27,26002,256,1.5,8451,7,2.73,7e595f18-f375-4ca5-b922-61b8d693804d,27
31,26002,256,1.5,8334,5,2.42,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,31
38,26002,256,1.5,8648,11,3.3,0e704828-9ccd-480e-8056-3a2a8158df0f,38
45,26002,256,1.5,8601,12,2.13,e4bc0778-6eb7-4065-bf77-a9b6e293735f,45
53,26002,256,1.5,8649,2,4.6,e838dadb-c02f-4273-ae93-210720dcd06c,53
57,26002,256,1.5,8519,7,3.29,15dfbaca-4429-4c18-90f4-8d4804129e6f,57
65,26002,256,1.5,8537,11,4.9,95aaf072-b6be-4da4-9857-deaf20ab49f2,65
3,26002,256,2.75,8704,14,2.93,c496efe1-6c3e-480d-856f-af132dbe7048,3
19,26002,256,2.75,8276,8,4.03,8fa1d226-bf98-4c72-8961-7121546d4a11,19
23,26002,256,2.75,8652,5,3.25,3fd185a3-34a1-4f1a-9d01-aee3deee3988,23
34,26002,256,2.75,8648,18,3.05,32110051-52cf-4952-a6e5-4c5fe75760b7,34
35,26002,256,2.75,8533,15,3.39,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,35
41,26002,256,2.75,8629,11,4.01,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,41
44,26002,256,2.75,8568,22,3.12,8dc79a0d-b826-4ac2-8483-04346b06960d,44
56,26002,256,2.75,8744,6,2.12,42a6675b-868f-488d-a671-17a04c97ab01,56
59,26002,256,2.75,8699,21,4.06,215ead11-5650-429d-b541-0b107fbb996a,59
63,26002,256,2.75,8463,18,2.48,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,63
18,26002,256,4.0,8731,11,2.63,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,18
20,26002,256,4.0,8450,98,2.96,50781782-fbf2-4226-a593-5173be906638,20
24,26002,256,4.0,8556,85,2.32,7c45bceb-e7dc-4a58-a9f2-02aa015541c6,24
26,26002,256,4.0,8572,45,4.03,1f7aa6f4-6516-4b90-8eeb-142b1437644b,26
28,26002,256,4.0,8624,23,2.52,1a1c3419-9320-46a3-8b48-10e9514c3e7d,28
29,26002,256,4.0,8524,83,2.59,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,29
30,26002,256,4.0,8650,65,5.55,0890b767-b394-4f89-aea1-c60cab7014af,30
39,26002,256,4.0,8674,15,6.1,68382d9c-6cc5-4669-84bf-c8058e3c1472,39
48,26002,256,4.0,8770,64,4.25,114b2369-dce5-4979-8319-c64c85175e6a,48
68,26002,256,4.0,8588,71,2.4,fb491605-8f46-43ab-ba62-bfd86d95e4d6,68
1,26002,256,5.25,8625,97,3.02,8b72023d-88b1-4615-b871-cac794edf1d9,1
8,26002,256,5.25,8550,32,4.99,5f5a825b-b433-4986-b5d6-5239eb407d32,8
11,26002,256,5.25,8454,97,3.0,9cf1ba8f-113d-408d-831d-4cf31ca51b3b,11
13,26002,256,5.25,8663,12,2.72,39d4c0f1-9195-4761-98c6-457bad8a2291,13
43,26002,256,5.25,8693,38,2.78,2d3d47a2-03c8-4642-84ec-a8f67c64868c,43
52,26002,256,5.25,8521,9,2.07,2ef99e5f-bc49-429b-b086-41ed4571b58a,52
55,26002,256,5.25,8611,69,3.02,82cc23d1-ba4b-48c5-995a-a30d865ea249,55
58,26002,256,5.25,8404,93,4.1,86e934a2-75ef-4084-a167-ce0ca737532d,58
60,26002,256,5.25,8312,6,3.6,0a4312a1-7156-4c68-9698-0f1495558bee,60
62,26002,256,5.25,8631,78,2.18,04b8ff17-66ff-4d6b-a0aa-a91efebb4368,62
4,26002,256,6.5,8537,81,2.5,e3160d16-fe5e-4987-918b-0921ab937804,4
5,26002,256,6.5,8689,69,5.33,2c174300-1111-477c-b605-e34e6031cd26,5
14,26002,256,6.5,8882,66,5.4,3c21b0c7-30d1-41a7-99ae-02e24be36ad3,14
36,26002,256,6.5,8381,71,4.22,8bee64f6-a3cb-48f4-be48-142b9065f5d7,36
42,26002,256,6.5,8678,88,2.67,d98f2d5f-eb3b-4ebd-b714-878343382f2a,42
46,26002,256,6.5,8421,91,7.67,5456278f-d454-4194-af69-2784112cffb9,46
47,26002,256,6.5,8578,79,3.36,755a600e-d336-4f66-8771-52eed84faf02,47
54,26002,256,6.5,8551,5,2.9,93e661c0-3f68-4205-9141-04164911b7e4,54
64,26002,256,6.5,8484,33,1.87,ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8,64
67,26002,256,6.5,8339,32,2.08,e2c787c5-5358-4a21-bb35-c422b37ef982,67
0,26002,256,7.75,8708,100,3.53,453a1fa5-895a-4a5e-a4cf-25c0a35d74d2,0
6,26002,256,7.75,8470,70,3.35,50f23891-0e3f-40d3-8bcb-a5bcfcec1987,6
9,26002,256,7.75,8511,13,3.52,905c9d73-dba9-472d-a6e4-ea3dcd3b3530,9
16,26002,256,7.75,8463,76,6.42,65eed33d-db39-4b87-b8a4-de20693d3821,16
32,26002,256,7.75,8413,99,7.71,7b0c39f7-8bb3-4c19-94da-30117a8ec17d,32
33,26002,256,7.75,8449,88,2.87,7f445daf-d952-4bf3-b733-def683994895,33
37,26002,256,7.75,8810,71,7.08,3dbdd697-e200-4003-92f8-47202577ad0a,37
49,26002,256,7.75,8529,25,3.17,8b590505-e40d-4ff8-802d-5430cc2802b6,49
51,26002,256,7.75,8470,66,2.79,2d84acc9-9c9b-441c-9a1a-c901bc48b88f,51
66,26002,256,7.75,8463,71,2.81,a57832a0-0b6a-4bdf-a636-adf042cd3fcc,66
7,26002,256,9.0,8535,41,2.91,9f7e489f-4076-4332-b57e-13a42d4c75fd,7
10,26002,256,9.0,8615,98,2.83,16718611-6bca-4e79-8071-94d68c181ba1,10
12,26002,256,9.0,8458,81,2.99,132133b4-5554-4500-9494-87f534100012,12
15,26002,256,9.0,8640,21,5.5,5b2465b2-47b6-4cc7-b06f-c362ff7454f8,15
21,26002,256,9.0,8444,98,2.33,059f8cfb-52c8-47fd-8d26-b0fec58eafae,21
25,26002,256,9.0,8631,69,3.39,6a57f963-5846-4eaa-a5d2-0e658499a4a9,25
40,26002,256,9.0,8479,93,2.8,9301277e-6b35-4aa7-bd52-4f56ae0f029b,40
50,26002,256,9.0,8451,20,2.98,87da47db-3d5c-48b2-b3f2-123123d766f0,50
61,26002,256,9.0,8327,91,4.09,91327185-f59e-4ae7-a000-fd66526bab82,61
69,26002,256,9.0,8291,62,2.97,3322caf5-0aeb-4230-89db-c56b23e94819,69
6,26003,381,1.5,8045,0,2.35,0e704828-9ccd-480e-8056-3a2a8158df0f,6
15,26003,381,1.5,8010,0,2.41,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,15
38,26003,381,1.5,7954,0,1.93,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,38
39,26003,381,1.5,8011,0,2.51,e838dadb-c02f-4273-ae93-210720dcd06c,39
47,26003,381,1.5,8055,0,2.14,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,47
54,26003,381,1.5,8013,0,1.97,50919f52-6a9c-4824-b24f-2f1aebd58e1b,54
55,26003,381,1.5,7996,0,1.62,1a8cf3c1-690b-449c-bb36-fd3b251837c1,55
58,26003,381,1.5,7947,0,2.04,1b1159fc-de2b-4ae5-a736-d98d8524a366,58
59,26003,381,1.5,8011,0,2.02,38ad4b16-44e2-4e52-8d02-b23eca73a48d,59
65,26003,381,1.5,8024,97,4.73,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,65
2,26003,381,2.75,7981,0,2.08,94eac034-9d70-40c0-89d4-d9a030a03d26,2
9,26003,381,2.75,8007,0,2.42,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,9
11,26003,381,2.75,7953,0,2.09,32110051-52cf-4952-a6e5-4c5fe75760b7,11
16,26003,381,2.75,8026,0,1.68,112b96b3-6518-4053-ad9f-ff77320acc23,16
18,26003,381,2.75,8027,0,1.97,4a2adf87-0f15-4bc0-9837-899addfb179c,18
20,26003,381,2.75,8067,0,9.47,215ead11-5650-429d-b541-0b107fbb996a,20
41,26003,381,2.75,8015,0,2.05,88ff8e25-5b4f-453c-add2-298ef66c683c,41
51,26003,381,2.75,7989,0,2.02,8dc79a0d-b826-4ac2-8483-04346b06960d,51
57,26003,381,2.75,7982,0,2.04,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,57
61,26003,381,2.75,8004,0,1.73,c496efe1-6c3e-480d-856f-af132dbe7048,61
24,26003,381,4.0,8020,0,2.3,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,24
28,26003,381,4.0,7996,0,1.38,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,28
29,26003,381,4.0,7997,0,1.71,fb491605-8f46-43ab-ba62-bfd86d95e4d6,29
30,26003,381,4.0,8005,0,2.03,83dec58f-0765-4ddc-b785-670d8025c467,30
40,26003,381,4.0,8005,0,1.44,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,40
42,26003,381,4.0,7976,100,1.26,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,42
44,26003,381,4.0,7992,0,2.12,70326c05-1133-4c5d-8a4c-3e71e0da8479,44
60,26003,381,4.0,7993,100,1.73,50781782-fbf2-4226-a593-5173be906638,60
64,26003,381,4.0,8010,0,1.63,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,64
69,26003,381,4.0,8034,0,2.55,0890b767-b394-4f89-aea1-c60cab7014af,69
5,26003,381,5.25,8002,0,3.84,4cf04acf-6776-453a-a811-1c5e51c2ece4,5
7,26003,381,5.25,7975,0,1.75,2d3d47a2-03c8-4642-84ec-a8f67c64868c,7
