,subID,stimset_rows,chargeSpeeds,stim_dur,responses,RT,movie,trial_num
30,26001,,6.5,8261,58.0,2.89,5456278f-d454-4194-af69-2784112cffb9,30
31,26001,,6.5,8183,73.0,2.41,755a600e-d336-4f66-8771-52eed84faf02,31
43,26001,,6.5,8163,65.0,3.99,2fa02aa8-ef06-46e0-87af-9e3b7267ee79,43
47,26001,,6.5,8215,56.0,3.5,40860eea-1c44-4896-96b1-ee2d42a6c522,47
50,26001,,6.5,8244,59.0,2.84,debe6245-13a4-4a31-b28a-e7b25ce8fa93,50
59,26001,,6.5,8194,73.0,3.48,13e24563-ab7e-41df-adf6-e8e88b4d9e08,59
63,26001,,6.5,8324,69.0,2.77,d98f2d5f-eb3b-4ebd-b714-878343382f2a,63
7,26001,,7.75,8266,74.0,2.85,8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9,7
21,26001,,7.75,8111,40.0,4.51,085d7298-e568-4752-a909-8eecf82e3ebc,21
39,26001,,7.75,8230,99.0,2.48,8b590505-e40d-4ff8-802d-5430cc2802b6,39
40,26001,,7.75,8069,92.0,4.79,7f445daf-d952-4bf3-b733-def683994895,40
42,26001,,7.75,8219,63.0,3.3,015f75aa-de90-4fdc-8657-d630f1963869,42
51,26001,,7.75,8031,59.0,3.89,44ab78ba-bb99-4b6d-a69b-ede18f9116ec,51
56,26001,,7.75,8188,91.0,6.08,5a652d01-49a0-4b52-a54c-51c21b53e0fe,56
58,26001,,7.75,8046,63.0,2.69,8aeee0c2-7419-4cbe-aa42-af10b66f80b4,58
61,26001,,7.75,8270,70.0,2.54,3dbdd697-e200-4003-92f8-47202577ad0a,61
62,26001,,7.75,8072,88.0,5.64,2d84acc9-9c9b-441c-9a1a-c901bc48b88f,62
3,26001,,9.0,8152,62.0,2.85,1be4605b-9f78-45d4-8eb0-87bdc69537e2,3
8,26001,,9.0,8084,99.0,5.51,9f7e489f-4076-4332-b57e-13a42d4c75fd,8
9,26001,,9.0,8254,33.0,4.77,6e2932f2-a9d1-4f2a-9599-a872b605c1eb,9
11,26001,,9.0,8181,41.0,3.23,8649b489-429a-4894-9c74-827e94f04566,11
15,26001,,9.0,8192,33.0,2.09,6a57f963-5846-4eaa-a5d2-0e658499a4a9,15
28,26001,,9.0,8313,81.0,2.9,a5228b86-ba0a-42f2-aa38-23b5369f0e56,28
34,26001,,9.0,8305,93.0,3.2,abb20336-74c4-448b-a5f7-252c765a55f4,34
48,26001,,9.0,8238,75.0,2.09,3322caf5-0aeb-4230-89db-c56b23e94819,48
66,26001,,9.0,8307,33.0,3.71,9301277e-6b35-4aa7-bd52-4f56ae0f029b,66
68,26001,,9.0,8227,69.0,2.19,7d40f846-95bc-4c08-b7a1-b4a410852b77,68
4,26003,,1.5,7967,0.0,2.27,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,4
5,26003,,1.5,7988,0.0,2.07,b3a507ff-2289-4ad3-8922-1a3d0532e154,5
7,26003,,1.5,7975,0.0,1.94,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,7
23,26003,,1.5,7962,0.0,2.19,15dfbaca-4429-4c18-90f4-8d4804129e6f,23
24,26003,,1.5,8037,0.0,2.38,e4bc0778-6eb7-4065-bf77-a9b6e293735f,24
28,26003,,1.5,7982,0.0,1.96,9d425f58-501f-43f3-955e-05126bd09bb5,28
35,26003,,1.5,7991,2.0,2.62,7e595f18-f375-4ca5-b922-61b8d693804d,35
38,26003,,1.5,8051,0.0,1.95,8ed7c0fc-1490-4e35-a000-7f7357a0772a,38
58,26003,,1.5,8005,0.0,2.32,95aaf072-b6be-4da4-9857-deaf20ab49f2,58
69,26003,,1.5,8021,0.0,1.81,1f6c6525-a740-48c2-8dfc-9c4fb520c630,69
13,26003,,2.75,8018,0.0,1.83,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,13
17,26003,,2.75,7989,0.0,2.44,8fa1d226-bf98-4c72-8961-7121546d4a11,17
21,26003,,2.75,7991,0.0,1.78,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,21
22,26003,,2.75,8032,0.0,2.23,46c1720a-0af5-44e9-b008-09b89ef78bd9,22
31,26003,,2.75,7998,14.0,2.92,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,31
44,26003,,2.75,7961,21.0,3.38,59df47e5-696a-407f-aa33-94dab9b3e492,44
46,26003,,2.75,7970,15.0,1.94,0bad25fa-4a38-4561-9d35-56f1108797cd,46
49,26003,,2.75,8039,7.0,2.32,42a6675b-868f-488d-a671-17a04c97ab01,49
64,26003,,2.75,8007,0.0,2.3,3fd185a3-34a1-4f1a-9d01-aee3deee3988,64
65,26003,,2.75,8032,11.0,1.38,c49bbdbd-6e52-4da5-887c-72db9cec7d93,65
6,26003,,4.0,7997,22.0,2.08,1f7aa6f4-6516-4b90-8eeb-142b1437644b,6
10,26003,,4.0,8037,82.0,2.08,68382d9c-6cc5-4669-84bf-c8058e3c1472,10
26,26003,,4.0,8003,36.0,2.86,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,26
36,26003,,4.0,7979,10.0,3.2,1a1c3419-9320-46a3-8b48-10e9514c3e7d,36
40,26003,,4.0,8045,30.0,3.3,9f53cd68-f278-45d6-806a-74eeef55bbcc,40
41,26003,,4.0,8010,91.0,2.08,7413c064-c0e5-4104-89aa-79d64ef9d6d9,41
45,26003,,4.0,8019,25.0,3.8,1d41f125-7386-42b4-8250-f6c540c627a8,45
51,26003,,4.0,8008,24.0,1.68,48fe3ca9-b1df-491d-bef9-6d9c5edee227,51
63,26003,,4.0,7980,19.0,3.54,7c45bceb-e7dc-4a58-a9f2-02aa015541c6,63
68,26003,,4.0,8037,30.0,1.68,114b2369-dce5-4979-8319-c64c85175e6a,68
2,26003,,5.25,8004,30.0,2.65,04b8ff17-66ff-4d6b-a0aa-a91efebb4368,2
8,26003,,5.25,7950,85.0,2.0,86e934a2-75ef-4084-a167-ce0ca737532d,8
20,26003,,5.25,7850,92.0,2.72,46786fd0-ca59-4ffa-a772-fe489fdbd94c,20
48,26003,,5.25,7998,92.0,1.56,8a889364-bfa4-42f7-8d4c-ee7478ea863c,48
52,26003,,5.25,8059,90.0,1.23,124d9b3a-acac-4627-93e0-f05b493598f3,52
53,26003,,5.25,8022,26.0,2.88,1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed,53
55,26003,,5.25,8036,29.0,4.38,9ed3a785-369e-4eb1-b5ca-50d2602a44d4,55
57,26003,,5.25,8058,29.0,2.45,2ef99e5f-bc49-429b-b086-41ed4571b58a,57
62,26003,,5.25,7997,89.0,1.28,35ae5b09-f580-4922-91bd-f22c23175a47,62
66,26003,,5.25,7963,68.0,2.62,0a4312a1-7156-4c68-9698-0f1495558bee,66
0,26003,,6.5,8021,91.0,3.41,2fa02aa8-ef06-46e0-87af-9e3b7267ee79,0
11,26003,,6.5,8019,67.0,2.5,d98f2d5f-eb3b-4ebd-b714-878343382f2a,11
19,26003,,6.5,7996,100.0,1.65,2c174300-1111-477c-b605-e34e6031cd26,19
27,26003,,6.5,7968,100.0,1.74,e3160d16-fe5e-4987-918b-0921ab937804,27
37,26003,,6.5,8023,87.0,1.33,187f8493-9a30-43cc-a2bd-5d96f6d2263d,37
39,26003,,6.5,7909,93.0,2.33,e2c787c5-5358-4a21-bb35-c422b37ef982,39
47,26003,,6.5,8022,30.0,2.74,13e24563-ab7e-41df-adf6-e8e88b4d9e08,47
50,26003,,6.5,7997,87.0,2.79,40860eea-1c44-4896-96b1-ee2d42a6c522,50
59,26003,,6.5,8003,30.0,1.35,93e661c0-3f68-4205-9141-04164911b7e4,59
60,26003,,6.5,8009,23.0,1.61,ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8,60
3,26003,,7.75,7824,98.0,2.18,44ab78ba-bb99-4b6d-a69b-ede18f9116ec,3
9,26003,,7.75,7972,100.0,2.57,8b590505-e40d-4ff8-802d-5430cc2802b6,9
12,26003,,7.75,7974,89.0,1.82,2d84acc9-9c9b-441c-9a1a-c901bc48b88f,12
18,26003,,7.75,8042,91.0,1.99,09060d5d-c3e1-451b-a3b5-4b2b567660ff,18
29,26003,,7.75,7888,93.0,2.43,534a6ddb-dbec-42ac-b559-3f4cbdd66423,29
30,26003,,7.75,7811,92.0,1.9,65eed33d-db39-4b87-b8a4-de20693d3821,30
33,26003,,7.75,7965,93.0,2.27,905c9d73-dba9-472d-a6e4-ea3dcd3b3530,33
54,26003,,7.75,7877,89.0,2.55,7b0c39f7-8bb3-4c19-94da-30117a8ec17d,54
61,26003,,7.75,7316,100.0,1.65,981d9d90-47c5-4443-a939-26060914c7e4,61
67,26003,,7.75,7911,92.0,1.62,a57832a0-0b6a-4bdf-a636-adf042cd3fcc,67
1,26003,,9.0,8039,92.0,2.15,2abe0875-f8ff-4373-aad8-bca142211a09,1
14,26003,,9.0,8026,68.0,2.47,f45daf2e-6d4e-4a6f-ab5b-1829d67d93fe,14
15,26003,,9.0,7962,100.0,2.14,3322caf5-0aeb-4230-89db-c56b23e94819,15
16,26003,,9.0,7860,97.0,2.34,7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a,16
25,26003,,9.0,8036,91.0,3.88,9301277e-6b35-4aa7-bd52-4f56ae0f029b,25
32,26003,,9.0,7923,94.0,2.65,132133b4-5554-4500-9494-87f534100012,32
34,26003,,9.0,7580,100.0,1.34,8e6be05b-c10c-43db-b062-a559f5033312,34
42,26003,,9.0,8003,88.0,2.86,16718611-6bca-4e79-8071-94d68c181ba1,42
43,26003,,9.0,7987,100.0,1.65,059f8cfb-52c8-47fd-8d26-b0fec58eafae,43
56,26003,,9.0,8042,89.0,1.37,7d40f846-95bc-4c08-b7a1-b4a410852b77,56
0,26004,,1.5,8351,27.0,3.24,e4bc0778-6eb7-4065-bf77-a9b6e293735f,0
2,26004,,1.5,8257,36.0,2.42,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,2
8,26004,,1.5,8183,34.0,2.35,50919f52-6a9c-4824-b24f-2f1aebd58e1b,8
10,26004,,1.5,8171,43.0,2.87,95aaf072-b6be-4da4-9857-deaf20ab49f2,10
14,26004,,1.5,8169,42.0,4.2,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,14
28,26004,,1.5,8118,21.0,1.93,b3a507ff-2289-4ad3-8922-1a3d0532e154,28
33,26004,,1.5,8300,32.0,2.22,8ed7c0fc-1490-4e35-a000-7f7357a0772a,33
42,26004,,1.5,8127,35.0,1.83,15dfbaca-4429-4c18-90f4-8d4804129e6f,42
45,26004,,1.5,8177,17.0,4.08,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,45
57,26004,,1.5,8148,16.0,1.98,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,57
5,26004,,2.75,8229,28.0,2.28,59df47e5-696a-407f-aa33-94dab9b3e492,5
9,26004,,2.75,8167,46.0,3.12,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,9
13,26004,,2.75,8121,32.0,3.15,8fa1d226-bf98-4c72-8961-7121546d4a11,13
22,26004,,2.75,8177,46.0,3.49,c496efe1-6c3e-480d-856f-af132dbe7048,22
37,26004,,2.75,8201,29.0,1.48,c49bbdbd-6e52-4da5-887c-72db9cec7d93,37
38,26004,,2.75,8194,40.0,2.84,215ead11-5650-429d-b541-0b107fbb996a,38
46,26004,,2.75,8208,40.0,2.03,8dc79a0d-b826-4ac2-8483-04346b06960d,46
48,26004,,2.75,8215,36.0,2.28,4a2adf87-0f15-4bc0-9837-899addfb179c,48
49,26004,,2.75,8197,34.0,3.47,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,49
67,26004,,2.75,8161,40.0,3.18,94eac034-9d70-40c0-89d4-d9a030a03d26,67
15,26004,,4.0,8238,33.0,2.45,7c45bceb-e7dc-4a58-a9f2-02aa015541c6,15
20,26004,,4.0,8192,44.0,1.98,68382d9c-6cc5-4669-84bf-c8058e3c1472,20
27,26004,,4.0,8148,55.0,2.66,1d41f125-7386-42b4-8250-f6c540c627a8,27
40,26004,,4.0,8170,32.0,2.0,1f7aa6f4-6516-4b90-8eeb-142b1437644b,40
47,26004,,4.0,8190,33.0,1.93,9f53cd68-f278-45d6-806a-74eeef55bbcc,47
50,26004,,4.0,8187,60.0,1.7,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,50
59,26004,,4.0,8171,21.0,2.07,70326c05-1133-4c5d-8a4c-3e71e0da8479,59
60,26004,,4.0,8183,31.0,3.85,48fe3ca9-b1df-491d-bef9-6d9c5edee227,60
62,26004,,4.0,8145,38.0,2.79,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,62
64,26004,,4.0,8169,67.0,2.89,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,64
1,26004,,5.25,8140,71.0,2.4,39d4c0f1-9195-4761-98c6-457bad8a2291,1
6,26004,,5.25,8181,36.0,5.32,4cf04acf-6776-453a-a811-1c5e51c2ece4,6
7,26004,,5.25,8298,30.0,2.55,124d9b3a-acac-4627-93e0-f05b493598f3,7
11,26004,,5.25,8127,69.0,3.39,8b72023d-88b1-4615-b871-cac794edf1d9,11
17,26004,,5.25,8169,43.0,2.44,1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed,17
31,26004,,5.25,8173,59.0,3.34,82cc23d1-ba4b-48c5-995a-a30d865ea249,31
32,26004,,5.25,8175,45.0,5.75,8a889364-bfa4-42f7-8d4c-ee7478ea863c,32
39,26004,,5.25,8141,41.0,2.7,9cf1ba8f-113d-408d-831d-4cf31ca51b3b,39
53,26004,,5.25,8137,34.0,4.01,8e0deaa9-1ac5-4e69-817a-3204f157f360,53
66,26004,,5.25,8000,59.0,3.23,46786fd0-ca59-4ffa-a772-fe489fdbd94c,66
16,26004,,6.5,8169,36.0,2.47,5456278f-d454-4194-af69-2784112cffb9,16
18,26004,,6.5,8271,46.0,1.77,8dbfdd79-2b3f-4297-8ec2-92d59884dd68,18
19,26004,,6.5,8109,57.0,2.87,e3160d16-fe5e-4987-918b-0921ab937804,19
21,26004,,6.5,8151,42.0,3.75,40860eea-1c44-4896-96b1-ee2d42a6c522,21
23,26004,,6.5,8163,59.0,2.13,755a600e-d336-4f66-8771-52eed84faf02,23
26,26004,,6.5,8081,44.0,2.2,2fa02aa8-ef06-46e0-87af-9e3b7267ee79,26
30,26004,,6.5,8155,39.0,2.08,187f8493-9a30-43cc-a2bd-5d96f6d2263d,30
44,26004,,6.5,8131,43.0,2.84,d80f638e-7e4b-4e80-bc19-a4b764fd7614,44
51,26004,,6.5,8167,41.0,1.91,93e661c0-3f68-4205-9141-04164911b7e4,51
58,26004,,6.5,8194,15.0,2.82,13e24563-ab7e-41df-adf6-e8e88b4d9e08,58
3,26004,,7.75,8035,69.0,6.13,50f23891-0e3f-40d3-8bcb-a5bcfcec1987,3
4,26004,,7.75,8245,35.0,4.3,015f75aa-de90-4fdc-8657-d630f1963869,4
25,26004,,7.75,8006,56.0,2.92,8845e64c-078b-4a3a-a732-1efe937de14a,25
29,26004,,7.75,7474,41.0,2.25,981d9d90-47c5-4443-a939-26060914c7e4,29
34,26004,,7.75,7985,86.0,1.78,65eed33d-db39-4b87-b8a4-de20693d3821,34
41,26004,,7.75,8047,57.0,1.8,7f445daf-d952-4bf3-b733-def683994895,41
43,26004,,7.75,8107,42.0,2.22,453a1fa5-895a-4a5e-a4cf-25c0a35d74d2,43
54,26004,,7.75,8112,39.0,2.86,2d84acc9-9c9b-441c-9a1a-c901bc48b88f,54
68,26004,,7.75,8068,40.0,3.48,085d7298-e568-4752-a909-8eecf82e3ebc,68
69,26004,,7.75,8143,58.0,1.81,8b590505-e40d-4ff8-802d-5430cc2802b6,69
12,26004,,9.0,8138,87.0,1.89,8649b489-429a-4894-9c74-827e94f04566,12
24,26004,,9.0,8038,45.0,2.8,132133b4-5554-4500-9494-87f534100012,24
35,26004,,9.0,8033,72.0,1.79,7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a,35
36,26004,,9.0,8185,59.0,2.04,f45daf2e-6d4e-4a6f-ab5b-1829d67d93fe,36
52,26004,,9.0,8099,61.0,2.15,3322caf5-0aeb-4230-89db-c56b23e94819,52
55,26004,,9.0,8173,35.0,2.13,16718611-6bca-4e79-8071-94d68c181ba1,55
56,26004,,9.0,8192,35.0,2.8,abb20336-74c4-448b-a5f7-252c765a55f4,56
61,26004,,9.0,8180,36.0,2.6,a5228b86-ba0a-42f2-aa38-23b5369f0e56,61
