,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num,similarity_play,similarity_fight,similarity_play_fight
1,28066,25,5.25,8113,"The dots each made a u shaped then rapidly hit each other, this was done twice.",1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed,1,0.11296644061803818,0.05347341299057007,0.05949302762746811
6,28067,32,5.25,8010,The dots moved in a similar pattern but the light grey dot moved much more quickly before touching I think twice.,04b8ff17-66ff-4d6b-a0aa-a91efebb4368,6,0.07541510462760925,-0.045546941459178925,0.12096204608678818
2,28068,27,5.25,8121,"black dot was the aggressor and appeared to go for the other one, bumping it twice",27f4d7f8-d998-48b2-a3e4-f885f21c713d,2,0.15378940105438232,0.1666441559791565,-0.01285475492477417
5,28069,35,5.25,8017,move together,46786fd0-ca59-4ffa-a772-fe489fdbd94c,5,0.27648693323135376,0.3562858998775482,-0.07979896664619446
5,28070,26,5.25,8162,The dots moved to the middle at the bottom and collided twice gently.,384dc3de-9717-4531-83a1-683588fe1381,5,0.1595149040222168,0.08210472762584686,0.07741017639636993
4,28071,33,5.25,8080,slow joining,9cf1ba8f-113d-408d-831d-4cf31ca51b3b,4,0.2403780221939087,0.17890289425849915,0.061475127935409546
2,28072,21,5.25,8058,Meeting and separating ,124d9b3a-acac-4627-93e0-f05b493598f3,2,0.12962695956230164,0.23747508227825165,-0.10784812271595001
2,28073,35,5.25,7925,"the black dot seemed to chase the grey dot, and clashed with it twice",46786fd0-ca59-4ffa-a772-fe489fdbd94c,2,0.14126244187355042,0.12816229462623596,0.013100147247314453
2,28074,38,5.25,8144,running towards each other,8a889364-bfa4-42f7-8d4c-ee7478ea863c,2,0.32402923703193665,0.2709081470966339,0.053121089935302734
0,28075,30,5.25,8622,they kissed each otehr,9ed3a785-369e-4eb1-b5ca-50d2602a44d4,0,0.11804545670747757,0.24554309248924255,-0.12749763578176498
1,28076,31,5.25,8291,"drifting apart, then coming together",4cf04acf-6776-453a-a811-1c5e51c2ece4,1,0.20399029552936554,0.3091128170490265,-0.10512252151966095
6,28077,39,5.25,8547,spun one direction then collided in the center then moved back the other direction before hitting again in the center,5f5a825b-b433-4986-b5d6-5239eb407d32,6,0.1720055788755417,0.17000992596149445,0.001995652914047241
3,28078,40,5.25,8500,"one dot circled, the other more straight lined",1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed,3,0.103248730301857,0.08996564894914627,0.013283081352710724
6,28079,23,5.25,8030,link,39d4c0f1-9195-4761-98c6-457bad8a2291,6,0.23363721370697021,0.2361033856868744,-0.002466171979904175
4,28080,42,5.25,8137,"collide gently, move away and collide strongly",8b72023d-88b1-4615-b871-cac794edf1d9,4,0.1914387345314026,0.2919497787952423,-0.10051104426383972
4,28081,43,5.25,8001,they are attracting each other,0a4312a1-7156-4c68-9698-0f1495558bee,4,0.1991536170244217,0.2574503421783447,-0.058296725153923035
0,28082,44,5.25,8008,attract and collide,86e934a2-75ef-4084-a167-ce0ca737532d,0,0.1408713310956955,0.24624542891979218,-0.10537409782409668
6,28083,46,5.25,8040,grey dot was attacking black dot,35ae5b09-f580-4922-91bd-f22c23175a47,6,0.21162693202495575,0.18796896934509277,0.023657962679862976
1,28084,47,5.25,8164,the speed of repel between the 2 dot is slower than before,5f5a825b-b433-4986-b5d6-5239eb407d32,1,0.07520058006048203,0.06967070698738098,0.005529873073101044
0,28085,51,5.25,8019,collision,9cf1ba8f-113d-408d-831d-4cf31ca51b3b,0,0.2893446385860443,0.45200881361961365,-0.16266417503356934
1,28086,50,5.25,8304,they are trying to communicate,384dc3de-9717-4531-83a1-683588fe1381,1,0.19528348743915558,0.2426936775445938,-0.04741019010543823
4,28087,48,5.25,8070,"If I had to explain the interaction of the dots, it is as if they were destined to fight each other",27f4d7f8-d998-48b2-a3e4-f885f21c713d,4,0.13504895567893982,0.26887503266334534,-0.13382607698440552
2,28088,52,5.25,8213,the two dots was not that friendly to each other,8e0deaa9-1ac5-4e69-817a-3204f157f360,2,0.11650067567825317,0.11707761138677597,-0.0005769357085227966
0,28089,53,5.25,7996,Circular movement but then attacked each other,8a889364-bfa4-42f7-8d4c-ee7478ea863c,0,0.15866513550281525,0.2692299783229828,-0.11056484282016754
2,28090,49,5.25,8199,bouncing on each other,2ef99e5f-bc49-429b-b086-41ed4571b58a,2,0.28407368063926697,0.26406848430633545,0.02000519633293152
5,28091,54,5.25,7908,attacking,46786fd0-ca59-4ffa-a772-fe489fdbd94c,5,0.3938009738922119,0.5579482316970825,-0.1641472578048706
5,28092,55,5.25,8367,"Slow movements, then bacl initiates two moments of contact",124d9b3a-acac-4627-93e0-f05b493598f3,5,0.10947876423597336,0.11091022193431854,-0.0014314576983451843
1,28093,56,5.25,8023,two dots mirroring movement and crashing into eachother,4cf04acf-6776-453a-a811-1c5e51c2ece4,1,0.1584520936012268,0.11195813119411469,0.04649396240711212
3,28094,57,5.25,8035,They circled below the box on the right side and contacted each other two times,9ed3a785-369e-4eb1-b5ca-50d2602a44d4,3,0.033008020371198654,0.08894184976816177,-0.05593382939696312
5,28095,60,5.25,8015,slow clash and rebound,384dc3de-9717-4531-83a1-683588fe1381,5,0.3019178509712219,0.3312341570854187,-0.029316306114196777
1,28096,59,5.25,8299,The white dot attracts the black dot with a greater force and bounces off and this happens twice.  ,82cc23d1-ba4b-48c5-995a-a30d865ea249,1,0.11099226772785187,0.06785635650157928,0.04313591122627258
3,28097,58,5.25,8375,slow movement ,39d4c0f1-9195-4761-98c6-457bad8a2291,3,0.2339448481798172,0.2257649004459381,0.00817994773387909
1,28098,64,5.25,7977,Dots collided.,2d3d47a2-03c8-4642-84ec-a8f67c64868c,1,0.21945597231388092,0.2513359487056732,-0.0318799763917923
3,28099,63,5.25,9931,The dots collided randomly,0a4312a1-7156-4c68-9698-0f1495558bee,3,0.17804273962974548,0.13261988759040833,0.04542285203933716
1,28100,66,5.25,8173,The animations were colliding in slow rhythm,8a889364-bfa4-42f7-8d4c-ee7478ea863c,1,0.13530613481998444,0.1933877319097519,-0.058081597089767456
4,28101,65,5.25,8102,the dots moving round and touching each other,86e934a2-75ef-4084-a167-ce0ca737532d,4,0.1462184637784958,0.09735620021820068,0.048862263560295105
2,28102,67,5.25,8144,The dots collided two times,8e0deaa9-1ac5-4e69-817a-3204f157f360,2,0.18643423914909363,0.2021392434835434,-0.015705004334449768
0,28000,26,6.5,8025,collided and then moved apart,8bee64f6-a3cb-48f4-be48-142b9065f5d7,0,0.19350317120552063,0.27690476179122925,-0.08340159058570862
6,28001,25,6.5,7976,The grey dot was higher than the black dot,1827c058-6388-491a-b84c-d4d6c512039e,6,0.10552992671728134,0.07109954953193665,0.034430377185344696
0,28002,28,6.5,8392,they hit each other twice,93e661c0-3f68-4205-9141-04164911b7e4,0,0.23231199383735657,0.38577577471733093,-0.15346378087997437
2,28003,29,6.5,8061,"The black dot moved toward the grey dot first, after which the grey dot bumped into the black dot. This happened twice.",e3160d16-fe5e-4987-918b-0921ab937804,2,0.10961458832025528,0.05534464120864868,0.0542699471116066
1,28004,32,6.5,8134,floating around and then suddenly ran into each other. this happened twice,3c21b0c7-30d1-41a7-99ae-02e24be36ad3,1,0.17590856552124023,0.2118588536977768,-0.03595028817653656
4,28005,35,6.5,8163,harshly bashing together,5456278f-d454-4194-af69-2784112cffb9,4,0.15907299518585205,0.35070177912712097,-0.19162878394126892
4,28006,36,6.5,9301,Connect fast then slow,2c174300-1111-477c-b605-e34e6031cd26,4,0.20600973069667816,0.172966867685318,0.03304286301136017
1,28007,33,6.5,7739,"Dot moved around slowly, then sped up into each each. This happened twice",8dbfdd79-2b3f-4297-8ec2-92d59884dd68,1,0.14316312968730927,0.05893264338374138,0.08423048630356789
5,28008,31,6.5,8290,"The dots gravitate towards eachother and collide when they are far away, but this time they collide slower",13e24563-ab7e-41df-adf6-e8e88b4d9e08,5,0.08883503824472427,0.11800641566514969,-0.029171377420425415
5,28009,41,6.5,8165,leading astray,13e24563-ab7e-41df-adf6-e8e88b4d9e08,5,0.250211626291275,0.1750880777835846,0.07512354850769043
6,28010,39,6.5,8216,provoked collision,d98f2d5f-eb3b-4ebd-b714-878343382f2a,6,0.25422194600105286,0.4452871084213257,-0.19106516242027283
2,28011,40,6.5,8015,became attracted to each other and combined twice,ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8,2,0.12355873733758926,0.19598449766635895,-0.07242576032876968
3,28012,42,6.5,8058,The dots traded hits while floating about,187f8493-9a30-43cc-a2bd-5d96f6d2263d,3,0.21327750384807587,0.1753649264574051,0.037912577390670776
1,28013,42,6.5,8347,the two dots moved around and then the black dot moved closer to the grey dot and collided x2.,187f8493-9a30-43cc-a2bd-5d96f6d2263d,1,0.14369644224643707,0.11535286158323288,0.028343580663204193
1,28014,45,6.5,8126,the dots hit each other then backed away from each other then hit eachother again and backed away again,d98f2d5f-eb3b-4ebd-b714-878343382f2a,1,0.20269587635993958,0.20604421198368073,-0.00334833562374115
4,28015,46,6.5,8220,the dots bounced off one another. almost looked like they were fighting this time,debe6245-13a4-4a31-b28a-e7b25ce8fa93,4,0.14211706817150116,0.30669519305229187,-0.1645781248807907
4,28016,51,6.5,7939,attack,14c0e4c6-94d9-41ec-b44a-5f6c8678230e,4,0.36563640832901,0.5875464081764221,-0.2219099998474121
4,28017,48,6.5,8010,chase then attack,93e661c0-3f68-4205-9141-04164911b7e4,4,0.2873367667198181,0.3602061867713928,-0.07286942005157471
3,28018,47,6.5,8045,The dots moved in their own space & then abruptly moved together twice.,8dbfdd79-2b3f-4297-8ec2-92d59884dd68,3,0.08564218878746033,0.043505728244781494,0.04213646054267883
0,28019,52,6.5,7971,the grey dot swept towards the black dot and then the black dot re-directed so they collided together,2c174300-1111-477c-b605-e34e6031cd26,0,0.16069519519805908,0.15757668018341064,0.0031185150146484375
3,28020,49,6.5,7908,"grey dot shadowed black, then rammed it",e3160d16-fe5e-4987-918b-0921ab937804,3,0.1799013316631317,0.1354570984840393,0.04444423317909241
0,28021,58,6.5,8164,the dots collided into eachother repeatedly,8bee64f6-a3cb-48f4-be48-142b9065f5d7,0,0.17744362354278564,0.19781172275543213,-0.020368099212646484
4,28022,59,6.5,8007,The dots following each other and sometimes crashed one another.,3c21b0c7-30d1-41a7-99ae-02e24be36ad3,4,0.14081385731697083,0.11214917153120041,0.028664685785770416
4,28023,66,6.5,7833,they attracted and repelled,2fa02aa8-ef06-46e0-87af-9e3b7267ee79,4,0.10056866705417633,0.19981564581394196,-0.09924697875976562
4,28024,65,6.5,7904,same as before,1827c058-6388-491a-b84c-d4d6c512039e,4,0.2355787754058838,0.22005949914455414,0.015519276261329651
