,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num,neg_score,neu_score,pos_score,pos-neg,pos-neu,neg-neu,neu-neg
0,28065,29,1.5,7942,"the black started on the left, bounced into the gray and they switched positions",1b1159fc-de2b-4ae5-a736-d98d8524a366,0,0.018615998327732086,0.9504362344741821,0.03094775602221489,0.012331757694482803,-0.9194884784519672,-0.93182023614645,0.93182023614645
3,28080,42,1.5,8151,"move away, attract and collide gently.",8ed7c0fc-1490-4e35-a000-7f7357a0772a,3,0.019720949232578278,0.7274905443191528,0.2527884542942047,0.23306750506162643,-0.4747020900249481,-0.7077695950865746,0.7077695950865746
3,28021,58,1.5,8245,the dots moved outwards before colliding together.,0e704828-9ccd-480e-8056-3a2a8158df0f,3,0.020547108724713326,0.9307860136032104,0.048666901886463165,0.02811979316174984,-0.8821191117167473,-0.9102389048784971,0.9102389048784971
5,28030,74,1.5,8016,merging into each other slowly,b3a507ff-2289-4ad3-8922-1a3d0532e154,5,0.021307164803147316,0.6443303227424622,0.3343624472618103,0.313055282458663,-0.30996787548065186,-0.6230231579393148,0.6230231579393148
0,28096,59,1.5,8033,Both dots attracted each other and bounce off twice.,1a8cf3c1-690b-449c-bb36-fd3b251837c1,0,0.021597301587462425,0.7643345594406128,0.21406811475753784,0.19247081317007542,-0.550266444683075,-0.7427372578531504,0.7427372578531504
3,28046,94,1.5,8002,"Gentle collisions between the two dots at the top of the screen, twice",7e595f18-f375-4ca5-b922-61b8d693804d,3,0.022543542087078094,0.9112370014190674,0.06621946394443512,0.043675921857357025,-0.8450175374746323,-0.8886934593319893,0.8886934593319893
3,28029,67,1.5,8212,in this one it seems the black dot has more motion than the grey dot before being pulled in together magnetically ,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3,0.022931024432182312,0.9090234637260437,0.06804550439119339,0.04511447995901108,-0.8409779593348503,-0.8860924392938614,0.8860924392938614
3,28068,27,1.5,8087,dots gently floating and bumping off of each other twice,8ed7c0fc-1490-4e35-a000-7f7357a0772a,3,0.02322271838784218,0.8696914315223694,0.10708584636449814,0.08386312797665596,-0.7626055851578712,-0.8464687131345272,0.8464687131345272
4,28076,31,1.5,8299,white steering close to the corner,95aaf072-b6be-4da4-9857-deaf20ab49f2,4,0.023266183212399483,0.869057297706604,0.1076764315366745,0.08441024832427502,-0.7613808661699295,-0.8457911144942045,0.8457911144942045
4,28067,32,1.5,8032,The dots pivoted around a central point and touched a number of times,1f6c6525-a740-48c2-8dfc-9c4fb520c630,4,0.023495575413107872,0.930692195892334,0.0458122156560421,0.022316640242934227,-0.8848799802362919,-0.9071966204792261,0.9071966204792261
3,28006,36,1.5,9530,Slowly connect,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3,0.023731300607323647,0.6068487763404846,0.3694198727607727,0.34568857215344906,-0.23742890357971191,-0.583117475733161,0.583117475733161
1,28015,46,1.5,8354,the dots alternated at a normal speed between pulling apart and drawing together,50919f52-6a9c-4824-b24f-2f1aebd58e1b,1,0.024898461997509003,0.9180737733840942,0.057027820497751236,0.03212935850024223,-0.861045952886343,-0.8931753113865852,0.8931753113865852
3,28019,52,1.5,8058,"the grey dot slowly swept towards the black dot, the black redirected and they slowly moved towards and each other and bounced off of each other",81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,3,0.025641633197665215,0.9235826730728149,0.05077577009797096,0.025134136900305748,-0.872806902974844,-0.8979410398751497,0.8979410398751497
5,28100,66,1.5,8051,they collided at the top right end of the box,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,5,0.025653116405010223,0.914172351360321,0.0601746030151844,0.03452148661017418,-0.8539977483451366,-0.8885192349553108,0.8885192349553108
2,28026,64,1.5,8035,"again, they touched each other twice but a bit slower this time",9d425f58-501f-43f3-955e-05126bd09bb5,2,0.026258651167154312,0.8858744502067566,0.08786681294441223,0.06160816177725792,-0.7980076372623444,-0.8596157990396023,0.8596157990396023
5,28018,47,1.5,8115,The dots moved a little slower & moved together twice.,38ad4b16-44e2-4e52-8d02-b23eca73a48d,5,0.029153326526284218,0.9091132283210754,0.06173348426818848,0.03258015774190426,-0.847379744052887,-0.8799599017947912,0.8799599017947912
0,28066,25,1.5,8067,The dots moved clockwise and bounced together twice.,e838dadb-c02f-4273-ae93-210720dcd06c,0,0.030179671943187714,0.9333854913711548,0.03643492981791496,0.006255257874727249,-0.8969505615532398,-0.9032058194279671,0.9032058194279671
2,28059,80,1.5,8095,The dots each moved in a slow circular motion and then hit each other twice but this time they moved slowly toward each other and seemed to bounce off each other when they made contact.,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,2,0.03217439725995064,0.9198620319366455,0.04796358942985535,0.01578919216990471,-0.8718984425067902,-0.8876876346766949,0.8876876346766949
4,28041,85,1.5,9300,meeting,1b1159fc-de2b-4ae5-a736-d98d8524a366,4,0.03244941309094429,0.7346080541610718,0.232942596077919,0.20049318298697472,-0.5016654580831528,-0.7021586410701275,0.7021586410701275
1,28054,8,1.5,8092,2 ,9d425f58-501f-43f3-955e-05126bd09bb5,1,0.032479044049978256,0.7033906579017639,0.2641303241252899,0.23165128007531166,-0.439260333776474,-0.6709116138517857,0.6709116138517857
2,28092,55,1.5,8236,slow movements and then brief coming togethers,e838dadb-c02f-4273-ae93-210720dcd06c,2,0.03302191197872162,0.9007947444915771,0.06618338078260422,0.0331614688038826,-0.8346113637089729,-0.8677728325128555,0.8677728325128555
4,28051,4,1.5,8441,floating dots collide,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,4,0.03321356326341629,0.7418633699417114,0.22492307424545288,0.1917095109820366,-0.5169402956962585,-0.7086498066782951,0.7086498066782951
1,28001,25,1.5,8130,"The dots moved apart, and then came back together, in a slow, fluid motion over and over",e838dadb-c02f-4273-ae93-210720dcd06c,1,0.034780219197273254,0.8906540274620056,0.07456577569246292,0.03978555649518967,-0.8160882517695427,-0.8558738082647324,0.8558738082647324
1,28101,65,1.5,8226,the dots moving round and touching each other,1b1159fc-de2b-4ae5-a736-d98d8524a366,1,0.03552931547164917,0.8901543021202087,0.07431627064943314,0.038786955177783966,-0.8158380314707756,-0.8546249866485596,0.8546249866485596
1,28037,77,1.5,8208,The dots moved slowly apart then together at the same speed,e838dadb-c02f-4273-ae93-210720dcd06c,1,0.036091603338718414,0.8918800950050354,0.0720282569527626,0.03593665361404419,-0.8198518380522728,-0.855788491666317,0.855788491666317
2,28075,30,1.5,8165,they roamed about and kissed each other,50919f52-6a9c-4824-b24f-2f1aebd58e1b,2,0.040312010794878006,0.6730084419250488,0.2866795063018799,0.24636749550700188,-0.38632893562316895,-0.6326964311301708,0.6326964311301708
1,28102,67,1.5,8192,The dots moved slow but collided twice,1a8cf3c1-690b-449c-bb36-fd3b251837c1,1,0.04045797884464264,0.8702306747436523,0.08931127190589905,0.04885329306125641,-0.7809194028377533,-0.8297726958990097,0.8297726958990097
5,28053,3,1.5,8002,Very soft collisions ,15dfbaca-4429-4c18-90f4-8d4804129e6f,5,0.04101536050438881,0.47649088501930237,0.48249372839927673,0.4414783678948879,0.006002843379974365,-0.43547552451491356,0.43547552451491356
6,28014,45,1.5,8003,the two dots hit eachother twice and they did it very slowly,9d425f58-501f-43f3-955e-05126bd09bb5,6,0.04113771393895149,0.8262885212898254,0.13257379829883575,0.09143608435988426,-0.6937147229909897,-0.785150807350874,0.785150807350874
6,28071,33,1.5,8036,steady grouping,9d425f58-501f-43f3-955e-05126bd09bb5,6,0.04175175726413727,0.7529383301734924,0.20530985295772552,0.16355809569358826,-0.5476284772157669,-0.7111865729093552,0.7111865729093552
1,28005,35,1.5,8174,slow coming together,15dfbaca-4429-4c18-90f4-8d4804129e6f,1,0.04202208295464516,0.7316879034042358,0.2262900471687317,0.18426796421408653,-0.5053978562355042,-0.6896658204495907,0.6896658204495907
6,28099,63,1.5,10093,Gray and black dot moved and collided slowly in the box ,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,6,0.04242750629782677,0.9072315096855164,0.05034104734659195,0.007913541048765182,-0.8568904623389244,-0.8648040033876896,0.8648040033876896
0,28033,83,1.5,8049,circular and magnetic,0e704828-9ccd-480e-8056-3a2a8158df0f,0,0.0431271493434906,0.7280713319778442,0.22880162298679352,0.18567447364330292,-0.4992697089910507,-0.6849441826343536,0.6849441826343536
6,28097,58,1.5,8422,mutual contact,0e704828-9ccd-480e-8056-3a2a8158df0f,6,0.043430499732494354,0.8760648369789124,0.08050472289323807,0.03707422316074371,-0.7955601140856743,-0.832634337246418,0.832634337246418
2,28027,71,1.5,8243,Dots gently bumped into eachother twice,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,2,0.04542654752731323,0.7902573347091675,0.1643160879611969,0.11888954043388367,-0.6259412467479706,-0.7448307871818542,0.7448307871818542
6,28090,49,1.5,8229,attracting and colliding ,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,6,0.049391213804483414,0.8991866707801819,0.051422055810689926,0.0020308420062065125,-0.847764614969492,-0.8497954569756985,0.8497954569756985
6,28003,29,1.5,8085,"The dots wandered and came together almost incidentally the first time, and then intentionally the second time.",1b1159fc-de2b-4ae5-a736-d98d8524a366,6,0.04982531815767288,0.8731253147125244,0.0770493671298027,0.027224048972129822,-0.7960759475827217,-0.8232999965548515,0.8232999965548515
2,28055,2,1.5,8323,both went up and slowly collided twice,8ed7c0fc-1490-4e35-a000-7f7357a0772a,2,0.0505179800093174,0.8796333074569702,0.0698486939072609,0.019330713897943497,-0.8097846135497093,-0.8291153274476528,0.8291153274476528
1,28023,66,1.5,8033,they went back and forth,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,1,0.05109669268131256,0.9032691121101379,0.045634206384420395,-0.005462486296892166,-0.8576349057257175,-0.8521724194288254,0.8521724194288254
6,28074,38,1.5,8075,friendship,7e595f18-f375-4ca5-b922-61b8d693804d,6,0.052517879754304886,0.676368236541748,0.2711139917373657,0.21859611198306084,-0.4052542448043823,-0.6238503567874432,0.6238503567874432
6,28069,35,1.5,8184,bumped together,15dfbaca-4429-4c18-90f4-8d4804129e6f,6,0.05334088206291199,0.7468727827072144,0.19978627562522888,0.1464453935623169,-0.5470865070819855,-0.6935319006443024,0.6935319006443024
5,28079,23,1.5,8038,coming close,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,5,0.05390807241201401,0.5800130367279053,0.3660789430141449,0.3121708706021309,-0.21393409371376038,-0.5261049643158913,0.5261049643158913
3,28002,28,1.5,8325,softy hit twice,b3a507ff-2289-4ad3-8922-1a3d0532e154,3,0.05440954118967056,0.6896398663520813,0.2559506893157959,0.20154114812612534,-0.4336891770362854,-0.6352303251624107,0.6352303251624107
4,28057,14,1.5,7939,skimmed,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,4,0.056597545742988586,0.7662363648414612,0.177166149020195,0.12056860327720642,-0.5890702158212662,-0.7096388190984726,0.7096388190984726
6,28078,40,1.5,8409,"one dot floated up, the other down and left",b3a507ff-2289-4ad3-8922-1a3d0532e154,6,0.06175689399242401,0.8831442594528198,0.055098894983530045,-0.006657999008893967,-0.8280453644692898,-0.8213873654603958,0.8213873654603958
3,28032,73,1.5,8022,they moved slower to each other,95aaf072-b6be-4da4-9857-deaf20ab49f2,3,0.06432368606328964,0.857682466506958,0.07799383252859116,0.013670146465301514,-0.7796886339783669,-0.7933587804436684,0.7933587804436684
4,28008,31,1.5,8235,The dots slowly gravitate towards eachother and collide then bounce away again,95aaf072-b6be-4da4-9857-deaf20ab49f2,4,0.06566369533538818,0.8879719376564026,0.04636451229453087,-0.019299183040857315,-0.8416074253618717,-0.8223082423210144,0.8223082423210144
1,28056,4,1.5,8298,meet,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,1,0.06688496470451355,0.6837946772575378,0.24932044744491577,0.18243548274040222,-0.43447422981262207,-0.6169097125530243,0.6169097125530243
5,28084,47,1.5,8987,the speed of the balls were mild as they collided,38ad4b16-44e2-4e52-8d02-b23eca73a48d,5,0.0684499442577362,0.8251816630363464,0.10636838525533676,0.037918440997600555,-0.7188132777810097,-0.7567317187786102,0.7567317187786102
5,28040,92,1.5,8093,bumped into each other slowly,e4bc0778-6eb7-4065-bf77-a9b6e293735f,5,0.06936488300561905,0.796809732913971,0.1338254064321518,0.06446052342653275,-0.6629843264818192,-0.7274448499083519,0.7274448499083519
6,28016,51,1.5,7998,touches,7e595f18-f375-4ca5-b922-61b8d693804d,6,0.06956904381513596,0.756213903427124,0.17421706020832062,0.10464801639318466,-0.5819968432188034,-0.6866448596119881,0.6866448596119881
0,28047,95,1.5,8060,both dots moved simultaneously and then hit each other twice.,95aaf072-b6be-4da4-9857-deaf20ab49f2,0,0.07604869455099106,0.8678973317146301,0.05605389550328255,-0.01999479904770851,-0.8118434362113476,-0.7918486371636391,0.7918486371636391
6,28082,44,1.5,8108,bouncing off each other slowly,1f6c6525-a740-48c2-8dfc-9c4fb520c630,6,0.07742822170257568,0.8253326416015625,0.09723912179470062,0.01981090009212494,-0.7280935198068619,-0.7479044198989868,0.7479044198989868
5,28072,21,1.5,8032,Like magnets,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,5,0.07848403602838516,0.7315511107444763,0.18996486067771912,0.11148082464933395,-0.5415862500667572,-0.6530670747160912,0.6530670747160912
2,28095,60,1.5,8062,slower clashes,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,2,0.0801517590880394,0.8056727051734924,0.11417554318904877,0.03402378410100937,-0.6914971619844437,-0.725520946085453,0.725520946085453
4,28085,51,1.5,8070,Soft contact,7e595f18-f375-4ca5-b922-61b8d693804d,4,0.08277106285095215,0.7586284875869751,0.15860037505626678,0.07582931220531464,-0.6000281125307083,-0.675857424736023,0.675857424736023
5,28045,97,1.5,8173,group work,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,5,0.08509862422943115,0.8160146474838257,0.09888662397861481,0.013787999749183655,-0.7171280235052109,-0.7309160232543945,0.7309160232543945
6,28064,17,1.5,8061,They clashed twice,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,6,0.08528823405504227,0.8486137986183167,0.06609796732664108,-0.019190266728401184,-0.7825158312916756,-0.7633255645632744,0.7633255645632744
3,28063,16,1.5,9791,Slowly attract and part,e4bc0778-6eb7-4065-bf77-a9b6e293735f,3,0.09421517699956894,0.7546119689941406,0.15117284655570984,0.0569576695561409,-0.6034391224384308,-0.6603967919945717,0.6603967919945717
4,28004,32,1.5,8069,softer collisons,1f6c6525-a740-48c2-8dfc-9c4fb520c630,4,0.09785379469394684,0.7984649538993835,0.10368132591247559,0.0058275312185287476,-0.694783627986908,-0.7006111592054367,0.7006111592054367
6,28049,88,1.5,8230,The black dot still on the right but on top and the grey dot on the left beneath and they just bounced on each other twice  ,38ad4b16-44e2-4e52-8d02-b23eca73a48d,6,0.09958047419786453,0.85228431224823,0.04813522845506668,-0.05144524574279785,-0.8041490837931633,-0.7527038380503654,0.7527038380503654
1,28031,80,1.5,8142,touched,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,1,0.10208825767040253,0.6676800847053528,0.2302316427230835,0.12814338505268097,-0.4374484419822693,-0.5655918270349503,0.5655918270349503
3,28036,76,1.5,8039,touched,50919f52-6a9c-4824-b24f-2f1aebd58e1b,3,0.10208825767040253,0.6676800847053528,0.2302316427230835,0.12814338505268097,-0.4374484419822693,-0.5655918270349503,0.5655918270349503
1,28091,54,1.5,8029,touching,15dfbaca-4429-4c18-90f4-8d4804129e6f,1,0.1044238805770874,0.7190650701522827,0.17651106417179108,0.07208718359470367,-0.5425540059804916,-0.6146411895751953,0.6146411895751953
1,28012,42,1.5,8140,Collision,8ed7c0fc-1490-4e35-a000-7f7357a0772a,1,0.10679610073566437,0.7709386348724365,0.12226526439189911,0.015469163656234741,-0.6486733704805374,-0.6641425341367722,0.6641425341367722
0,28062,27,1.5,7999,bumps,8ed7c0fc-1490-4e35-a000-7f7357a0772a,0,0.11154454201459885,0.5950409173965454,0.2934146225452423,0.18187008053064346,-0.3016262948513031,-0.48349637538194656,0.48349637538194656
0,28061,19,1.5,8046,collided,0e704828-9ccd-480e-8056-3a2a8158df0f,0,0.11279021948575974,0.77171391248703,0.11549578607082367,0.0027055665850639343,-0.6562181264162064,-0.6589236930012703,0.6589236930012703
0,28007,33,1.5,7743,Dot moves slowly around. Hit each other twice. Didn't touch edges,9d425f58-501f-43f3-955e-05126bd09bb5,0,0.12242661416530609,0.80128014087677,0.0762932077050209,-0.04613340646028519,-0.7249869331717491,-0.6788535267114639,0.6788535267114639
6,28034,81,1.5,8319,Gently bounced off each other,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,6,0.12268397957086563,0.7827922701835632,0.09452377259731293,-0.028160206973552704,-0.6882684975862503,-0.6601082906126976,0.6601082906126976
4,28010,39,1.5,8188,slow collision ,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,4,0.12284542620182037,0.8032092452049255,0.07394532859325409,-0.048900097608566284,-0.7292639166116714,-0.6803638190031052,0.6803638190031052
1,28077,39,1.5,8748,slowly circled almost mirror like then hit eachother twice,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,1,0.1264227032661438,0.790106475353241,0.08347076922655106,-0.04295193403959274,-0.7066357061266899,-0.6636837720870972,0.6636837720870972
1,28042,91,1.5,8059,bounced off each other,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,1,0.15240825712680817,0.7508500814437866,0.09674164652824402,-0.05566661059856415,-0.6541084349155426,-0.5984418243169785,0.5984418243169785
5,28017,48,1.5,8022,slow speed bumper cars,e4bc0778-6eb7-4065-bf77-a9b6e293735f,5,0.1806178092956543,0.6495717167854309,0.16981039941310883,-0.010807409882545471,-0.4797613173723221,-0.4689539074897766,0.4689539074897766
1,28052,6,1.5,8374,i dont know,1b1159fc-de2b-4ae5-a736-d98d8524a366,1,0.1813124120235443,0.6101323962211609,0.2085551619529724,0.0272427499294281,-0.4015772342681885,-0.4288199841976166,0.4288199841976166
1,28000,26,1.5,8234,collided and then bounced off each other,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,1,0.2060239315032959,0.7623352408409119,0.031640905886888504,-0.1743830256164074,-0.7306943349540234,-0.556311309337616,0.556311309337616
3,28043,99,1.5,7981,slow,15dfbaca-4429-4c18-90f4-8d4804129e6f,3,0.21173720061779022,0.5470662713050842,0.2411964386701584,0.029459238052368164,-0.30586983263492584,-0.335329070687294,0.335329070687294
3,28058,13,1.5,9762,the two dots seems to be having an affair,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3,0.22211229801177979,0.7446883320808411,0.03319939598441124,-0.18891290202736855,-0.7114889360964298,-0.5225760340690613,0.5225760340690613
2,28098,64,1.5,7954,Dots slowly pushed each other.,9d425f58-501f-43f3-955e-05126bd09bb5,2,0.25048941373825073,0.71238774061203,0.03712282329797745,-0.21336659044027328,-0.6752649173140526,-0.4618983268737793,0.4618983268737793
6,28009,41,1.5,8130,meandering,1b1159fc-de2b-4ae5-a736-d98d8524a366,6,0.25138112902641296,0.6270477771759033,0.1215711385011673,-0.12980999052524567,-0.505476638674736,-0.37566664814949036,0.37566664814949036
6,28089,53,1.5,8061,"Circular movement but this time, the attack wasnt fast. It was at the normal movement speed and they collided",95aaf072-b6be-4da4-9857-deaf20ab49f2,6,0.25717413425445557,0.6904780268669128,0.05234802886843681,-0.20482610538601875,-0.638129997998476,-0.4333038926124573,0.4333038926124573
0,28011,40,1.5,7932,crash,b3a507ff-2289-4ad3-8922-1a3d0532e154,0,0.26960137486457825,0.5724997520446777,0.1578989177942276,-0.11170245707035065,-0.41460083425045013,-0.3028983771800995,0.3028983771800995
0,28044,96,1.5,8036,head on collision,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,0,0.2700108587741852,0.6531630754470825,0.07682603597640991,-0.19318482279777527,-0.5763370394706726,-0.38315221667289734,0.38315221667289734
2,28081,43,2.75,8117,they are meeting each other nicely ,112b96b3-6518-4053-ad9f-ff77320acc23,2,0.002949447138234973,0.0582512803375721,0.9387993812561035,0.9358499341178685,0.8805481009185314,-0.055301833199337125,0.055301833199337125
5,28003,29,2.75,8097,"The dots came together gently, twice.",cc654364-6ba7-42d1-b98c-c44f96b2e4e4,5,0.004870204720646143,0.4057943522930145,0.5893354415893555,0.5844652368687093,0.18354108929634094,-0.4009241475723684,0.4009241475723684
3,28070,26,2.75,8242,The dots moved to the right and then collided gently twice.,88ff8e25-5b4f-453c-add2-298ef66c683c,3,0.005364764016121626,0.8825600743293762,0.11207535117864609,0.10671058716252446,-0.7704847231507301,-0.8771953103132546,0.8771953103132546
6,28094,57,2.75,8028,Circled on the middle and touched two times slowly,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,6,0.00808696262538433,0.9257299304008484,0.06618309020996094,0.05809612758457661,-0.8595468401908875,-0.9176429677754641,0.9176429677754641
2,28052,6,2.75,8230,the dots moves and come back to meet ,4a2adf87-0f15-4bc0-9837-899addfb179c,2,0.009480281732976437,0.8781101703643799,0.11240965127944946,0.10292936954647303,-0.7657005190849304,-0.8686298886314034,0.8686298886314034
3,28030,74,2.75,8001,uniting following each other,59df47e5-696a-407f-aa33-94dab9b3e492,3,0.012738793157041073,0.9179564118385315,0.06930471211671829,0.05656591895967722,-0.8486516997218132,-0.9052176186814904,0.9052176186814904
5,28050,98,2.75,8437,they touch each other ,c49bbdbd-6e52-4da5-887c-72db9cec7d93,5,0.013041886501014233,0.9047052264213562,0.08225283026695251,0.06921094376593828,-0.8224523961544037,-0.891663339920342,0.891663339920342
3,28007,33,2.75,7745,"Moves around slowly, accelerated into each other twice",c496efe1-6c3e-480d-856f-af132dbe7048,3,0.013548514805734158,0.8539868593215942,0.1324646919965744,0.11891617719084024,-0.7215221673250198,-0.8404383445158601,0.8404383445158601
5,28080,42,2.75,8107,They collided gently,215ead11-5650-429d-b541-0b107fbb996a,5,0.013741020113229752,0.3066777288913727,0.6795812845230103,0.6658402644097805,0.3729035556316376,-0.29293670877814293,0.29293670877814293
1,28019,52,2.75,8083,"the black dot slowly swept towards the grey, the grey redirected and they collided",204d8c5c-c9ac-4aef-956d-74de8c6eedc4,1,0.014219805598258972,0.9239289164543152,0.061851151287555695,0.04763134568929672,-0.8620777651667595,-0.9097091108560562,0.9097091108560562
