,subID,stimset_rows,chargeSpeed,responses,movie,trial_num,similarity_playing,similarity_fighting,similarity_fight_play
5,24101,82,1.5,Running around,9d425f58-501f-43f3-955e-05126bd09bb5,5,0.456896036863327,0.3924204707145691,-0.06447556614875793
0,24000,22,2.75,fighting,59df47e5-696a-407f-aa33-94dab9b3e492,0,0.46540117263793945,1.0000001192092896,0.5345989465713501
1,24001,5,2.75,running,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,1,0.5148481130599976,0.4141086935997009,-0.10073941946029663
5,24002,20,2.75,They are gently approaching each other.,c49bbdbd-6e52-4da5-887c-72db9cec7d93,5,0.16830353438854218,0.19047819077968597,0.0221746563911438
4,24003,85,2.75,playing tag,112b96b3-6518-4053-ad9f-ff77320acc23,4,0.6409550309181213,0.271896630525589,-0.36905840039253235
4,24004,88,2.75,colliding,4a2adf87-0f15-4bc0-9837-899addfb179c,4,0.38597387075424194,0.4753241539001465,0.08935028314590454
1,24005,27,2.75,circling and coming together,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,1,0.2384394109249115,0.2656603455543518,0.027220934629440308
6,24006,52,2.75,tagging each other,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,6,0.1502511203289032,0.22139406204223633,0.07114294171333313
0,24007,13,2.75,Playing,0bad25fa-4a38-4561-9d35-56f1108797cd,0,1.0,0.46540114283561707,-0.5345988571643829
5,24008,54,2.75,Playing tag,46c1720a-0af5-44e9-b008-09b89ef78bd9,5,0.6409550309181213,0.271896630525589,-0.36905840039253235
4,24009,8,2.75,swings,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,4,0.4046834707260132,0.33181533217430115,-0.07286813855171204
0,24010,11,2.75,the dots hit them selves twice,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,0,0.171889528632164,0.1506621241569519,-0.021227404475212097
5,24011,60,2.75,running,88ff8e25-5b4f-453c-add2-298ef66c683c,5,0.5148481130599976,0.4141086935997009,-0.10073941946029663
2,24012,87,2.75,playing tag,215ead11-5650-429d-b541-0b107fbb996a,2,0.6409550309181213,0.271896630525589,-0.36905840039253235
4,24013,45,2.75,looking for something and checking with each other,88ff8e25-5b4f-453c-add2-298ef66c683c,4,0.1880548745393753,0.17280033230781555,-0.015254542231559753
2,24014,75,2.75,Slowly touched each other ,3fd185a3-34a1-4f1a-9d01-aee3deee3988,2,0.26655313372612,0.2256259322166443,-0.04092720150947571
5,24015,9,2.75,saying hello to each other,88ff8e25-5b4f-453c-add2-298ef66c683c,5,0.2376360297203064,0.29656460881233215,0.05892857909202576
2,24016,13,2.75,Playing,0bad25fa-4a38-4561-9d35-56f1108797cd,2,1.0,0.46540114283561707,-0.5345988571643829
0,24017,31,2.75,"the dots were colliding, then moving in opposite directions, then colliding again",3fd185a3-34a1-4f1a-9d01-aee3deee3988,0,0.2009994387626648,0.18329571187496185,-0.017703726887702942
3,24018,8,2.75,playful mood,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,3,0.467777818441391,0.25892290472984314,-0.20885491371154785
2,24019,14,2.75,"Lackadaisical in manner, less violent.  ",c496efe1-6c3e-480d-856f-af132dbe7048,2,0.17178021371364594,0.37974846363067627,0.20796824991703033
