,subID,PSE_subt,range_subt,bias_subt,sigma_subt,PSE_pf,slope_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
78,30101.0,0.4289674867319525,0.6432487037907302,0.7258359255685131,0.0834494285916258,0.1687370718832457,0.3450000078520043,0.674482006368537,26.0,23.0,18.0,24.0,21.0,25.0,11.0,48.0,30.545454545454547,40.0,38.0,43.0,69.0,3.0
79,30102.0,0.3352974595699865,0.8098717073783376,0.9999062724879565,0.0593528852945042,0.2428984127008998,0.7417857136580285,1.0,4.0,13.0,8.0,17.0,4.0,37.0,4.0,21.0,48.0,47.0,43.0,56.0,36.0,3.0
80,30103.0,0.3915744495499015,0.798498961323503,0.8027289463309281,0.0917524329083683,0.3609171826335611,0.8696428634849817,1.0,12.0,13.0,7.0,10.0,0.0,40.0,0.0,12.0,46.0,29.0,41.0,59.0,21.0,8.0
81,30104.0,0.3856288174836145,0.7012635908656012,0.6652244412579313,0.053532686553293,0.5143285127225401,0.9139285751024958,0.3478561586328653,12.0,18.0,6.0,11.0,12.0,29.0,11.0,35.0,41.0,44.0,44.0,40.0,44.0,4.0
82,30105.0,0.4007147814537355,0.5327028414676306,0.6834969565980451,0.1992312851666013,0.5624515946137194,0.5840714329878691,0.412301786288825,17.0,26.0,14.0,24.0,17.0,6.0,14.0,37.0,29.0,47.0,44.0,33.0,48.0,3.0
83,30106.0,0.2400093316456513,0.6255613788245734,0.9768038253931233,0.1098508808643122,0.906692394670502,0.1850000067795044,0.40768331730419977,16.0,9.0,6.0,20.0,5.0,25.0,0.0,22.0,24.0,54.0,50.0,47.0,45.0,1.0
84,30109.0,0.423495123238937,0.6183309474294436,0.7248922979784764,0.0354803626026974,0.4006131114625062,0.3689285716937007,0.5581022388093633,7.0,9.0,4.0,22.0,4.0,29.0,9.0,33.0,44.0,39.0,44.0,56.0,48.0,4.0
85,30110.0,0.4585845862811077,0.5883333182118562,0.5506073019620374,0.026369623504652,0.5825723047586739,0.6257142884789301,0.36195927514793585,16.0,17.0,16.0,10.0,11.0,11.0,7.0,29.454545454545453,30.0,40.0,46.0,39.0,38.0,3.0
86,30111.0,0.425728128031439,0.3904880495407447,0.5496887176582755,0.1362343043199371,0.3820479025207351,0.5417857242297278,0.6394648005014534,16.0,10.0,11.0,15.0,9.0,27.0,0.0,29.0,40.0,34.0,41.0,58.0,47.0,3.0
87,30112.0,0.3550673955915006,0.8327542942068904,0.7077021462755474,0.1063573913864628,0.3095833364179248,0.7999999965009462,1.0,11.0,20.0,10.0,17.0,13.0,16.0,5.0,41.0,33.0,41.0,46.0,38.0,51.0,2.0
88,30113.0,0.3949714205545049,0.992196751330585,0.9960538922503271,0.0582041225922996,1.0,0.3837076886490987,0.00016226066455510673,9.0,11.0,7.0,6.0,3.0,8.0,0.0,13.0,37.0,40.0,44.0,49.0,33.0,2.0
89,30114.0,0.4440927912611204,0.7343618771040499,0.8277938417830122,0.0896538217003699,0.3669760242039447,0.9235714229884876,1.0,11.0,10.0,11.0,13.0,6.0,28.0,3.0,28.0,41.0,45.0,48.0,50.0,31.0,3.0
90,30116.0,0.0442391858569143,0.5002815400346087,0.9616851582747531,0.1652708860174792,0.5229525314638637,0.9128571394942206,0.25956283630528526,8.0,16.0,9.0,14.0,4.0,22.0,3.0,41.0,41.0,40.0,46.0,52.0,35.0,3.0
91,30118.0,0.387747715009813,0.9731539739034356,0.9999476783970058,0.0453402097946616,0.0,0.2096428593906591,0.8991564989451587,20.0,22.0,15.0,19.0,20.0,16.0,10.0,50.0,33.0,43.0,37.0,44.0,42.0,0.0
92,30119.0,0.3091781629598418,0.5210186146725343,0.8955012737017929,0.0626160910589318,0.496969697894444,0.4714285813022493,0.5027027019850205,14.0,15.0,6.0,23.0,10.0,25.0,4.0,23.0,38.0,43.0,41.0,45.0,51.0,4.0
93,30120.0,0.4765974907890657,0.812481025921063,0.7754967714695236,0.0929294148564872,0.1309373667212288,0.2832142867746869,0.6458229545185971,22.0,22.0,14.0,11.0,18.0,27.0,9.0,42.0,27.0,41.0,43.0,56.0,53.0,2.0
