,subID,subtlety,block_type,responses_subt_1,responses_pf,RT,accuracy,rating180,diff_from_180,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
71,30016,30.0,1.0,80.5,,3869.5,1.0,17.0,63.5,7.0,17.0,9.0,11.0,10.0,22.0,7.0,38.0,44.0,47.0,42.0,32.0,40.0,5.0
72,30016,60.0,1.0,86.0,,3560.0,1.0,17.0,69.0,7.0,17.0,9.0,11.0,10.0,22.0,7.0,38.0,44.0,47.0,42.0,32.0,40.0,5.0
73,30016,90.0,1.0,68.5,,4000.0,1.0,17.0,51.5,7.0,17.0,9.0,11.0,10.0,22.0,7.0,38.0,44.0,47.0,42.0,32.0,40.0,5.0
74,30016,120.0,1.0,59.0,,3244.0,1.0,17.0,42.0,7.0,17.0,9.0,11.0,10.0,22.0,7.0,38.0,44.0,47.0,42.0,32.0,40.0,5.0
75,30016,150.0,1.0,34.5,,3358.0,0.5,17.0,17.5,7.0,17.0,9.0,11.0,10.0,22.0,7.0,38.0,44.0,47.0,42.0,32.0,40.0,5.0
76,30016,180.0,1.0,17.0,,3797.0,1.0,17.0,0.0,7.0,17.0,9.0,11.0,10.0,22.0,7.0,38.0,44.0,47.0,42.0,32.0,40.0,5.0
77,30017,0.0,1.0,100.0,,4620.0,1.0,0.0,100.0,24.0,18.0,10.0,5.0,19.0,0.0,33.0,57.0,13.0,28.0,33.0,32.0,79.0,1.0
78,30017,30.0,1.0,100.0,,4853.5,1.0,0.0,100.0,24.0,18.0,10.0,5.0,19.0,0.0,33.0,57.0,13.0,28.0,33.0,32.0,79.0,1.0
79,30017,60.0,1.0,100.0,,4598.0,1.0,0.0,100.0,24.0,18.0,10.0,5.0,19.0,0.0,33.0,57.0,13.0,28.0,33.0,32.0,79.0,1.0
80,30017,90.0,1.0,0.0,,4600.0,1.0,0.0,0.0,24.0,18.0,10.0,5.0,19.0,0.0,33.0,57.0,13.0,28.0,33.0,32.0,79.0,1.0
