,index,subID,r_squared_subt,nrmse_subt,aic_subt,center_subt,PSE_subt,sigma_subt,bias_xmin_subt,bias_xmax_subt,bias_lower_subt,bias_upper_subt,flipped_subt,range_subt,bias_subt,r_squared_pf,nrmse_pf,aic_pf,center_pf,PSE_pf,sigma_pf,bias_xmin_pf,bias_xmax_pf,bias_lower_pf,bias_upper_pf,flipped_pf,range_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
10,10,30016.0,0.9534082320379744,0.0720271428641797,-32.82997145494888,0.3710640609714416,0.3208284994058807,0.1815969181458739,0.2773581115647578,0.121362239794448,0.1966666666666666,0.0999999999999999,False,0.6012796486407941,0.6956206539728063,0.9250980306615652,0.1027534041816924,-27.8559261360555,0.6932404995152647,0.6559501525633677,0.1353984201081493,0.230428981135047,0.1995407943830103,0.2266666666666666,0.14,False,0.5700302244819426,0.5359190209530664,7.0,17.0,9.0,11.0,10.0,22.0,7.0,38.0,44.0,47.0,42.0,32.0,40.0,5.0
11,11,30017.0,0.9783834852730338,0.0652111436614789,-34.2217487344068,0.5509971796197045,0.5509971796197045,0.0676255222244547,0.000289296333761,0.0013059120729942,0.0,0.0,False,0.9984047915932448,0.1813533156770752,0.9097966085731952,0.1157580976258583,-26.187536828007264,0.3913201602009542,0.388670274263952,0.124981604777689,0.0728076914298944,0.0305156457261864,0.0333333333333333,0.0233333333333333,False,0.8966766628439192,0.7046587289366264,24.0,18.0,10.0,5.0,19.0,0.0,33.0,57.0,13.0,28.0,33.0,32.0,79.0,1.0
12,12,30018.0,0.9920524295050328,0.039044311010197,-41.40281337294607,0.4931218467144801,0.4776413697954618,0.0749245367478057,0.0945879247849137,0.0010443972784004,0.0933333333333333,0.0,False,0.9043676779366858,0.989079034620649,0.8029037550346376,0.1357398029522141,-23.958216151090145,0.5083722516725914,0.5202736307391462,0.2650917532378026,0.2439574085667853,0.2637847301498957,0.1583333333333333,0.1733333333333333,False,0.49225786128331905,0.4804750087975523,15.0,15.0,13.0,18.0,9.0,16.0,2.0,33.0,29.0,40.0,40.0,40.0,54.0,3.0
13,13,30019.0,0.958538622447537,0.0750405458448505,-32.256173803622886,0.3345601460973818,0.1892402433161013,0.1208184481297142,0.3945299086474004,0.0308104485720361,0.3583333333333333,0.0283333333333333,False,0.5746596427805636,0.9275628375039411,0.8567083101313216,0.1500986812948738,-22.550472562485407,0.7073412602514726,0.7526407674285114,0.1087391662392046,0.1242669598955824,0.2913440081864689,0.1233333333333333,0.2516666666666667,False,0.5843890319179488,0.29899826866708,19.0,22.0,11.0,14.0,13.0,18.0,7.0,37.0,28.0,36.0,34.0,46.0,49.0,3.0
14,14,30020.0,0.9974723146808052,0.0202659299030941,-50.5833978592655,0.5120498429355036,0.5507682045615743,0.1073112422036759,0.1582726647326033,0.2645033142263253,0.1533333333333333,0.2583333333333333,False,0.5772240210410715,0.37436532019237306,0.9848556147052184,0.0474015587098572,-38.687402333066046,0.647164745246891,0.4931842686197244,0.1138970586354956,0.3787037401249155,0.0492511127664043,0.3766666666666666,0.0233333333333333,False,0.5720451471086803,0.8849151670236772,10.0,14.0,9.0,11.0,6.0,15.0,12.0,48.0,30.0,50.0,47.0,54.0,44.0,4.0
15,15,30022.0,0.982899516670571,0.0629426014101978,-34.7174487925571,0.3739323218934789,0.3739323218934789,0.0253002324174249,3.8125466275628827e-07,1.7912338279302276e-11,0.0,0.0,False,0.9999996187274249,0.9999530195994956,0.9841106642561724,0.0588801862481088,-35.65150897939451,0.4188347976937954,0.4188347976937954,0.0556607345655278,0.0005392562517886,2.920311074372517e-05,0.0,0.0,False,0.9994315406374676,0.9486276193717109,14.0,12.0,14.0,14.444444444444445,11.0,24.0,0.0,24.0,40.0,39.0,43.0,44.0,55.0,1.0
16,16,30024.0,0.9680572415931576,0.0727435588436339,-32.69140881114957,0.5301296404443931,0.5287288833768315,0.123031833431153,0.0749889166713979,0.0771966686545544,0.0633333333333333,0.0583333333333332,False,0.8478144146740476,0.4927465141378931,0.4105096065398868,0.2794321699778954,-13.849939789942535,0.3342112278461779,0.2610246501529698,0.2387620567027479,0.3364470763217716,0.1252494941512386,0.1933333333333333,0.0833333333333332,False,0.5383034295269897,0.7287190285539268,8.0,10.0,10.0,23.0,3.0,20.0,3.0,24.0,48.0,46.0,49.0,51.0,40.0,10.0
17,17,30027.0,0.9964898829557564,0.0230017856630286,-48.81056799961095,0.3923612350747752,0.3221519475918983,0.1184814353677412,0.2566750713064587,0.0161334059379354,0.23,0.0116666666666667,False,0.7271915227556058,0.9408617866244591,0.9665747218005324,0.0701098376745818,-33.20769019887028,0.7100929906301376,0.6865540615082446,0.1253296821508867,0.0997375475402757,0.0934683061802013,0.0966666666666666,0.0133333333333333,False,0.806794146279523,0.5162242531459335,9.0,8.0,6.0,17.0,5.0,27.0,0.0,20.0,46.0,50.0,48.0,58.0,29.55555555555556,10.0
18,18,30028.0,0.9849474697045036,0.0466122684784688,-38.92248100602558,0.3743458363891358,0.3217713692582785,0.1312794311491271,0.2105933663101664,0.0070507337472939,0.165,0.0,False,0.7823558999425396,0.9676042964388539,0.8980611252031268,0.1068993248258449,-27.30214887677729,0.4862991321263358,0.3893715959321928,0.2128051455902461,0.3018794484271598,0.1450171479272024,0.24,0.0899999999999999,False,0.5531034036456377,0.6755017847300576,20.0,21.0,14.0,15.0,14.0,6.0,13.0,46.0,25.0,37.0,39.0,46.0,63.0,3.0
19,19,30029.0,0.9705656436200376,0.0630740222233703,-34.68824800938437,0.5210158140242227,0.3721002572179432,0.1372783050396306,0.3524015231909677,0.0406251396088055,0.3383333333333334,0.0216666666666667,False,0.6069733372002268,0.8966351562018532,0.9877236133884286,0.0434817566437334,-39.89579342897578,0.6097660337654125,0.5051503995950282,0.1255390894791716,0.3327037060446255,0.1292303247196775,0.3283333333333333,0.1049999999999999,False,0.538065969235697,0.72024073544472,12.0,10.0,11.0,16.0,7.0,28.0,0.0,16.0,40.0,33.0,47.0,53.0,47.0,1.0
