,subID,block_type,subtlety,chargeSpeeds,responses_subt_1,responses_subt_2,pred_color,responses_pf,RT,movie,trial_num,stim_dur,subt_norm,chargeSpeed_norm,accuracy,responses_pf_rev,chargeSpeed_norm_rev,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
64,30004,1,120.0,,74.0,black,grey,,4125.0,1bc0b0c8-e058-4a68-bdab-65b544a8848d,36,5673,0.3333333333333333,,0.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
65,30004,1,180.0,,20.0,grey,grey,,2876.0,4a6f7598-dc16-47d6-987e-a48c1f938428,37,5734,0.0,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
66,30004,1,150.0,,72.0,black,grey,,3228.0,18487641-212a-4e1e-8730-31709d721382,38,5629,0.1666666666666666,,0.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
67,30004,1,120.0,,100.0,black,black,,2975.0,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,39,5616,0.3333333333333333,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
68,30004,1,90.0,,87.0,grey,grey,,3203.0,1841b8a9-ff1d-481d-80de-2134f2461e8b,40,5657,0.5,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
69,30004,1,90.0,,80.0,black,black,,2856.0,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,41,5647,0.5,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
70,30004,1,150.0,,2.0,grey,grey,,3731.0,4270e833-4dad-483f-85cb-3dee1fccc571,56,5674,0.1666666666666666,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
71,30004,1,120.0,,60.0,black,black,,2945.0,6480385b-e9eb-45a9-88e3-aade6c90476d,57,5620,0.3333333333333333,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
72,30004,1,120.0,,68.0,black,black,,4394.0,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,58,5645,0.3333333333333333,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
73,30004,1,30.0,,100.0,black,black,,2826.0,c53236a2-f564-41ec-89aa-2bd90765b0a4,59,5634,0.8333333333333334,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
74,30004,1,90.0,,99.0,grey,grey,,3039.0,ceedd529-39a5-4c29-8103-d6ac89521de6,60,5656,0.5,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
75,30004,1,60.0,,99.0,grey,grey,,2691.0,a7fd07d1-e946-43a4-882d-0b3b7882ed21,61,5652,0.6666666666666666,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
76,30004,1,60.0,,99.0,black,black,,2397.0,804f9681-f112-463c-a764-a40a823d6845,62,5654,0.6666666666666666,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
77,30004,1,90.0,,70.0,black,black,,2842.0,1d4805c2-68cf-415b-af2f-f7c0564b59aa,63,5630,0.5,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
78,30004,1,60.0,,99.0,grey,grey,,2239.0,adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,64,5612,0.6666666666666666,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
79,30004,1,0.0,,99.0,black,black,,3541.0,47505654-05f0-4b92-a9a3-978c80bda46b,65,5642,1.0,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
80,30004,1,90.0,,100.0,grey,grey,,2776.0,a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,66,5656,0.5,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
81,30004,1,0.0,,100.0,black,black,,3392.0,bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,67,5636,1.0,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
82,30004,1,30.0,,100.0,grey,grey,,3019.0,0a730462-ba50-4dbe-97c6-911f61a40346,68,5638,0.8333333333333334,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
83,30004,1,120.0,,22.0,black,grey,,3883.0,a68cb7dc-2812-45a9-b8f6-862ff43630fb,69,5648,0.3333333333333333,,0.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
84,30005,1,180.0,,26.0,grey,black,,7042.0,00139b14-fa60-4af8-9eba-0b4965060c34,14,6037,0.0,,0.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
85,30005,1,150.0,,75.0,black,black,,5202.0,14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,15,5971,0.1666666666666666,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
86,30005,1,180.0,,57.0,grey,grey,,2885.0,8af66fd7-6ab4-47a3-a88c-02fd34772ac6,16,6053,0.0,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
87,30005,1,90.0,,81.0,grey,grey,,3200.0,c7f85153-52e8-4379-839f-9596d6a3ee62,17,5970,0.5,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
88,30005,1,180.0,,12.0,grey,grey,,6940.0,27771508-6d61-4618-83ca-4bc020efddfe,18,6057,0.0,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
89,30005,1,120.0,,64.0,grey,grey,,3578.0,1bc0b0c8-e058-4a68-bdab-65b544a8848d,19,6025,0.3333333333333333,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
90,30005,1,60.0,,92.0,grey,grey,,4495.0,8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,20,6069,0.6666666666666666,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
91,30005,1,120.0,,82.0,black,black,,3650.0,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,21,5920,0.3333333333333333,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
92,30005,1,90.0,,93.0,black,black,,3644.0,42ffed3d-edac-4ca7-9b33-6f525cb7c364,22,5959,0.5,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
93,30005,1,30.0,,95.0,black,black,,3219.0,69cbd581-b3e6-4aa9-8cc0-319380d1e9ce,23,5964,0.8333333333333334,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
94,30005,1,150.0,,1.0,black,black,,4221.0,1247c2a3-9c1a-478d-ad2b-6640715d76a4,24,5990,0.1666666666666666,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
95,30005,1,150.0,,42.0,grey,grey,,3283.0,275adee0-f228-423e-816a-e5e70b874bf3,25,6018,0.1666666666666666,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
96,30005,1,30.0,,99.0,black,black,,3791.0,a4bd654a-f8f1-44b4-907f-0114e1caa391,26,5997,0.8333333333333334,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
97,30005,1,0.0,,98.0,black,black,,4097.0,37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,27,5986,1.0,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
98,30005,1,150.0,,10.0,black,black,,3361.0,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,42,5983,0.1666666666666666,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
99,30005,1,60.0,,82.0,grey,grey,,2752.0,a7fd07d1-e946-43a4-882d-0b3b7882ed21,43,5993,0.6666666666666666,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
100,30005,1,120.0,,17.0,black,black,,4046.0,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,44,6035,0.3333333333333333,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
101,30005,1,30.0,,91.0,grey,grey,,3656.0,57dbdc86-9c49-4214-a908-c4a254e90229,45,6080,0.8333333333333334,,1.0,,,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
