,subID,block_type,subtlety,chargeSpeeds,responses_subt_1,responses_subt_2,pred_color,responses_pf,RT,movie,trial_num,stim_dur,subt_norm,chargeSpeed_norm,accuracy,responses_pf_rev,chargeSpeed_norm_rev
33,30004,1,60.0,,99.0,grey,grey,,2692.0,3273fde2-4b65-4cc7-b9b3-ef2604e8a514,33,5632,0.6666666666666666,,1.0,,
34,30004,1,0.0,,99.0,grey,grey,,3198.0,72e764e1-0b34-4efd-96db-5df7934b2395,34,5638,1.0,,1.0,,
35,30004,1,120.0,,83.0,grey,grey,,5290.0,5d69d5c8-83dd-43c4-be85-f1c2ff45960d,35,5704,0.3333333333333333,,1.0,,
36,30004,1,120.0,,74.0,black,grey,,4125.0,1bc0b0c8-e058-4a68-bdab-65b544a8848d,36,5673,0.3333333333333333,,0.0,,
37,30004,1,180.0,,20.0,grey,grey,,2876.0,4a6f7598-dc16-47d6-987e-a48c1f938428,37,5734,0.0,,1.0,,
38,30004,1,150.0,,72.0,black,grey,,3228.0,18487641-212a-4e1e-8730-31709d721382,38,5629,0.16666666666666666,,0.0,,
39,30004,1,120.0,,100.0,black,black,,2975.0,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,39,5616,0.3333333333333333,,1.0,,
40,30004,1,90.0,,87.0,grey,grey,,3203.0,1841b8a9-ff1d-481d-80de-2134f2461e8b,40,5657,0.5,,1.0,,
41,30004,1,90.0,,80.0,black,black,,2856.0,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,41,5647,0.5,,1.0,,
56,30004,1,150.0,,2.0,grey,grey,,3731.0,4270e833-4dad-483f-85cb-3dee1fccc571,56,5674,0.16666666666666666,,1.0,,
57,30004,1,120.0,,60.0,black,black,,2945.0,6480385b-e9eb-45a9-88e3-aade6c90476d,57,5620,0.3333333333333333,,1.0,,
58,30004,1,120.0,,68.0,black,black,,4394.0,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,58,5645,0.3333333333333333,,1.0,,
59,30004,1,30.0,,100.0,black,black,,2826.0,c53236a2-f564-41ec-89aa-2bd90765b0a4,59,5634,0.8333333333333334,,1.0,,
60,30004,1,90.0,,99.0,grey,grey,,3039.0,ceedd529-39a5-4c29-8103-d6ac89521de6,60,5656,0.5,,1.0,,
61,30004,1,60.0,,99.0,grey,grey,,2691.0,a7fd07d1-e946-43a4-882d-0b3b7882ed21,61,5652,0.6666666666666666,,1.0,,
