,index,subID,r_squared_subt,nrmse_subt,aic_subt,subj_center_subt,PSE_subt,sigma_subt,bias_xmin_subt,bias_xmax_subt,bias_lower_subt,bias_upper_subt,flipped_subt,range_subt,bias_subt,r_squared_pf,nrmse_pf,aic_pf,PSE_pf,slope_pf,intercept,bias_xmin_pf,bias_xmax_pf,bias_lower_pf,bias_upper_pf,flipped_pf,range_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
30,30,30042.0,0.9906537532048796,0.0401631856340214,-41.00726276463619,0.3970951035065579,0.346070537539174,0.1149899525890922,0.2112542009423165,0.0158802508866563,0.1866666666666666,0.0116666666666667,False,0.7728655481710272,0.9300843585868085,0.9714205822254608,0.056601090152734,-39.83301488215139,0.5380240012826839,0.7639285675351233,0.0889880954006039,0.0889880954006039,0.1470833370642728,0.0,0.0,False,0.7639285675351233,0.37695410440585086,14.0,19.0,10.0,13.0,10.0,15.0,8.0,44.0,22.0,34.0,40.0,43.0,55.0,2.0
31,31,30044.0,0.9721258810852854,0.0630780479955715,-34.68735447175572,0.4056005514824682,0.5145186860346875,0.131296423544325,0.0344026118805574,0.290962960926359,0.0033333333333333,0.2833333333333333,False,0.6746344271930836,0.10573525522005103,0.9780189790802712,0.0529307259190797,-45.38581821238555,0.5595382808085075,0.587857146102206,0.171071423108976,0.171071423108976,0.241071430788818,0.0,0.0,False,0.587857146102206,0.4150779796157753,8.0,15.0,5.0,22.0,2.0,37.0,2.0,21.0,46.0,47.0,43.0,57.0,40.0,5.0
32,32,30045.0,0.630357902963498,0.2332353061877806,-16.37990412105925,0.3058004765382235,0.1780905018730148,0.1941942082319345,0.371688254895337,0.0226070956900485,0.242,0.002,False,0.6057046494146144,0.9426645643767162,0.8071249679047929,0.1960867904744873,-19.020361658407904,0.5653332920719019,0.8842571400101098,0.0001,0.0001,0.1156428599898902,0.0,0.0,False,0.8842571400101098,0.0008639841801795352,12.0,14.0,9.0,20.0,10.0,24.0,7.0,34.0,43.0,35.0,37.0,46.0,44.0,2.0
33,33,30046.0,0.9933786301162798,0.032287108650942,-44.06322137951933,0.4101024251082018,0.4055237518516546,0.1033554514260555,0.0398268201980248,0.0032383706436334,0.0216666666666666,0.0,False,0.9569348091583418,0.9248030583321871,0.8917463223553957,0.1324138890281376,-25.677244062424798,0.4495238080439642,1.0,0.0504761919560357,0.0504761919560357,0.0,0.0,0.0,False,0.9495238080439643,1.0,10.0,14.0,8.0,15.0,10.0,11.0,6.0,39.0,33.0,49.0,44.0,39.0,35.0,7.0
34,34,30050.0,0.9686554625550066,0.0741894950304519,-32.41585801336969,0.4353785057612522,0.4334423676268714,0.0661466637001618,0.1642784764403863,0.1534674404626861,0.1633333333333333,0.1533333333333333,False,0.6822540830969276,0.5170120769498323,0.857185846917845,0.1425577426397819,-31.81256593168297,0.7045169479176469,0.5692857064907532,0.0989285715699932,0.0989285715699932,0.3317857219392536,0.0,0.0,False,0.5692857064907532,0.22968490496094798,21.0,24.0,15.0,16.0,17.0,11.0,6.0,37.0,23.0,46.0,40.0,54.0,45.0,2.0
35,35,30051.0,0.9810791508722418,0.0588194003153756,-35.665969576220235,0.4504669216247675,0.4445322659991783,0.0630414195858489,0.1123086643143421,0.0734667882061911,0.1116666666666666,0.0733333333333332,False,0.8142245474794668,0.6045398506130888,0.9436064889481628,0.088030554351369,-38.0140120968999,0.5628047652740404,0.6103571476520367,0.1564880887823626,0.1564880887823626,0.2331547635656006,0.0,0.0,False,0.6103571476520369,0.4016192978759273,14.0,15.555555555555555,11.0,11.11111111111111,5.0,22.0,4.0,24.0,31.63636363636364,38.0,43.0,49.0,35.0,3.0
36,36,30053.0,0.9958352885049891,0.0246987579171827,-47.81403252712904,0.3669012059345117,0.2755879818800684,0.1317371355109281,0.3362567709884007,0.108162332029392,0.3016666666666667,0.1033333333333332,False,0.5555808969822074,0.7566208758918681,0.8955253172837891,0.1272184079757301,-32.05640063877763,0.6057692369540874,0.6685714311131612,0.0949999943252781,0.0949999943252781,0.2364285745615606,0.0,0.0,False,0.6685714311131613,0.28663791611070927,16.0,12.0,12.0,21.0,13.0,26.0,6.0,26.0,37.0,36.0,37.0,50.0,44.0,2.0
37,37,30054.0,0.9393479678739892,0.089884160305873,-29.729269635585624,0.5005079571538789,0.3693439744236625,0.160490397440124,0.3293695357856309,0.0792025983685558,0.302,0.0516666666666667,False,0.5914278658458133,0.8061478212837041,0.9216438941264018,0.0967345641649334,-34.589085489272904,0.3724954507931939,0.6535714317044454,0.2565476149216995,0.2565476149216995,0.0898809533738551,0.0,0.0,False,0.6535714317044454,0.7405498229661781,10.0,19.0,12.0,16.0,11.0,31.0,9.0,36.0,46.0,33.0,41.0,49.0,37.0,4.0
38,38,30055.0,0.997789444133462,0.021292444529203,-49.891641805855215,0.4418445771893213,0.4379768587032744,0.0462245015768327,0.0417341900254134,0.0016721205186722,0.0416666666666666,0.0016666666666667,False,0.9565936894559145,0.9614774787879308,0.6496410795375678,0.2088232242848602,-26.948739053841894,0.6802232934576962,0.4478571425071936,0.1953571395252039,0.1953571395252039,0.3567857179676024,0.0,0.0,False,0.4478571425071938,0.3538162938705572,6.0,10.0,4.0,17.0,3.0,33.0,5.0,21.0,43.0,41.0,46.0,51.0,29.0,6.0
39,39,30056.0,0.9685290744782444,0.0766044582646727,-31.967400028568065,0.4203595254726024,0.3100677962105186,0.0885869522423082,0.3814213255525231,0.0724598697471565,0.3766666666666666,0.0716666666666667,False,0.5461188047003204,0.8403549860678539,0.6286714327918209,0.2172757150738693,-21.33769883326369,0.5596236316230324,0.6389285713811369,0.1424404725359722,0.1424404725359722,0.2186309560828908,0.0,0.0,False,0.638928571381137,0.39449389025551623,16.0,18.0,14.0,8.0,13.0,20.0,20.0,41.0,28.0,33.0,41.0,39.0,41.0,5.0
40,40,30057.0,0.9696692385100846,0.0701049228525185,-33.20867165772179,0.3969142152649438,0.3709291685122978,0.0990418676315798,0.1643720848275185,0.0468209842924305,0.15,0.045,False,0.7888069308800509,0.7783024580894835,0.8832617259058625,0.1210651513780756,-28.919279494951965,0.7487301992513251,0.6676637332110593,0.0001,0.0001,0.3322362667889407,0.0,0.0,False,0.6676637332110593,0.0003009000521255412,21.0,15.0,16.0,11.0,13.0,13.0,12.0,40.0,23.0,38.0,39.0,34.0,61.0,0.0
