,subID,stimset_rows,chargeSpeed,responses,movie,trial_num,neg_score,neu_score,pos_score,pos-neg,pos-neu,neg-neu,neu-neg
5,24065,10,4.0,fighting,83dec58f-0765-4ddc-b785-670d8025c467,5,0.061159271746873856,0.3902158737182617,0.5486249327659607,0.48746566101908684,0.15840905904769897,-0.32905660197138786,0.32905660197138786
0,24072,11,4.0,fighting,1a1c3419-9320-46a3-8b48-10e9514c3e7d,0,0.061159271746873856,0.3902158737182617,0.5486249327659607,0.48746566101908684,0.15840905904769897,-0.32905660197138786,0.32905660197138786
1,24053,77,4.0,Fighting,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,1,0.061159271746873856,0.3902158737182617,0.5486249327659607,0.48746566101908684,0.15840905904769897,-0.32905660197138786,0.32905660197138786
4,24047,9,4.0,Fighting,1d41f125-7386-42b4-8250-f6c540c627a8,4,0.061159271746873856,0.3902158737182617,0.5486249327659607,0.48746566101908684,0.15840905904769897,-0.32905660197138786,0.32905660197138786
3,24013,45,4.0,fighting,0890b767-b394-4f89-aea1-c60cab7014af,3,0.061159271746873856,0.3902158737182617,0.5486249327659607,0.48746566101908684,0.15840905904769897,-0.32905660197138786,0.32905660197138786
6,24097,84,4.0,chasing the other,1f7aa6f4-6516-4b90-8eeb-142b1437644b,6,0.06438266485929489,0.8257434368133545,0.10987376421689987,0.04549109935760498,-0.7158696725964546,-0.7613607719540596,0.7613607719540596
1,24075,46,4.0,running around ,7413c064-c0e5-4104-89aa-79d64ef9d6d9,1,0.06581021845340729,0.8522223234176636,0.08196742832660675,0.016157209873199463,-0.7702548950910568,-0.7864121049642563,0.7864121049642563
3,24038,20,4.0,running around ,fb491605-8f46-43ab-ba62-bfd86d95e4d6,3,0.06581021845340729,0.8522223234176636,0.08196742832660675,0.016157209873199463,-0.7702548950910568,-0.7864121049642563,0.7864121049642563
5,24057,12,4.0,Playing,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,5,0.06836262345314026,0.7353695631027222,0.19626781344413757,0.12790518999099731,-0.5391017496585846,-0.6670069396495819,0.6670069396495819
0,24093,10,4.0,playing,83dec58f-0765-4ddc-b785-670d8025c467,0,0.06836262345314026,0.7353695631027222,0.19626781344413757,0.12790518999099731,-0.5391017496585846,-0.6670069396495819,0.6670069396495819
2,24101,82,4.0,Playing,fb491605-8f46-43ab-ba62-bfd86d95e4d6,2,0.06836262345314026,0.7353695631027222,0.19626781344413757,0.12790518999099731,-0.5391017496585846,-0.6670069396495819,0.6670069396495819
2,24018,8,4.0,pushing each other for fun,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,2,0.0715755969285965,0.5873419046401978,0.3410826325416565,0.26950703561306,-0.24625927209854126,-0.5157663077116013,0.5157663077116013
2,24042,12,4.0,They are running,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,2,0.07443952560424805,0.7851896286010742,0.14037083089351654,0.0659313052892685,-0.6448187977075577,-0.7107501029968262,0.7107501029968262
0,24034,94,4.0,They were playing with each other,7413c064-c0e5-4104-89aa-79d64ef9d6d9,0,0.07625780254602432,0.8618475794792175,0.061894651502370834,-0.014363151043653488,-0.7999529279768467,-0.7855897769331932,0.7855897769331932
3,24036,54,4.0,Swings,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,3,0.07800997793674469,0.7560544610023499,0.16593557596206665,0.08792559802532196,-0.5901188850402832,-0.6780444830656052,0.6780444830656052
6,24086,69,4.0,Games,114b2369-dce5-4979-8319-c64c85175e6a,6,0.08251512795686722,0.6196348667144775,0.29784998297691345,0.21533485502004623,-0.3217848837375641,-0.5371197387576103,0.5371197387576103
5,24056,1,4.0,playing a game,114b2369-dce5-4979-8319-c64c85175e6a,5,0.084182508289814,0.7968027591705322,0.1190146952867508,0.0348321869969368,-0.6777880638837814,-0.7126202508807182,0.7126202508807182
2,24074,76,4.0,playing a game,7413c064-c0e5-4104-89aa-79d64ef9d6d9,2,0.084182508289814,0.7968027591705322,0.1190146952867508,0.0348321869969368,-0.6777880638837814,-0.7126202508807182,0.7126202508807182
3,24027,6,4.0,playing a game,1f7aa6f4-6516-4b90-8eeb-142b1437644b,3,0.084182508289814,0.7968027591705322,0.1190146952867508,0.0348321869969368,-0.6777880638837814,-0.7126202508807182,0.7126202508807182
5,24039,16,4.0,running in circles then bumping in to each other ,48fe3ca9-b1df-491d-bef9-6d9c5edee227,5,0.08481664955615997,0.8416231870651245,0.07356010377407074,-0.011256545782089233,-0.7680630832910538,-0.7568065375089645,0.7568065375089645
3,24067,90,4.0,Bumping into each other,0890b767-b394-4f89-aea1-c60cab7014af,3,0.08574504405260086,0.6743434071540833,0.2399114966392517,0.15416645258665085,-0.43443191051483154,-0.5885983631014824,0.5885983631014824
1,24046,15,4.0,Walking around,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,1,0.09232047945261002,0.7701141238212585,0.13756543397903442,0.04524495452642441,-0.6325486898422241,-0.6777936443686485,0.6777936443686485
3,24078,30,4.0,Something between chicken and self play,48fe3ca9-b1df-491d-bef9-6d9c5edee227,3,0.09648515284061432,0.8452227115631104,0.058292027562856674,-0.038193125277757645,-0.7869306840002537,-0.748737558722496,0.748737558722496
0,24006,52,4.0,swordfighting,83dec58f-0765-4ddc-b785-670d8025c467,0,0.10234114527702332,0.7728303074836731,0.1248285248875618,0.022487379610538483,-0.6480017825961113,-0.6704891622066498,0.6704891622066498
6,24043,95,4.0,tag,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,6,0.1049269512295723,0.6896246671676636,0.20544837415218353,0.10052142292261124,-0.48417629301548004,-0.5846977159380913,0.5846977159380913
4,24005,27,4.0,"slowly moving, coming together and then splitting apart",50bec0a0-7e7c-4edd-a8eb-394750dbdb77,4,0.10878992080688477,0.8225919604301453,0.06861824542284012,-0.04017167538404465,-0.7539737150073051,-0.7138020396232605,0.7138020396232605
5,24095,64,4.0,they were chasing each other,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,5,0.11046385765075684,0.8237923979759216,0.0657435953617096,-0.04472026228904724,-0.758048802614212,-0.7133285403251648,0.7133285403251648
4,24092,18,4.0,Running,68382d9c-6cc5-4669-84bf-c8058e3c1472,4,0.11511875689029694,0.6018301248550415,0.28305113315582275,0.16793237626552582,-0.31877899169921875,-0.48671136796474457,0.48671136796474457
0,24031,49,4.0,Running,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,0,0.11511875689029694,0.6018301248550415,0.28305113315582275,0.16793237626552582,-0.31877899169921875,-0.48671136796474457,0.48671136796474457
3,24077,24,4.0,tagging,1a1c3419-9320-46a3-8b48-10e9514c3e7d,3,0.12011644244194031,0.7795684337615967,0.10031510144472122,-0.019801340997219086,-0.6792533323168755,-0.6594519913196564,0.6594519913196564
2,24081,1,4.0,going in the opposite direction to each other  ,114b2369-dce5-4979-8319-c64c85175e6a,2,0.12138202041387558,0.8492053151130676,0.029412711039185524,-0.09196930937469006,-0.8197926040738821,-0.727823294699192,0.727823294699192
1,24023,57,4.0,The dots move away from each other and then collide. The grey dot seemed to instigate the collision.,114b2369-dce5-4979-8319-c64c85175e6a,1,0.13819508254528046,0.8444246053695679,0.017380204051733017,-0.12081487849354744,-0.8270444013178349,-0.7062295228242874,0.7062295228242874
1,24055,66,4.0,Running around then high fiving each other,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,1,0.1392178237438202,0.6573665738105774,0.20341560244560242,0.06419777870178223,-0.453950971364975,-0.5181487500667572,0.5181487500667572
4,24054,4,4.0,hide and seek,9f53cd68-f278-45d6-806a-74eeef55bbcc,4,0.1405637264251709,0.757895290851593,0.10154096782207489,-0.03902275860309601,-0.6563543230295181,-0.6173315644264221,0.6173315644264221
5,24084,47,4.0,hide and seek,7c45bceb-e7dc-4a58-a9f2-02aa015541c6,5,0.1405637264251709,0.757895290851593,0.10154096782207489,-0.03902275860309601,-0.6563543230295181,-0.6173315644264221,0.6173315644264221
2,24085,32,4.0,hide and seek,1f7aa6f4-6516-4b90-8eeb-142b1437644b,2,0.1405637264251709,0.757895290851593,0.10154096782207489,-0.03902275860309601,-0.6563543230295181,-0.6173315644264221,0.6173315644264221
5,24022,68,4.0,hide and seek,1f7aa6f4-6516-4b90-8eeb-142b1437644b,5,0.1405637264251709,0.757895290851593,0.10154096782207489,-0.03902275860309601,-0.6563543230295181,-0.6173315644264221,0.6173315644264221
6,24012,87,4.0,hide and seek,9f53cd68-f278-45d6-806a-74eeef55bbcc,6,0.1405637264251709,0.757895290851593,0.10154096782207489,-0.03902275860309601,-0.6563543230295181,-0.6173315644264221,0.6173315644264221
1,24041,5,4.0,running around,50781782-fbf2-4226-a593-5173be906638,1,0.14286786317825317,0.7170721292495728,0.14005988836288452,-0.0028079748153686523,-0.5770122408866882,-0.5742042660713196,0.5742042660713196
2,24048,67,4.0,running back and forth,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,2,0.14687272906303406,0.7412574887275696,0.11186981201171875,-0.03500291705131531,-0.6293876767158508,-0.5943847596645355,0.5943847596645355
3,24064,16,4.0,Whoever touches each other first ,48fe3ca9-b1df-491d-bef9-6d9c5edee227,3,0.14789949357509613,0.8106288909912109,0.0414716862142086,-0.10642780736088753,-0.7691572047770023,-0.6627293974161148,0.6627293974161148
5,24009,8,4.0,dont know,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,5,0.14854402840137482,0.7130950093269348,0.13836094737052917,-0.010183081030845642,-0.5747340619564056,-0.56455098092556,0.56455098092556
4,24087,39,4.0,running towards each other,68382d9c-6cc5-4669-84bf-c8058e3c1472,4,0.16193781793117523,0.7412846684455872,0.09677734225988388,-0.06516047567129135,-0.6445073261857033,-0.5793468505144119,0.5793468505144119
3,24019,14,4.0,"Slow and lethargic, but still headbutting in a seeking manner.",7c45bceb-e7dc-4a58-a9f2-02aa015541c6,3,0.17443467676639557,0.7259330153465271,0.09963231533765793,-0.07480236142873764,-0.6263007000088692,-0.5514983385801315,0.5514983385801315
3,24063,0,4.0,Aloof and then confronting each other,fb491605-8f46-43ab-ba62-bfd86d95e4d6,3,0.1777030974626541,0.7596395015716553,0.06265752017498016,-0.11504557728767395,-0.6969819813966751,-0.5819364041090012,0.5819364041090012
1,24024,17,4.0,notiing each other and playing,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,1,0.1858392059803009,0.7262364625930786,0.08792433142662048,-0.09791487455368042,-0.6383121311664581,-0.5403972566127777,0.5403972566127777
6,24094,98,4.0,running into each other,50781782-fbf2-4226-a593-5173be906638,6,0.18622742593288422,0.7285493016242981,0.08522316813468933,-0.10100425779819489,-0.6433261334896088,-0.5423218756914139,0.5423218756914139
0,24060,19,4.0,butting heads,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,0,0.20337195694446564,0.7317392826080322,0.06488876789808273,-0.1384831890463829,-0.6668505147099495,-0.5283673256635666,0.5283673256635666
6,24025,3,4.0,Grey dot was hassling the black dot,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,6,0.21554528176784515,0.7456864714622498,0.038768183439970016,-0.17677709832787514,-0.7069182880222797,-0.5301411896944046,0.5301411896944046
3,24044,43,4.0,tackling each other,70326c05-1133-4c5d-8a4c-3e71e0da8479,3,0.23446142673492432,0.7056611776351929,0.05987744405865669,-0.17458398267626762,-0.6457837335765362,-0.47119975090026855,0.47119975090026855
4,24062,63,4.0,running away and towards each other,1d41f125-7386-42b4-8250-f6c540c627a8,4,0.3108304440975189,0.6537257432937622,0.03544386476278305,-0.27538657933473587,-0.6182818785309792,-0.3428952991962433,0.3428952991962433
1,24029,4,4.0,moving up and down and hitting each other,9f53cd68-f278-45d6-806a-74eeef55bbcc,1,0.3601251542568207,0.5862464904785156,0.053628358989953995,-0.3064967952668667,-0.5326181314885616,-0.22612133622169495,0.22612133622169495
6,24068,57,4.0,They are playing a game.,114b2369-dce5-4979-8319-c64c85175e6a,6,0.39074215292930603,0.5660344362258911,0.043223489075899124,-0.3475186638534069,-0.522810947149992,-0.17529228329658508,0.17529228329658508
5,24040,23,4.0,Grey was more aggresive and catching up to the black dot and bouncing off them,9f53cd68-f278-45d6-806a-74eeef55bbcc,5,0.40892428159713745,0.5573083162307739,0.03376738354563713,-0.3751568980515003,-0.5235409326851368,-0.14838403463363647,0.14838403463363647
0,24080,37,4.0,Seems like they may be fighting or running at each other,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,0,0.44187742471694946,0.5374104976654053,0.020712193101644516,-0.42116523161530495,-0.5166983045637608,-0.09553307294845581,0.09553307294845581
6,24088,21,4.0,Does it represent bullying maybe? dark dot wont leave grey dot alone,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,6,0.82094806432724,0.17381082475185394,0.005241042003035545,-0.8157070223242044,-0.1685697827488184,0.647137239575386,-0.647137239575386
